"Step","sp_wo_evaluation_seed3 - cover_rate_1step"
"21735000","0.891"
"21840000","0.8885"
"21945000","0.8915"
"22050000","0.8865"
"22155000","0.8835"
"22260000","0.906"
"22365000","0.8955"
"22470000","0.897"
"22575000","0.9025"
"22680000","0.904"
"22785000","0.8945"
"22890000","0.9015"
"22995000","0.91"
"23100000","0.9095"
"23205000","0.9115"
"23310000","0.906"
"23415000","0.9075"
"23520000","0.91"
"23625000","0.906"
"23730000","0.912"
"23835000","0.9085"
"23940000","0.905"
"24045000","0.9105"
"24150000","0.907"
"24255000","0.9095"
"24360000","0.913"
"24465000","0.9015"
"24570000","0.8985"
"24675000","0.915"
"24780000","0.91"
"24885000","0.914"
"24990000","0.9035"
"25095000","0.9105"
"25200000","0.9135"
"25305000","0.9095"
"25410000","0.91"
"25515000","0.9105"
"25620000","0.9135"
"25725000","0.9005"
"25830000","0.9225"
"25935000","0.905"
"26040000","0.9085"
"26145000","0.909"
"26250000","0.9085"
"26355000","0.899"
"26460000","0.9065"
"26565000","0.914"
"26670000","0.9055"
"26775000","0.8955"
"26880000","0.904"
"26985000","0.922"
"27090000","0.9065"
"27195000","0.914"
"27300000","0.916"
"27405000","0.918"
"27510000","0.9015"
"27615000","0.9155"
"27720000","0.914"
"27825000","0.9135"
"27930000","0.9025"
"28035000","0.9055"
"28140000","0.891"
"28245000","0.888"
"28350000","0.891"
"28455000","0.902"
"28560000","0.898"
"28665000","0.903"
"28770000","0.8945"
"28875000","0.893"
"28980000","0.91"
"29085000","0.8935"
"29190000","0.9195"
"29295000","0.911"
"29400000","0.9055"
"29505000","0.9075"
"29610000","0.92"
"29715000","0.9125"
"29820000","0.9095"
"29925000","0.924"
"30030000","0.9265"
"30135000","0.9275"
"30240000","0.9255"
"30345000","0.9325"
"30450000","0.914"
"30555000","0.926"
"30660000","0.919"
"30765000","0.909"
"30870000","0.9145"
"30975000","0.924"
"31080000","0.921"
"31185000","0.9235"
"31290000","0.9105"
"31395000","0.919"
"31500000","0.924"
"31605000","0.9145"
"31710000","0.908"
"31815000","0.921"
"31920000","0.9215"
"32025000","0.9255"
"32130000","0.932"
"32235000","0.929"
"32340000","0.9295"
"32445000","0.9295"
"32550000","0.93"
"32655000","0.929"
"32760000","0.928"
"32865000","0.93"
"32970000","0.9245"
"33075000","0.911"
"33180000","0.917"
"33285000","0.905"
"33390000","0.903"
"33495000","0.9005"
"33600000","0.9065"
"33705000","0.9085"
"33810000","0.919"
"33915000","0.912"
"34020000","0.9105"
"34125000","0.912"
"34230000","0.923"
"34335000","0.928"
"34440000","0.921"
"34545000","0.922"
"34650000","0.922"
"34755000","0.9405"
"34860000","0.9355"
"34965000","0.9255"
"35070000","0.9225"
"35175000","0.93"
"35280000","0.925"
"35385000","0.942"
"35490000","0.9385"
"35595000","0.9225"
"35700000","0.9435"
"35805000","0.93"
"35910000","0.9405"
"36015000","0.9335"
"36120000","0.928"
"36225000","0.9245"
"36330000","0.9365"
"36435000","0.928"
"36540000","0.935"
"36645000","0.9215"
"36750000","0.935"
"36855000","0.9285"
"36960000","0.9255"
"37065000","0.9335"
"37170000","0.9255"
"37275000","0.924"
"37380000","0.9325"
"37485000","0.914"
"37590000","0.9215"
"37695000","0.9225"
"37800000","0.921"
"37905000","0.928"
"38010000","0.9255"
"38115000","0.935"
"38220000","0.946"
"38325000","0.9335"
"38430000","0.935"
"38535000","0.9235"
"38640000","0.934"
"38745000","0.929"
"38850000","0.931"
"38955000","0.9225"
"39060000","0.9225"
"39165000","0.945"
"39270000","0.939"
"39375000","0.947"
"39480000","0.9375"
"39585000","0.9315"
"39690000","0.934"
"39795000","0.932"
"39900000","0.924"
