Step,decay_fre300_pb_minibatch8_woclip_seed2 - 4cover_rate
200862000,0.9256
201096000,0.9283
201330000,0.9285
201564000,0.9226
201780000,0.9217
201996000,0.9255
202212000,0.9221
202428000,0.924
202644000,0.921
202860000,0.9223
203076000,0.9271
203292000,0.9174
203508000,0.9223
203724000,0.9211
203940000,0.9276
204156000,0.9242
204372000,0.9338
204588000,0.921
204804000,0.9215
205020000,0.9204
205236000,0.924
205452000,0.9212
205668000,0.9221
205884000,0.9345
206100000,0.9251
206316000,0.9184
206532000,0.9309
206748000,0.9226
206964000,0.9171
207180000,0.9148
207396000,0.9262
207612000,0.9171
207828000,0.9176
208044000,0.9233
208260000,0.9311
208476000,0.9318
208692000,0.9234
208908000,0.9316
209124000,0.9229
209340000,0.9259
209556000,0.9315
209772000,0.9347
209988000,0.9351
210204000,0.9364
210420000,0.937
210636000,0.9262
210852000,0.9426
211068000,0.9376
211284000,0.9266
211500000,0.9319
211716000,0.9248
211932000,0.9288
212148000,0.9329
212364000,0.9325
212580000,0.9298
212796000,0.9377
213012000,0.9354
213228000,0.9364
213444000,0.9258
213660000,0.9292
213876000,0.928
214092000,0.9327
214308000,0.9312
214524000,0.9299
214740000,0.9306
214956000,0.9346
215172000,0.94
215388000,0.9287
215604000,0.9343
215820000,0.9315
216036000,0.9369
216252000,0.9411
216468000,0.9304
216684000,0.9356
216900000,0.9286
217116000,0.9417
217332000,0.9266
217548000,0.9343
217764000,0.9375
217980000,0.926
218196000,0.9354
218412000,0.9274
218628000,0.9333
218844000,0.9309
219060000,0.9368
219276000,0.9445
219492000,0.9417
219708000,0.9428
219924000,0.9338
220140000,0.9474
220356000,0.9398
220572000,0.9377
220788000,0.9363
221004000,0.9368
221220000,0.9355
221436000,0.9299
221652000,0.9417
221868000,0.9359
222084000,0.9298
222300000,0.9293
222516000,0.9353
222732000,0.9304
222948000,0.9425
223164000,0.9423
223361640,0.9331
223559280,0.9335
223756920,0.9361
223954560,0.932
224152200,0.9254
224349840,0.9355
224547480,0.9369
224745120,0.9406
224942760,0.9405
225140400,0.9346
225338040,0.9389
225535680,0.9451
225733320,0.9435
225930960,0.9453
226128600,0.9336
226326240,0.9373
226523880,0.9334
226721520,0.9348
226919160,0.9366
227116800,0.9427
227314440,0.9404
227512080,0.946
227709720,0.9277
227907360,0.9382
228105000,0.9371
228302640,0.9362
228500280,0.9358
228697920,0.9347
228895560,0.9398
229093200,0.9384
229290840,0.9479
229488480,0.941
229686120,0.9506
229883760,0.952
230081400,0.9384
230279040,0.9441
230476680,0.9406
230674320,0.9419
230871960,0.9395
231069600,0.9354
231267240,0.9397
231464880,0.939
231662520,0.9338
231860160,0.9392
232057800,0.9317
232255440,0.9303
232453080,0.9363
232650720,0.9417
232848360,0.9345
233046000,0.9384
233243640,0.9391
233441280,0.9449
233638920,0.9454
233836560,0.9409
234034200,0.9358
234231840,0.9407
234429480,0.9435
234627120,0.9358
234824760,0.9378
235022400,0.9243
235220040,0.9323
235417680,0.9391
235615320,0.9311
235812960,0.941
236010600,0.9497
236208240,0.9405
236405880,0.9441
236603520,0.9406
236801160,0.9459
236998800,0.9398
237196440,0.9437
237394080,0.9452
237591720,0.9339
237789360,0.9362
237987000,0.932
238184640,0.9318
238382280,0.9354
238579920,0.9344
238777560,0.9371
238975200,0.9377
239172840,0.9361
239370480,0.9377
239568120,0.943
239765760,0.9483
239963400,0.9364
240161040,0.9423
240358680,0.9331
240556320,0.9359
240753960,0.9411
240951600,0.9293
241149240,0.9304
241346880,0.9423
241544520,0.9442
241742160,0.9386
241939800,0.9464
242137440,0.9471
242335080,0.9435
242532720,0.9491
242730360,0.9455
242928000,0.949
243108000,0.9535
243288000,0.9385
243468000,0.9463
243648000,0.9504
243828000,0.9484
244008000,0.944
244188000,0.9465
244368000,0.9434
244548000,0.9455
244728000,0.9407
244908000,0.9374
245088000,0.9428
245268000,0.9344
245448000,0.9383
245628000,0.9354
245808000,0.9374
245988000,0.9405
246168000,0.9355
246348000,0.9464
246528000,0.9377
246708000,0.9492
246888000,0.9307
247068000,0.9348
247248000,0.9417
247428000,0.9416
247608000,0.9392
247788000,0.9415
247968000,0.9289
248148000,0.945
248328000,0.9397
248508000,0.9347
248688000,0.944
248868000,0.935
249048000,0.9429
249228000,0.9388
249408000,0.9371
249588000,0.9359
249768000,0.9334
249948000,0.9399
250128000,0.936
250308000,0.9366
250488000,0.9251
250668000,0.9351
250848000,0.9305
251028000,0.9379
251208000,0.932
251388000,0.9362
251568000,0.9408
251748000,0.9418
251928000,0.933
252108000,0.9333
252288000,0.9395
252468000,0.9378
252648000,0.9436
252828000,0.9384
253008000,0.9401
253188000,0.9379
253368000,0.9402
253548000,0.9488
253728000,0.9449
253908000,0.9385
254088000,0.9341
254268000,0.9378
254448000,0.9415
254628000,0.9347
254808000,0.9425
254988000,0.9479
255168000,0.9463
255348000,0.9367
255528000,0.9467
255708000,0.949
255888000,0.9538
256068000,0.9393
256248000,0.9476
256428000,0.9454
256608000,0.9436
256788000,0.9425
256968000,0.948
257148000,0.9371
257328000,0.9375
257508000,0.934
257688000,0.9316
257868000,0.9475
258048000,0.9355
258228000,0.9425
258408000,0.93
258588000,0.9454
258768000,0.946
258948000,0.939
259128000,0.9388
259308000,0.9487
259488000,0.9492
259668000,0.9487
259848000,0.9498
260028000,0.9539
260208000,0.9499
260388000,0.9424
260568000,0.942
260748000,0.9392
260928000,0.9511
261108000,0.9473
261288000,0.954
261468000,0.9462
261648000,0.933
261828000,0.9444
262008000,0.9446
262188000,0.9452
262368000,0.9455
262548000,0.936
262728000,0.9493
262908000,0.949
263088000,0.9469
263268000,0.9436
263448000,0.9455
263628000,0.9416
263808000,0.9433
263988000,0.9479
264168000,0.9439
264348000,0.9508
264528000,0.9455
264708000,0.9443
264888000,0.9465
265068000,0.9541
265248000,0.9508
265428000,0.9531
265608000,0.9434
265788000,0.9561
265968000,0.9482
266148000,0.9456
266328000,0.9563
266508000,0.9561
266688000,0.9487
266868000,0.9524
267048000,0.9605
267228000,0.9536
267408000,0.9535
267588000,0.9445
267768000,0.9477
267948000,0.9394
268128000,0.9478
268308000,0.9498
268488000,0.9509
268668000,0.9472
268848000,0.9536
269028000,0.9378
269208000,0.9462
269388000,0.9476
269568000,0.95
269748000,0.9519
269928000,0.9519
270108000,0.9572
270288000,0.9518
270468000,0.9534
270648000,0.9463
270828000,0.943
271008000,0.9503
271188000,0.9376
271368000,0.9435
271548000,0.947
271728000,0.9519
271908000,0.9325
272088000,0.9413
272268000,0.9308
272448000,0.9375
272628000,0.9441
272808000,0.9329
272988000,0.9329
273168000,0.9374
273348000,0.9364
273528000,0.9307
273708000,0.9334
273888000,0.9393
274068000,0.9421
274248000,0.9397
274428000,0.9367
274608000,0.9357
274788000,0.9423
274968000,0.9411
275148000,0.9419
275328000,0.9432
275508000,0.9389
275688000,0.9426
275868000,0.944
276048000,0.9452
276228000,0.9517
276408000,0.9411
276588000,0.9461
276768000,0.9485
276948000,0.9519
277128000,0.9485
277308000,0.9443
277488000,0.9428
277668000,0.9376
277848000,0.9402
278028000,0.9396
278208000,0.9317
278388000,0.9423
278568000,0.937
278748000,0.9421
278928000,0.9307
279108000,0.9414
279288000,0.9491
279468000,0.9411
279648000,0.9462
279828000,0.9467
280008000,0.9324
280188000,0.9429
280368000,0.9425
280548000,0.933
280728000,0.9453
280908000,0.9452
281088000,0.95
281268000,0.9432
281448000,0.9387
281628000,0.9473
281808000,0.9429
281988000,0.9378
282168000,0.9332
282348000,0.9378
282528000,0.938
282708000,0.9404
282888000,0.9422
283068000,0.9345
283248000,0.9369
283428000,0.9363
283608000,0.9356
283788000,0.9412
283968000,0.9334
284148000,0.9426
284328000,0.9357
284508000,0.9443
284688000,0.9411
284868000,0.937
285048000,0.9377
285228000,0.9366
285408000,0.9269
285588000,0.9353
285768000,0.937
285948000,0.9353
286128000,0.9321
286308000,0.9287
286488000,0.936
286668000,0.9302
286848000,0.9342
287028000,0.9327
287208000,0.9328
287388000,0.924
287568000,0.9234
287748000,0.9253
287928000,0.9276
288108000,0.925
288288000,0.9344
288468000,0.9421
288648000,0.9477
288828000,0.9465
289008000,0.9376
289188000,0.9395
289368000,0.9373
289548000,0.9363
289728000,0.9422
289908000,0.9385
290088000,0.9416
290268000,0.9434
290448000,0.9452
290628000,0.9426
290808000,0.9498
290988000,0.9486
291168000,0.951
291348000,0.9573
291528000,0.9474
291708000,0.9535
291888000,0.9453
292068000,0.9483
292248000,0.946
292428000,0.9502
292608000,0.9495
292788000,0.9503
292968000,0.9426
293148000,0.9532
293328000,0.9547
293508000,0.9534
293688000,0.9474
293868000,0.9456
294048000,0.9513
294228000,0.9479
294408000,0.9504
294588000,0.9489
294768000,0.9522
294948000,0.9549
295128000,0.9536
295308000,0.9427
295488000,0.947
295668000,0.9452
295848000,0.9477
296028000,0.9379
296208000,0.9429
296388000,0.9484
296568000,0.9556
296748000,0.9552
296928000,0.9535
297108000,0.952
297288000,0.9579
297468000,0.9463
297648000,0.947
297828000,0.9542
298008000,0.9478
298188000,0.9524
298368000,0.9543
298548000,0.9586
298728000,0.9567
298908000,0.9497
299088000,0.9542
299268000,0.9498
299448000,0.9518
299628000,0.9468
299808000,0.9506
299988000,0.9484
300168000,0.9532
300348000,0.9495
300528000,0.9543
300708000,0.946
300888000,0.9493
301068000,0.9437
301248000,0.9414
301428000,0.9429
301608000,0.9451
301788000,0.9511
301968000,0.9563
302148000,0.96
302328000,0.9528
302508000,0.957
302688000,0.9562
302868000,0.9606
303048000,0.9581
303228000,0.9547
303408000,0.9558
303588000,0.9569
303768000,0.9486
303948000,0.9476
304128000,0.9493
304308000,0.9547
304488000,0.9519
304668000,0.9501
304848000,0.9494
305028000,0.9466
305208000,0.9554
305388000,0.9543
305568000,0.9517
305748000,0.9545
305928000,0.9548
306108000,0.9546
306288000,0.9499
306468000,0.9587
306648000,0.9561
306828000,0.9624
307008000,0.9545
307188000,0.9521
307368000,0.9526
307548000,0.9505
307728000,0.962
307908000,0.9649
308088000,0.9567
308268000,0.9666
308448000,0.9558
308628000,0.9596
308808000,0.9543
308988000,0.9487
309168000,0.9486
309348000,0.9531
