"Step","diversified_novelty_parentsampling_sp - cover_rate_5step","diversified_novelty_parentsampling_sp_seed2 - cover_rate_5step","diversified_novelty_parentsampling_sp_seed3 - cover_rate_5step"
"16275000","0.7616999999999999","0.8355999999999999","0.7851999999999999"
"16380000","0.7685","0.8200999999999999","0.8018"
"16485000","0.7682","0.8146","0.8134000000000001"
"16590000","0.7685","0.8359000000000001","0.8184000000000001"
"16695000","0.7575","0.8182","0.8189"
"16800000","0.7675","0.833","0.8089"
"16905000","0.7734","0.8142","0.8236"
"17010000","0.7696999999999999","0.8362999999999999","0.8164000000000001"
"17115000","0.7723","0.8245","0.8198"
"17220000","0.7925","0.8161","0.8182"
"17325000","0.7954000000000001","0.823","0.8234"
"17430000","0.7801","0.81","0.8204"
"17535000","0.7720999999999999","0.7918999999999999","0.8185"
"17640000","0.7924","0.8162999999999999","0.8196"
"17745000","0.795","0.8052","0.8148"
"17850000","0.8","0.8138000000000001","0.8040999999999999"
"17955000","0.8075","0.8192","0.8345999999999999"
"18060000","0.8196","0.8149","0.819"
"18165000","0.8218","0.8224","0.8112999999999999"
"18270000","0.8062999999999999","0.8459","0.8251999999999999"
"18375000","0.8125","0.8190999999999999","0.812"
"18480000","0.8087000000000001","0.8292","0.8139"
"18585000","0.8132999999999999","0.8277","0.8102999999999999"
"18690000","0.803","0.828","0.8285"
"18795000","0.8237000000000001","0.8401000000000001","0.8256999999999999"
"18900000","0.7947000000000001","0.8562000000000001","0.8335"
"19005000","0.7961999999999999","0.8573","0.8263"
"19110000","0.8009","0.8194000000000001","0.8238"
"19215000","0.8288","0.8357","0.8342"
"19320000","0.8181","0.837","0.8432999999999999"
"19425000","0.8182999999999999","0.8540999999999999","0.8384000000000001"
"19530000","0.8102","0.8352","0.8396"
"19635000","0.8225999999999999","0.853","0.8435"
"19740000","0.831","0.861","0.8418"
"19845000","0.8264000000000001","0.8766","0.8442000000000001"
"19950000","0.825","0.8707999999999999","0.835"
"20055000","0.8366999999999999","0.8650999999999999","0.8431000000000001"
"20160000","0.8097000000000001","0.8737999999999999","0.8346"
"20265000","0.8222","0.8653","0.8437"
"20370000","0.8392000000000001","0.8715","0.85"
"20475000","0.8304","0.8535","0.8399"
"20580000","0.8278","0.8747","0.8459"
"20685000","0.8285","0.8767","0.8461"
"20790000","0.8421000000000002","0.8518","0.8422"
"20895000","0.8469000000000001","0.8567","0.8321000000000001"
"21000000","0.8408","0.8681","0.8492999999999999"
"21105000","0.8355","0.8879","0.8314"
"21210000","0.8492","0.8817999999999999","0.8376"
"21315000","0.853","0.8637999999999999","0.8451"
"21420000","0.8626","0.8936000000000001","0.846"
"21525000","0.847","0.8693","0.8446"
"21630000","0.8605","0.8780999999999999","0.831"
"21735000","0.8596999999999999","0.8709","0.8497"
"21840000","0.8671","0.8423999999999999","0.8408000000000001"
"21945000","0.8694","0.8774","0.8571"
"22050000","0.8649","0.8582000000000001","0.8555999999999999"
"22155000","0.8765","0.8572","0.8433"
"22260000","0.883","0.8546","0.8519000000000001"
"22365000","0.8212","0.8613","0.8432999999999999"
"22470000","0.7502000000000001","0.8738","0.8401"
"22575000","0.7729","0.8892","0.8541"
"22680000","0.7714","0.8761","0.8481000000000001"
"22785000","0.7723000000000001","0.8995","0.8627"
"22890000","0.7859","0.8927","0.872"
"22995000","0.7908000000000001","0.8866","0.8537"
"23100000","0.8029","0.893","0.8699"
"23205000","0.7938","0.8727999999999999","0.8542000000000001"
"23310000","0.8103","0.8743","0.8593999999999999"
"23415000","0.8045999999999999","0.9045","0.8691"
"23520000","0.7974000000000001","0.8924","0.8568"
"23625000","0.7985","0.8935","0.862"
"23730000","0.805","0.8898999999999999","0.8550999999999999"
"23835000","0.8165","0.8996","0.8589"
"23940000","0.8044","0.9039","0.8645"
"24045000","0.8021","0.9078","0.8640999999999999"
"24150000","0.8195","0.9026","0.8633"
"24255000","0.8235999999999999","0.9009","0.874"
