"Step","diversified_novelty_parentsampling_pb - cover_rate_5step","diversified_novelty_parentsampling_pb_seed2 - cover_rate_5step","diversified_novelty_parentsampling_pb_seed3 - cover_rate_5step"
"61920000","0.9466","0.9604","0.9724"
"62100000","0.9378","0.9606","0.9728"
"62280000","0.9286","0.9548","0.963"
"62460000","0.94","0.9626","0.9656"
"62640000","0.9374","0.9644","0.9606"
"62820000","0.9392","0.9552","0.9738"
"63000000","0.9334","0.9542","0.9618"
"63180000","0.9506","0.9566","0.9692"
"63360000","0.941","0.9558","0.9672"
"63540000","0.9422","0.9536","0.9704"
"63720000","0.939","0.9622","0.9718"
"63900000","0.9524","0.9614","0.966"
"64080000","0.9526","0.9652","0.9688"
"64260000","0.9448","0.961","0.9774"
"64440000","0.942","0.9606","0.9758"
"64620000","0.947","0.9622","0.9706"
"64800000","0.9486","0.9648","0.9734"
"64980000","0.9552","0.9642","0.971"
"65160000","0.9438","0.9578","0.9732"
"65340000","0.9482","0.9716","0.9698"
"65520000","0.9552","0.9656","0.9728"
"65700000","0.9534","0.9594","0.9692"
"65880000","0.944","0.9574","0.9748"
"66060000","0.9482","0.9586","0.9742"
"66240000","0.9506","0.9608","0.9724"
"66420000","0.9576","0.9646","0.9736"
"66600000","0.9568","0.9668","0.9758"
"66780000","0.9554","0.9614","0.9724"
"66960000","0.954","0.9636","0.9644"
"67140000","0.9622","0.9636","0.9706"
"67320000","0.9502","0.973","0.9706"
"67500000","0.9404","0.9742","0.9788"
"67680000","0.9428","0.9544","0.9738"
"67860000","0.9498","0.9668","0.972"
"68040000","0.9418","0.9714","0.9674"
"68220000","0.9346","0.9712","0.9722"
"68400000","0.9462","0.964","0.969"
"68580000","0.961","0.9586","0.9842"
"68760000","0.9416","0.9756","0.9762"
"68940000","0.9638","0.9624","0.9684"
"69120000","0.943","0.9654","0.97"
"69300000","0.961","0.9634","0.9834"
"69480000","0.9606","0.9702","0.971"
"69660000","0.961","0.971","0.975"
"69840000","0.9564","0.971","0.968"
"70020000","0.9496","0.9702","0.9684"
"70200000","0.957","0.956","0.98"
"70380000","0.9528","0.9654","0.9674"
"70560000","0.9568","0.9762","0.9688"
"70740000","0.9582","0.9624","0.9764"
"70920000","0.9558","0.9678","0.98"
"71100000","0.952","0.9714","0.9756"
"71280000","0.9544","0.963","0.9788"
"71460000","0.955","0.9714","0.9714"
"71640000","0.954","0.9768","0.971"
"71820000","0.959","0.9654","0.9658"
"72000000","0.9582","0.9734","0.9636"
"72180000","0.9602","0.9714","0.9594"
"72360000","0.9608","0.9546","0.971"
"72540000","0.964","0.9704","0.981"
"72720000","0.9652","0.9792","0.9788"
"72900000","0.9698","0.979","0.9738"
"73080000","0.9628","0.9704","0.977"
"73260000","0.9526","0.9766","0.9746"
"73440000","0.959","0.9718","0.9732"
"73620000","0.959","0.9766","0.977"
"73800000","0.9606","0.9818","0.9768"
"73980000","0.963","0.9616","0.9782"
"74160000","0.9632","0.9676","0.9758"
"74340000","0.9718","0.9678","0.9658"
"74520000","0.9602","0.9736","0.9786"
"74700000","0.9574","0.9694","0.9738"
"74880000","0.955","0.9678","0.9732"
"75060000","0.9564","0.9624","0.9674"
"75240000","0.9686","0.9726","0.9784"
"75420000","0.9538","0.976","0.9726"
"75600000","0.9536","0.9836","0.9732"
"75780000","0.951","0.9758","0.9722"
"75960000","0.9482","0.982","0.9694"
"76140000","0.9698","0.9682","0.9682"
"76320000","0.9492","0.984","0.9766"
"76500000","0.9536","0.9798","0.9614"
"76680000","0.9538","0.9726","0.9758"
"76860000","0.9468","0.98","0.97"
"77040000","0.9694","0.978","0.9828"
"77220000","0.9536","0.9818","0.9778"
"77400000","0.9504","0.9622","0.9694"
"77580000","0.9608","0.9714","0.9692"
"77760000","0.9536","0.9796","0.9756"
"77940000","0.96","0.9774","0.9756"
"78120000","0.9638","0.9738","0.9726"
"78300000","0.9652","0.9748","0.9676"
"78480000","0.97","0.9754","0.982"
"78660000","0.9532","0.9862","0.975"
"78840000","0.9598","0.985","0.9752"
"79020000","0.9614","0.9744","0.973"
"79200000","0.9652","0.9722","0.9754"
"79380000","0.9668","0.9824","0.976"
"79560000","0.956","0.9892","0.9784"
"79740000","0.9634","0.9804","0.9726"
"79920000","0.9602","0.9816","0.977"
