"Step","diversified_novelty_badinit_pb_seed2 - cover_rate_5step"
"28800000","0.3168"
"28980000","0.28479999999999994"
"29160000","0.316"
"29340000","0.2984"
"29520000","0.305"
"29700000","0.315"
"29880000","0.2912"
"30060000","0.295"
"30240000","0.308"
"30420000","0.2622"
"30600000","0.2508"
"30780000","0.25660000000000005"
"30960000","0.29560000000000003"
"31140000","0.2712"
"31320000","0.2826"
"31500000","0.2824"
"31680000","0.2596"
"31860000","0.285"
"32040000","0.3002"
"32220000","0.31139999999999995"
"32400000","0.2958"
"32580000","0.2974"
"32760000","0.31760000000000005"
"32940000","0.31560000000000005"
"33120000","0.3068"
"33300000","0.2912"
"33480000","0.2788"
"33660000","0.32939999999999997"
"33840000","0.325"
"34020000","0.3307999999999999"
"34200000","0.3178"
"34380000","0.284"
"34560000","0.29960000000000003"
"34740000","0.2698"
"34920000","0.29320000000000007"
"35100000","0.27579999999999993"
"35280000","0.28779999999999994"
"35460000","0.2982"
"35640000","0.2748"
"35820000","0.29259999999999997"
"36000000","0.29640000000000005"
"36180000","0.3"
"36360000","0.2992"
"36540000","0.2836"
"36720000","0.33"
"36900000","0.318"
"37080000","0.28779999999999994"
"37260000","0.3102"
"37440000","0.30079999999999996"
"37620000","0.31539999999999996"
"37800000","0.3242"
"37980000","0.303"
"38160000","0.306"
"38340000","0.32680000000000003"
"38520000","0.3178"
"38700000","0.33479999999999993"
"38880000","0.32380000000000003"
"39060000","0.3516"
"39240000","0.31880000000000003"
"39420000","0.34320000000000006"
"39600000","0.35059999999999997"
"39780000","0.345"
"39960000","0.3742"
"40140000","0.3706"
"40320000","0.3614"
"40500000","0.3606"
"40680000","0.352"
"40860000","0.3374"
"41040000","0.338"
"41220000","0.3644"
"41400000","0.33579999999999993"
"41580000","0.3314"
"41760000","0.3554"
"41940000","0.352"
"42120000","0.352"
"42300000","0.3568"
"42480000","0.3766000000000001"
"42660000","0.3424"
"42840000","0.3744"
"43020000","0.368"
"43200000","0.33479999999999993"
"43380000","0.3648"
"43560000","0.333"
"43740000","0.341"
"43920000","0.3384"
"44100000","0.3454"
"44280000","0.3658"
"44460000","0.39119999999999994"
"44640000","0.4062"
"44820000","0.4038"
"45000000","0.436"
"45180000","0.4556"
"45360000","0.4246"
"45540000","0.4242"
"45720000","0.46420000000000006"
"45900000","0.4608"
"46080000","0.4508"
"46260000","0.4208"
"46440000","0.4512"
"46620000","0.445"
"46800000","0.457"
"46980000","0.3886"
"47160000","0.45779999999999993"
"47340000","0.445"
"47520000","0.4204"
"47700000","0.419"
"47880000","0.4222"
"48060000","0.4226"
"48240000","0.4424"
