"Step","sp_4agents_seed2 - 4cover_rate"
"20650000","0.0029"
"20685000","0.0030999999999999995"
"20720000","0.0046"
"20755000","0.0019"
"20790000","0.0024"
"20825000","0.002"
"20860000","0.0017"
"20895000","0.0028"
"20930000","0.0018"
"20965000","0.0012"
"21000000","0.0011"
"21035000","0.0024"
"21070000","0.0008999999999999999"
"21105000","0.0024"
"21140000","0.002"
"21175000","0.0025"
"21210000","0.0011"
"21245000","0.0023"
"21280000","0.0014000000000000002"
"21315000","0.002"
"21350000","0.0011"
"21385000","0.0017"
"21420000","0.0019"
"21455000","0.0002"
"21490000","0.0011"
"21525000","0.0014"
"21560000","0.00030000000000000003"
"21595000","0.0007"
"21630000","0.0005"
"21665000","0.0021000000000000007"
"21700000","0.0024"
"21735000","0.0013"
"21770000","0.0008"
"21805000","0.0012"
"21840000","0.004300000000000001"
"21875000","0.0021000000000000003"
"21910000","0.0016"
"21945000","0.004"
"21980000","0.0017"
"22015000","0.004900000000000001"
"22050000","0.003"
"22085000","0.0029"
"22120000","0.0054"
"22155000","0.0016"
"22190000","0.0026"
"22225000","0.00030000000000000003"
"22260000","0.0028"
"22295000","0.0005"
"22330000","0.0024"
"22365000","0.002"
"22400000","0.0015"
"22435000","0.0022"
"22470000","0.002599999999999999"
"22505000","0.0022"
"22540000","0.0021000000000000003"
"22575000","0.0017"
"22610000","0.0017"
"22645000","0.0016"
"22680000","0.0012"
"22715000","0.0011"
"22750000","0.001"
"22785000","0.0012999999999999995"
"22820000","0.0017"
"22855000","0.0015"
"22890000","0.0017"
"22925000","0.0012"
"22960000","0.0017"
"22995000","0.0012999999999999995"
"23030000","0.001"
"23065000","0.0007999999999999999"
"23100000","0.0016"
"23135000","0.0012"
"23170000","0.0017999999999999995"
"23205000","0.0008"
"23240000","0.0017"
"23275000","0.0012"
"23310000","0.0001"
"23345000","0.0026"
"23380000","0.0024"
"23415000","0.0034"
"23450000","0.0021000000000000003"
"23485000","0.0029"
"23520000","0.0029"
"23555000","0.0023000000000000004"
"23590000","0.0022"
"23625000","0.0039"
"23660000","0.0028"
"23695000","0.0037"
"23730000","0.0023"
"23765000","0.00030000000000000003"
"23800000","0.0012"
"23835000","0.004900000000000001"
"23870000","0.0017"
"23905000","0.003"
"23940000","0.0043"
"23975000","0.0054"
"24010000","0.0015"
"24045000","0.0019"
"24080000","0.0032"
"24115000","0.0034"
"24150000","0.0038"
"24185000","0.0024"
"24220000","0.0035"
"24255000","0.0046"
"24290000","0.0040999999999999995"
"24325000","0.005900000000000001"
"24360000","0.0021000000000000003"
"24395000","0.0024"
"24430000","0.0022"
"24465000","0.0050999999999999995"
"24500000","0.002"
"24535000","0.0028"
"24570000","0.0032"
"24605000","0.0033"
"24640000","0.0033999999999999994"
"24675000","0.0029"
"24710000","0.003"
"24745000","0.0021000000000000003"
"24780000","0.0026"
"24815000","0.0029"
"24850000","0.0027"
"24885000","0.0022"
"24920000","0.002"
"24955000","0.0030999999999999995"
"24990000","0.0028"
"25025000","0.0023"
"25060000","0.0033000000000000004"
"25095000","0.004699999999999999"
"25130000","0.0022"
"25165000","0.0028"
"25200000","0.0033"
"25235000","0.0031"
"25270000","0.003"
"25305000","0.0062"
"25340000","0.0025"
"25375000","0.005600000000000001"
"25410000","0.004"
"25445000","0.0033"
"25480000","0.008199999999999999"
"25515000","0.0048"
"25550000","0.0047"
"25585000","0.0038"
"25620000","0.0053"
"25655000","0.0060999999999999995"
"25690000","0.007"
"25725000","0.0037"
"25760000","0.0029"
"25795000","0.005"
"25830000","0.008"
"25865000","0.005600000000000001"
"25900000","0.0034"
"25935000","0.0063"
"25970000","0.0078"
"26005000","0.004200000000000001"
"26040000","0.0048"
"26075000","0.0027"
"26110000","0.0038"
"26145000","0.0060999999999999995"
"26180000","0.0044"
"26215000","0.0059"
"26250000","0.0036000000000000003"
"26285000","0.005"
"26320000","0.006"
"26355000","0.009"
"26390000","0.0032"
"26425000","0.0073"
"26460000","0.0057"
"26495000","0.005"
"26530000","0.0027"
"26565000","0.0034"
"26600000","0.0039"
"26635000","0.0046"
"26670000","0.0050999999999999995"
"26705000","0.0050999999999999995"
"26740000","0.0030999999999999995"
"26775000","0.0045"
"26810000","0.0036"
"26845000","0.0039"
"26880000","0.005900000000000001"
"26915000","0.0024"
"26950000","0.0032"
"26985000","0.005199999999999999"
"27020000","0.0035"
"27055000","0.0035"
"27090000","0.0028"
"27125000","0.0008"
"27160000","0.0039"
"27195000","0.0039"
"27230000","0.0022"
"27265000","0.0064"
"27300000","0.0050999999999999995"
"27335000","0.0022"
"27370000","0.0075"
"27405000","0.0040999999999999995"
"27440000","0.0050999999999999995"
"27475000","0.0054"
"27510000","0.006300000000000001"
"27545000","0.0035"
"27580000","0.0113"
"27615000","0.0054"
"27650000","0.0068000000000000005"
"27685000","0.0061"
"27720000","0.0057"
"27755000","0.0055"
"27790000","0.006699999999999999"
"27825000","0.0078"
"27860000","0.007699999999999999"
"27895000","0.0062"
"27930000","0.0031"
"27965000","0.0038"
"28000000","0.0046"
"28035000","0.006900000000000001"
"28070000","0.008"
"28105000","0.004600000000000001"
"28140000","0.0065"
"28175000","0.0054"
"28210000","0.0027"
"28245000","0.005900000000000001"
"28280000","0.0115"
"28315000","0.0098"
"28350000","0.0054"
"28385000","0.0047"
"28420000","0.0022"
"28455000","0.003"
"28490000","0.0039"
"28525000","0.0045"
"28560000","0.0025"
"28595000","0.0044"
"28630000","0.0031999999999999997"
"28665000","0.0033"
"28700000","0.0096"
"28735000","0.0056"
"28770000","0.004200000000000001"
"28805000","0.0048"
"28840000","0.0022"
"28875000","0.005300000000000001"
"28910000","0.0053"
"28945000","0.0021000000000000003"
"28980000","0.0037"
"29015000","0.0043"
"29050000","0.0038999999999999994"
"29085000","0.0037"
"29120000","0.0034"
"29155000","0.0034"
"29190000","0.0036"
"29225000","0.0026"
"29260000","0.004900000000000001"
"29295000","0.0022"
"29330000","0.0044"
"29365000","0.0038"
"29400000","0.0033999999999999994"
"29435000","0.0045"
"29470000","0.0035999999999999995"
"29505000","0.0024"
"29540000","0.005"
"29575000","0.0029"
"29610000","0.0045"
"29645000","0.0033"
"29680000","0.005"
"29715000","0.0039"
"29750000","0.0047"
"29785000","0.0024"
"29820000","0.0058000000000000005"
"29855000","0.0045"
"29890000","0.0058"
"29925000","0.0039"
"29960000","0.0045"
"29995000","0.006"
"30030000","0.0040999999999999995"
"30065000","0.0062"
"30100000","0.0035999999999999995"
"30135000","0.0060999999999999995"
"30170000","0.0025"
"30205000","0.0070999999999999995"
"30240000","0.0052"
"30275000","0.004200000000000001"
"30310000","0.0065"
"30345000","0.0031999999999999997"
"30380000","0.004"
"30415000","0.005600000000000001"
"30450000","0.0045"
"30485000","0.0063"
"30520000","0.0057"
"30555000","0.0038999999999999994"
"30590000","0.0027"
"30625000","0.0046"
"30660000","0.0031"
"30695000","0.0038"
"30730000","0.003"
"30765000","0.0023"
"30800000","0.0028"
"30835000","0.0032"
"30870000","0.0040999999999999995"
"30905000","0.0039"
"30940000","0.0022"
"30975000","0.0017999999999999995"
"31010000","0.0017"
"31045000","0.0017"
"31080000","0.0017999999999999995"
"31115000","0.0017"
"31150000","0.0028"
"31185000","0.0007999999999999999"
"31220000","0.0006000000000000001"
"31255000","0.002"
"31290000","0.0011"
"31325000","0.0009"
"31360000","0.001"
"31395000","0.0012999999999999995"
"31430000","0.0004"
"31465000","0.0012"
"31500000","0.0016"
"31535000","0.0012"
"31570000","0.0008999999999999999"
"31605000","0.00030000000000000003"
"31640000","0.0006"
"31675000","0.0016"
"31710000","0.0011"
"31745000","0"
"31780000","0"
"31815000","0"
"31850000","0"
"31885000","0"
"31920000","0"
"31955000","0"
"31990000","0"
"32025000","0"
"32060000","0"
"32095000","0"
"32130000","0"
"32165000","0"
"32200000","0"
"32235000","0"
"32270000","0"
"32305000","0.0007"
"32340000","0"
"32375000","0"
"32410000","0"
"32445000","0"
"32480000","0"
"32515000","0"
"32550000","0"
"32585000","0"
"32620000","0"
"32655000","0"
"32690000","0"
"32725000","0"
"32760000","0.0002"
"32795000","0"
"32830000","0"
"32865000","0.0004"
"32900000","0"
"32935000","0"
"32970000","0"
"33005000","0"
"33040000","0"
"33075000","0"
"33110000","0"
"33145000","0"
"33180000","0"
"33215000","0"
"33250000","0"
"33285000","0"
"33320000","0"
"33355000","0"
"33390000","0"
"33425000","0"
"33460000","0"
"33495000","0"
"33530000","0"
