"Step","unif_pb_2agents_seed1 - 2cover_rate"
"25980000","0.0704"
"26040000","0.06480000000000001"
"26100000","0.061799999999999994"
"26160000","0.0808"
"26220000","0.0724"
"26280000","0.057"
"26340000","0.07659999999999999"
"26400000","0.061"
"26460000","0.07540000000000001"
"26520000","0.0886"
"26580000","0.071"
"26640000","0.092"
"26700000","0.07640000000000001"
"26760000","0.075"
"26820000","0.0998"
"26880000","0.094"
"26940000","0.101"
"27000000","0.101"
"27060000","0.08259999999999999"
"27120000","0.1014"
"27180000","0.093"
"27240000","0.0918"
"27300000","0.1076"
"27360000","0.0876"
"27420000","0.107"
"27480000","0.0978"
"27540000","0.1042"
"27600000","0.1148"
"27660000","0.0968"
"27720000","0.0978"
"27780000","0.0982"
"27840000","0.1166"
"27900000","0.1244"
"27960000","0.102"
"28020000","0.12"
"28080000","0.118"
"28140000","0.1162"
"28200000","0.0988"
"28260000","0.11"
"28320000","0.135"
"28380000","0.1242"
"28440000","0.13140000000000002"
"28500000","0.1124"
"28560000","0.1204"
"28620000","0.1158"
"28680000","0.1234"
"28740000","0.1124"
"28800000","0.132"
"28860000","0.1354"
"28920000","0.1402"
"28980000","0.14339999999999997"
"29040000","0.1342"
"29100000","0.136"
"29160000","0.138"
"29220000","0.1368"
"29280000","0.1224"
"29340000","0.141"
"29400000","0.148"
"29460000","0.1464"
"29520000","0.1348"
"29580000","0.1404"
"29640000","0.153"
"29700000","0.127"
"29760000","0.153"
"29820000","0.122"
"29880000","0.1594"
"29940000","0.1652"
"30000000","0.158"
"30060000","0.16019999999999998"
"30120000","0.143"
"30180000","0.18"
"30240000","0.1424"
"30300000","0.15319999999999998"
"30360000","0.1502"
"30420000","0.1446"
"30480000","0.15"
"30540000","0.1858"
"30600000","0.161"
"30660000","0.15159999999999998"
"30720000","0.16419999999999998"
"30780000","0.157"
"30840000","0.16119999999999998"
"30900000","0.1484"
"30960000","0.149"
"31020000","0.15719999999999998"
"31080000","0.1762"
"31140000","0.15539999999999998"
"31200000","0.163"
"31260000","0.1652"
"31320000","0.177"
"31380000","0.1868"
"31440000","0.179"
"31500000","0.166"
"31560000","0.16340000000000002"
"31620000","0.1688"
"31680000","0.1896"
"31740000","0.175"
"31800000","0.17579999999999998"
"31860000","0.1682"
"31920000","0.1674"
"31980000","0.184"
"32040000","0.1856"
"32100000","0.1764"
"32160000","0.1634"
"32220000","0.168"
"32280000","0.1754"
"32340000","0.1758"
"32400000","0.1814"
"32460000","0.1872"
"32520000","0.1898"
"32580000","0.169"
"32640000","0.1722"
"32700000","0.192"
"32760000","0.1882"
"32820000","0.1904"
"32880000","0.1914"
"32940000","0.19639999999999996"
"33000000","0.205"
"33060000","0.1784"
"33120000","0.1926"
"33180000","0.2024"
"33240000","0.1802"
"33300000","0.2022"
"33360000","0.1988"
"33420000","0.2038"
"33480000","0.197"
"33540000","0.181"
"33600000","0.1804"
"33660000","0.206"
"33720000","0.1912"
"33780000","0.211"
"33840000","0.2006"
"33900000","0.196"
"33960000","0.188"
"34020000","0.2036"
"34080000","0.1988"
"34140000","0.197"
"34200000","0.2126"
"34260000","0.1884"
"34320000","0.217"
"34380000","0.2114"
"34440000","0.1904"
"34500000","0.203"
"34560000","0.2272"
"34620000","0.1942"
"34680000","0.1966"
"34740000","0.2168"
"34800000","0.2226"
"34860000","0.2002"
"34920000","0.2108"
"34980000","0.20439999999999997"
"35040000","0.2024"
"35100000","0.19279999999999997"
"35160000","0.2314"
"35220000","0.2092"
"35280000","0.2034"
"35340000","0.2218"
"35400000","0.2042"
"35460000","0.216"
"35520000","0.228"
"35580000","0.2082"
"35640000","0.1948"
"35700000","0.2272"
"35760000","0.2248"
"35820000","0.2228"
"35880000","0.234"
"35940000","0.2258"
"36000000","0.22"
"36060000","0.2028"
"36120000","0.2086"
"36180000","0.2044"
"36240000","0.2138"
"36300000","0.238"
"36360000","0.2392"
"36420000","0.2022"
"36480000","0.22279999999999997"
"36540000","0.2262"
"36600000","0.2188"
"36660000","0.2312"
"36720000","0.2178"
"36780000","0.2362"
"36840000","0.2224"
"36900000","0.2326"
"36960000","0.2312"
"37020000","0.2426"
"37080000","0.2164"
"37140000","0.2292"
"37200000","0.2224"
"37260000","0.236"
"37320000","0.2572"
"37380000","0.2468"
"37440000","0.2306"
"37500000","0.2388"
"37560000","0.251"
"37620000","0.2264"
"37680000","0.2456"
"37740000","0.2416"
"37800000","0.2448"
"37860000","0.257"
"37920000","0.213"
"37980000","0.2398"
"38040000","0.2582"
"38100000","0.2382"
"38160000","0.2528"
"38220000","0.2352"
"38280000","0.248"
"38340000","0.249"
"38400000","0.2454"
"38460000","0.2306"
"38520000","0.2508"
"38580000","0.2298"
"38640000","0.25839999999999996"
"38700000","0.24"
"38760000","0.247"
"38820000","0.2686"
"38880000","0.2572"
"38940000","0.2492"
"39000000","0.2802"
"39060000","0.2692"
"39120000","0.272"
"39180000","0.2546"
"39240000","0.2748"
"39300000","0.26539999999999997"
"39360000","0.245"
"39420000","0.2368"
"39480000","0.2524"
"39540000","0.27479999999999993"
"39600000","0.28"
"39660000","0.25439999999999996"
"39720000","0.249"
"39780000","0.2694"
"39840000","0.2812"
"39900000","0.2518"
"39960000","0.2556"
"40020000","0.2836"
"40080000","0.2722"
"40140000","0.266"
"40200000","0.2906"
"40260000","0.26239999999999997"
"40320000","0.2872"
"40380000","0.27620000000000006"
"40440000","0.2686"
"40500000","0.2754"
"40560000","0.2826"
"40620000","0.2538"
"40680000","0.28079999999999994"
"40740000","0.2746"
"40800000","0.28279999999999994"
"40860000","0.283"
"40920000","0.27919999999999995"
"40980000","0.2718"
"41040000","0.292"
"41100000","0.2914"
"41160000","0.2738"
"41220000","0.268"
"41280000","0.2852"
"41340000","0.276"
"41400000","0.2854"
"41460000","0.2892"
"41520000","0.29679999999999995"
"41580000","0.2902"
"41640000","0.28379999999999994"
"41700000","0.30279999999999996"
"41760000","0.2842"
"41820000","0.2832"
"41880000","0.292"
"41940000","0.3028"
"42000000","0.2884"
"42060000","0.292"
"42120000","0.29760000000000003"
"42180000","0.2916"
"42240000","0.2824"
"42300000","0.2694"
"42360000","0.299"
"42420000","0.29519999999999996"
"42480000","0.272"
"42540000","0.30679999999999996"
"42600000","0.2918"
"42660000","0.288"
"42720000","0.291"
"42780000","0.28820000000000007"
"42840000","0.2916"
"42900000","0.3128"
"42960000","0.30460000000000004"
"43020000","0.30319999999999997"
