"Step","diversified_novelty_parentsampling_badinit_pb_seed2 - cover_rate_5step"
"41940000","0.449"
"42120000","0.47020000000000006"
"42300000","0.4962"
"42480000","0.4906"
"42660000","0.491"
"42840000","0.5132000000000001"
"43020000","0.4864"
"43200000","0.4943999999999999"
"43380000","0.4674"
"43560000","0.4818"
"43740000","0.5267999999999999"
"43920000","0.4986"
"44100000","0.4972"
"44280000","0.4906"
"44460000","0.4866"
"44640000","0.5025999999999999"
"44820000","0.4988"
"45000000","0.4696"
"45180000","0.4696"
"45360000","0.5092"
"45540000","0.47079999999999994"
"45720000","0.5112"
"45900000","0.4898"
"46080000","0.5212"
"46260000","0.49"
"46440000","0.4943999999999999"
"46620000","0.5152"
"46800000","0.5207999999999999"
"46980000","0.5314"
"47160000","0.5658"
"47340000","0.5425999999999999"
"47520000","0.5532"
"47700000","0.4963999999999999"
"47880000","0.5095999999999999"
"48060000","0.5244"
"48240000","0.5624"
"48420000","0.533"
"48600000","0.5502"
"48780000","0.5501999999999999"
"48960000","0.5307999999999999"
"49140000","0.5364000000000001"
"49320000","0.5574"
"49500000","0.5692"
