"Step","reverse_parentsampling_sp_seed1 - cover_rate_1step"
"28850220","0.551"
"28885220","0.5395"
"28920220","0.536"
"28955220","0.543"
"28990220","0.5465"
"29025220","0.554"
"29060220","0.5435"
"29095220","0.5465"
"29130220","0.5475"
"29165220","0.5405"
"29200220","0.5505"
"29235220","0.5605"
"29270220","0.5415"
"29305220","0.5525"
"29340220","0.5485"
"29375220","0.54"
"29410220","0.5745"
"29445220","0.5525"
"29480220","0.57"
"29515220","0.565"
"29550220","0.541"
"29585220","0.5385"
"29620220","0.5365"
"29655220","0.553"
"29690220","0.5285"
"29725220","0.5595"
"29760220","0.5445"
"29795220","0.545"
"29830220","0.5405"
"29865220","0.5565"
"29900220","0.5485"
"29935220","0.548"
"29970220","0.543"
"30005220","0.5335"
"30040220","0.539"
"30075220","0.5405"
"30110220","0.554"
"30145220","0.5505"
"30180220","0.5545"
"30215220","0.548"
"30250220","0.5615"
"30285220","0.542"
"30320220","0.5815"
"30355220","0.564"
"30390220","0.557"
"30425220","0.563"
"30460220","0.5515"
"30495220","0.5515"
"30530220","0.548"
"30565220","0.564"
"30600220","0.548"
"30635220","0.5575"
"30670220","0.5655"
"30705220","0.558"
"30740220","0.561"
"30775220","0.541"
"30810220","0.551"
"30845220","0.569"
"30880220","0.5755"
"30915220","0.564"
"30950220","0.58"
"30985220","0.558"
"31020220","0.582"
"31055220","0.5585"
"31090220","0.5515"
"31125220","0.564"
"31160220","0.5605"
"31195220","0.565"
"31230220","0.55"
"31265220","0.555"
"31300220","0.5715"
"31335220","0.5615"
"31370220","0.5495"
"31405220","0.539"
"31440220","0.558"
"31475220","0.5845"
"31510220","0.564"
"31545220","0.5665"
"31580220","0.5855"
"31615220","0.5685"
"31650220","0.568"
"31685220","0.5835"
"31720220","0.5685"
"31755220","0.5955"
"31790220","0.543"
"31825220","0.578"
"31860220","0.575"
"31895220","0.566"
"31930220","0.5655"
"31965220","0.5755"
"32000220","0.5925"
"32035220","0.5905"
"32070220","0.589"
"32105220","0.587"
"32140220","0.58"
"32175220","0.584"
"32210220","0.564"
"32245220","0.596"
"32280220","0.5875"
"32315220","0.5735"
"32350220","0.582"
"32385220","0.5735"
"32420220","0.594"
"32455220","0.5705"
"32490220","0.5995"
"32525220","0.575"
"32560220","0.5745"
"32595220","0.5875"
"32630220","0.577"
"32665220","0.5945"
"32700220","0.594"
"32735220","0.591"
"32770220","0.5765"
"32805220","0.575"
"32840220","0.5725"
"32875220","0.5885"
"32910220","0.578"
"32945220","0.5945"
"32980220","0.582"
"33015220","0.581"
"33050220","0.5975"
"33085220","0.576"
"33120220","0.587"
"33155220","0.5985"
"33190220","0.5925"
"33225220","0.575"
"33260220","0.5795"
"33295220","0.5975"
"33330220","0.5755"
"33365220","0.578"
"33400220","0.5625"
"33435220","0.578"
"33470220","0.5775"
"33505220","0.582"
"33540220","0.6015"
"33575220","0.585"
"33610220","0.605"
"33645220","0.5895"
"33680220","0.582"
"33715220","0.6085"
"33750220","0.607"
"33785220","0.599"
"33820220","0.583"
"33855220","0.598"
"33890220","0.6035"
"33925220","0.583"
"33960220","0.5725"
"33995220","0.5845"
"34030220","0.6035"
"34065220","0.6065"
"34100220","0.5715"
"34135220","0.57"
"34170220","0.5845"
"34205220","0.595"
"34240220","0.584"
"34275220","0.555"
"34310220","0.5805"
"34345220","0.584"
"34380220","0.58"
"34415220","0.621"
"34450220","0.6"
"34485220","0.6225"
"34520220","0.6065"
"34555220","0.5875"
"34590220","0.62"
"34625220","0.614"
"34660220","0.6035"
"34695220","0.6125"
"34730220","0.609"
"34765220","0.6045"
"34800220","0.5915"
"34835220","0.6055"
"34870220","0.58"
"34905220","0.621"
"34940220","0.62"
"34975220","0.6115"
"35010220","0.597"
"35045220","0.6105"
"35080220","0.6105"
"35115220","0.6"
"35150220","0.595"
"35185220","0.595"
"35220220","0.618"
"35255220","0.582"
"35290220","0.604"
"35325220","0.586"
"35360220","0.587"
"35395220","0.6175"
"35430220","0.618"
"35465220","0.595"
"35500220","0.6195"
"35535220","0.6145"
"35570220","0.6045"
"35605220","0.609"
"35640220","0.6"
"35675220","0.6125"
"35710220","0.5815"
"35745220","0.5965"
"35780220","0.6295"
"35815220","0.6175"
"35850220","0.597"
"35885220","0.5995"
"35920220","0.608"
"35955220","0.619"
"35990220","0.5965"
"36025220","0.587"
"36060220","0.5995"
"36095220","0.587"
"36130220","0.6155"
"36165220","0.6095"
"36200220","0.611"
"36235220","0.6135"
"36270220","0.6"
"36305220","0.6065"
"36340220","0.6125"
"36375220","0.6"
"36410220","0.609"
"36445220","0.611"
"36480220","0.626"
"36515220","0.6095"
"36550220","0.6055"
"36585220","0.6055"
"36620220","0.629"
"36655220","0.6065"
"36690220","0.61"
"36725220","0.6115"
"36760220","0.5995"
"36795220","0.6115"
"36830220","0.595"
"36865220","0.599"
"36900220","0.63"
"36935220","0.6"
"36970220","0.6005"
"37005220","0.5985"
"37040220","0.599"
"37075220","0.6105"
"37110220","0.598"
"37145220","0.612"
"37180220","0.616"
"37215220","0.61"
"37250220","0.613"
"37285220","0.599"
"37320220","0.612"
"37355220","0.621"
"37390220","0.6175"
"37425220","0.6215"
"37460220","0.613"
"37495220","0.607"
"37530220","0.61"
"37565220","0.606"
"37600220","0.6285"
"37635220","0.6045"
"37670220","0.606"
"37705220","0.6175"
"37740220","0.62"
"37775220","0.6165"
"37810220","0.619"
"37845220","0.597"
"37880220","0.6125"
"37915220","0.613"
"37950220","0.6055"
"37985220","0.6245"
"38020220","0.6275"
"38055220","0.615"
"38090220","0.6245"
"38125220","0.6065"
"38160220","0.628"
"38195220","0.6275"
"38230220","0.615"
"38265220","0.618"
"38300220","0.601"
"38335220","0.6205"
"38370220","0.6145"
"38405220","0.6095"
"38440220","0.6155"
"38475220","0.6115"
"38510220","0.6085"
