"Step","reverse_eval1_novelty_sp_seed1 - cover_rate_1step"
"15505000","0.3215"
"15540000","0.31"
"15575000","0.346"
"15610000","0.322"
"15645000","0.338"
"15680000","0.2995"
"15715000","0.3165"
"15750000","0.2935"
"15785000","0.294"
"15820000","0.3075"
"15855000","0.3355"
"15890000","0.3475"
"15925000","0.3015"
"15960000","0.299"
"15995000","0.317"
"16030000","0.3245"
"16065000","0.3365"
"16100000","0.3195"
"16135000","0.339"
"16170000","0.3285"
"16205000","0.3175"
"16240000","0.3095"
"16275000","0.3275"
"16310000","0.34"
"16345000","0.32"
"16380000","0.2975"
"16415000","0.3425"
"16450000","0.352"
"16485000","0.3185"
"16520000","0.338"
"16555000","0.338"
"16590000","0.3175"
"16625000","0.3105"
"16660000","0.3495"
"16695000","0.3025"
"16730000","0.3255"
"16765000","0.314"
"16800000","0.3195"
"16835000","0.3245"
"16870000","0.3245"
"16905000","0.3255"
"16940000","0.315"
"16975000","0.329"
"17010000","0.317"
"17045000","0.339"
"17080000","0.3165"
"17115000","0.322"
"17150000","0.3215"
"17185000","0.32"
"17220000","0.3145"
"17255000","0.324"
"17290000","0.3245"
"17325000","0.3165"
"17360000","0.3155"
"17395000","0.326"
"17430000","0.3125"
"17465000","0.3255"
"17500000","0.336"
"17535000","0.3205"
"17570000","0.305"
"17605000","0.307"
"17640000","0.3095"
"17675000","0.3355"
"17710000","0.3275"
"17745000","0.3095"
"17780000","0.3475"
"17815000","0.325"
"17850000","0.3295"
"17885000","0.3015"
"17920000","0.3485"
"17955000","0.314"
"17990000","0.315"
"18025000","0.339"
"18060000","0.313"
"18095000","0.3125"
"18130000","0.324"
"18165000","0.3495"
"18200000","0.3295"
"18235000","0.3365"
"18270000","0.3345"
"18305000","0.3235"
"18340000","0.3285"
"18375000","0.315"
"18410000","0.32"
"18445000","0.3145"
"18480000","0.3565"
"18515000","0.3435"
"18550000","0.3535"
"18585000","0.3545"
"18620000","0.361"
"18655000","0.3655"
"18690000","0.3415"
"18725000","0.351"
"18760000","0.3725"
"18795000","0.354"
"18830000","0.335"
"18865000","0.3315"
"18900000","0.37"
"18935000","0.3565"
"18970000","0.3345"
"19005000","0.3475"
"19040000","0.34"
"19075000","0.329"
"19110000","0.358"
"19145000","0.334"
"19180000","0.3155"
"19215000","0.3295"
"19250000","0.3585"
"19285000","0.3445"
"19320000","0.369"
"19355000","0.3615"
"19390000","0.354"
"19425000","0.3615"
"19460000","0.351"
"19495000","0.332"
"19530000","0.363"
"19565000","0.371"
"19600000","0.371"
"19635000","0.3345"
"19670000","0.378"
"19705000","0.343"
"19740000","0.3775"
"19775000","0.3625"
"19810000","0.375"
"19845000","0.3715"
"19880000","0.3635"
"19915000","0.373"
"19950000","0.369"
"19985000","0.3535"
"20020000","0.399"
"20055000","0.3635"
"20090000","0.369"
"20125000","0.3615"
"20160000","0.358"
"20195000","0.356"
"20230000","0.374"
"20265000","0.3765"
"20300000","0.3755"
"20335000","0.349"
"20370000","0.36"
"20405000","0.372"
"20440000","0.3505"
"20475000","0.3585"
"20510000","0.3685"
"20545000","0.357"
"20580000","0.3905"
"20615000","0.37"
"20650000","0.393"
"20685000","0.393"
"20720000","0.372"
"20755000","0.3705"
"20790000","0.3815"
"20825000","0.3795"
"20860000","0.3915"
"20895000","0.379"
"20930000","0.369"
"20965000","0.381"
"21000000","0.3805"
"21035000","0.3745"
"21070000","0.3845"
"21105000","0.402"
"21140000","0.3705"
"21175000","0.3685"
"21210000","0.359"
"21245000","0.387"
"21280000","0.3685"
"21315000","0.3655"
"21350000","0.37"
"21385000","0.395"
"21420000","0.3795"
"21455000","0.376"
"21490000","0.3895"
"21525000","0.356"
"21560000","0.364"
"21595000","0.367"
"21630000","0.361"
"21665000","0.366"
"21700000","0.393"
"21735000","0.38"
"21770000","0.378"
"21805000","0.344"
"21840000","0.351"
"21875000","0.345"
"21910000","0.3605"
"21945000","0.3395"
"21980000","0.328"
"22015000","0.322"
"22050000","0.3425"
"22085000","0.3285"
"22120000","0.3305"
"22155000","0.312"
"22190000","0.299"
"22225000","0.3205"
"22260000","0.293"
"22295000","0.33"
"22330000","0.3055"
"22365000","0.306"
"22400000","0.3015"
"22435000","0.3015"
"22470000","0.2955"
"22505000","0.2955"
"22540000","0.2935"
"22575000","0.3335"
"22610000","0.3055"
"22645000","0.2955"
"22680000","0.332"
"22715000","0.2895"
"22750000","0.3245"
"22785000","0.3315"
"22820000","0.348"
"22855000","0.349"
"22890000","0.34"
"22925000","0.334"
"22960000","0.3295"
"22995000","0.354"
"23030000","0.357"
"23065000","0.3475"
"23100000","0.3665"
"23135000","0.3565"
"23170000","0.3665"
"23205000","0.3665"
"23240000","0.376"
"23275000","0.3625"
"23310000","0.343"
"23345000","0.352"
"23380000","0.3545"
"23415000","0.347"
"23450000","0.3545"
"23485000","0.3525"
"23520000","0.351"
"23555000","0.3755"
"23590000","0.3805"
"23625000","0.3545"
"23660000","0.3735"
"23695000","0.374"
"23730000","0.395"
"23765000","0.3525"
"23800000","0.3965"
"23835000","0.3575"
"23870000","0.3615"
"23905000","0.36"
"23940000","0.37"
"23975000","0.374"
"24010000","0.351"
"24045000","0.365"
"24080000","0.356"
"24115000","0.363"
"24150000","0.356"
"24185000","0.3605"
"24220000","0.3495"
"24255000","0.3565"
"24290000","0.363"
"24325000","0.352"
"24360000","0.371"
"24395000","0.3785"
"24430000","0.3675"
"24465000","0.3425"
"24500000","0.3595"
"24535000","0.3645"
"24570000","0.361"
"24605000","0.3415"
"24640000","0.3645"
"24675000","0.371"
"24710000","0.3575"
"24745000","0.3395"
"24780000","0.3825"
"24815000","0.37"
"24850000","0.363"
"24885000","0.363"
"24920000","0.359"
"24955000","0.3575"
"24990000","0.339"
"25025000","0.361"
"25060000","0.3545"
"25095000","0.3565"
"25130000","0.3625"
"25165000","0.3655"
"25200000","0.354"
"25235000","0.355"
"25270000","0.357"
"25305000","0.3625"
"25340000","0.3805"
"25375000","0.375"
"25410000","0.3485"
"25445000","0.369"
"25480000","0.3695"
"25515000","0.392"
"25550000","0.366"
"25585000","0.3695"
"25620000","0.355"
"25655000","0.3705"
"25690000","0.379"
"25725000","0.383"
"25760000","0.3655"
"25795000","0.362"
"25830000","0.363"
"25865000","0.381"
"25900000","0.38"
"25935000","0.3945"
"25970000","0.3925"
"26005000","0.3945"
"26040000","0.388"
"26075000","0.389"
"26110000","0.3845"
"26145000","0.3905"
"26180000","0.4065"
"26215000","0.3825"
"26250000","0.379"
"26285000","0.3825"
"26320000","0.3835"
"26355000","0.3855"
"26390000","0.3935"
"26425000","0.3885"
"26460000","0.3775"
"26495000","0.4085"
"26530000","0.421"
"26565000","0.405"
"26600000","0.426"
"26635000","0.4155"
"26670000","0.4115"
"26705000","0.395"
"26740000","0.412"
"26775000","0.4055"
"26810000","0.408"
"26845000","0.4175"
"26880000","0.394"
"26915000","0.4195"
"26950000","0.4235"
"26985000","0.4225"
"27020000","0.41"
"27055000","0.4135"
"27090000","0.422"
"27125000","0.405"
"27160000","0.405"
"27195000","0.4205"
"27230000","0.422"
"27265000","0.3925"
"27300000","0.4165"
"27335000","0.3975"
"27370000","0.4005"
"27405000","0.417"
"27440000","0.394"
"27475000","0.384"
"27510000","0.406"
"27545000","0.389"
"27580000","0.3955"
"27615000","0.3645"
"27650000","0.383"
"27685000","0.3995"
"27720000","0.3815"
"27755000","0.376"
"27790000","0.391"
"27825000","0.38"
"27860000","0.3715"
"27895000","0.374"
"27930000","0.3605"
"27965000","0.3705"
"28000000","0.3835"
"28035000","0.4005"
"28070000","0.3675"
"28105000","0.3715"
"28140000","0.381"
"28175000","0.391"
"28210000","0.3745"
"28245000","0.365"
"28280000","0.3725"
"28315000","0.3965"
"28350000","0.394"
"28385000","0.4015"
"28420000","0.3815"
"28455000","0.396"
"28490000","0.404"
"28525000","0.399"
"28560000","0.3895"
"28595000","0.405"
"28630000","0.399"
"28665000","0.3625"
"28700000","0.3835"
"28735000","0.413"
"28770000","0.4015"
"28805000","0.413"
"28840000","0.3945"
"28875000","0.4045"
"28910000","0.4165"
"28945000","0.44"
"28980000","0.4165"
"29015000","0.3975"
"29050000","0.412"
"29085000","0.417"
"29120000","0.406"
"29155000","0.4105"
"29190000","0.396"
"29225000","0.41"
"29260000","0.4255"
"29295000","0.4325"
"29330000","0.3935"
"29365000","0.44"
"29400000","0.417"
"29435000","0.4145"
"29470000","0.418"
"29505000","0.399"
"29540000","0.416"
"29575000","0.4075"
"29610000","0.4005"
"29645000","0.3895"
"29680000","0.408"
"29715000","0.4045"
"29750000","0.42"
"29785000","0.414"
"29820000","0.437"
"29855000","0.422"
"29890000","0.4375"
"29925000","0.445"
"29960000","0.4125"
"29995000","0.3885"
"30030000","0.404"
"30065000","0.41"
"30100000","0.428"
"30135000","0.402"
"30170000","0.435"
"30205000","0.4145"
"30240000","0.4135"
"30275000","0.432"
"30310000","0.435"
"30345000","0.405"
"30380000","0.419"
"30415000","0.4145"
"30450000","0.4295"
"30485000","0.4285"
"30520000","0.424"
"30555000","0.436"
"30590000","0.429"
"30625000","0.446"
"30660000","0.4625"
"30695000","0.4525"
"30730000","0.467"
"30765000","0.477"
"30800000","0.4575"
"30835000","0.459"
"30870000","0.4595"
"30905000","0.4715"
"30940000","0.4715"
"30975000","0.4775"
"31010000","0.471"
"31045000","0.475"
"31080000","0.4575"
"31115000","0.475"
"31150000","0.4845"
"31185000","0.4955"
"31220000","0.4865"
"31255000","0.487"
"31290000","0.476"
"31325000","0.4715"
"31360000","0.5035"
"31395000","0.531"
"31430000","0.5055"
"31465000","0.5285"
"31500000","0.4835"
"31535000","0.4915"
"31570000","0.5015"
"31605000","0.5095"
"31640000","0.4965"
"31675000","0.541"
"31710000","0.5135"
"31745000","0.505"
"31780000","0.515"
"31815000","0.509"
"31850000","0.4985"
"31885000","0.5365"
"31920000","0.531"
"31955000","0.508"
"31990000","0.518"
"32025000","0.5005"
"32060000","0.5235"
"32095000","0.508"
"32130000","0.5"
"32165000","0.5245"
"32200000","0.525"
"32235000","0.513"
"32270000","0.5155"
"32305000","0.5435"
"32340000","0.527"
"32375000","0.5135"
"32410000","0.5215"
"32445000","0.522"
"32480000","0.521"
"32515000","0.517"
"32550000","0.513"
"32585000","0.543"
"32620000","0.536"
"32655000","0.545"
"32690000","0.542"
"32725000","0.522"
"32760000","0.5225"
"32795000","0.5305"
"32830000","0.5115"
"32865000","0.525"
"32900000","0.5565"
"32935000","0.527"
"32970000","0.538"
"33005000","0.533"
"33040000","0.5315"
"33075000","0.533"
"33110000","0.53"
"33145000","0.5335"
"33180000","0.533"
"33215000","0.529"
"33250000","0.5205"
"33285000","0.5455"
"33320000","0.5365"
"33355000","0.5345"
"33390000","0.5365"
"33425000","0.542"
"33460000","0.5205"
"33495000","0.5575"
"33530000","0.531"
"33565000","0.5255"
"33600000","0.514"
"33635000","0.5225"
"33670000","0.529"
"33705000","0.519"
"33740000","0.5225"
"33775000","0.553"
"33810000","0.5395"
"33845000","0.554"
"33880000","0.5555"
"33915000","0.5665"
"33950000","0.561"
"33985000","0.549"
"34020000","0.5335"
"34055000","0.5735"
"34090000","0.5555"
"34125000","0.5705"
"34160000","0.5635"
"34195000","0.5545"
"34230000","0.5325"
"34265000","0.56"
"34300000","0.5665"
"34335000","0.532"
"34370000","0.5615"
"34405000","0.533"
"34440000","0.5565"
"34475000","0.558"
"34510000","0.5555"
"34545000","0.5425"
"34580000","0.529"
"34615000","0.5295"
"34650000","0.5385"
"34685000","0.5375"
"34720000","0.5245"
"34755000","0.535"
"34790000","0.514"
"34825000","0.539"
"34860000","0.5575"
"34895000","0.552"
"34930000","0.5455"
"34965000","0.5475"
"35000000","0.547"
"35035000","0.557"
"35070000","0.5725"
"35105000","0.5465"
"35140000","0.5615"
"35175000","0.5775"
"35210000","0.551"
"35245000","0.587"
"35280000","0.5845"
"35315000","0.5705"
"35350000","0.554"
"35385000","0.5535"
"35420000","0.5345"
"35455000","0.557"
"35490000","0.528"
"35525000","0.557"
"35560000","0.5775"
"35595000","0.564"
"35630000","0.5565"
"35665000","0.576"
"35700000","0.577"
"35735000","0.553"
"35770000","0.5835"
"35805000","0.563"
"35840000","0.573"
"35875000","0.5745"
"35910000","0.566"
"35945000","0.5825"
"35980000","0.587"
"36015000","0.604"
"36050000","0.5655"
"36085000","0.5925"
"36120000","0.575"
"36155000","0.566"
"36190000","0.5745"
"36225000","0.569"
"36260000","0.58"
"36295000","0.579"
"36330000","0.591"
"36365000","0.5915"
"36400000","0.5715"
"36435000","0.5655"
"36470000","0.5685"
"36505000","0.559"
"36540000","0.577"
"36575000","0.57"
"36610000","0.5615"
"36645000","0.568"
"36680000","0.588"
"36715000","0.563"
"36750000","0.5545"
"36785000","0.5825"
"36820000","0.593"
"36855000","0.5875"
"36890000","0.5745"
"36925000","0.5845"
"36960000","0.5885"
"36995000","0.5505"
"37030000","0.579"
"37065000","0.573"
"37100000","0.594"
"37135000","0.576"
"37170000","0.589"
"37205000","0.596"
"37240000","0.5575"
"37275000","0.576"
"37310000","0.5675"
"37345000","0.5785"
"37380000","0.5665"
"37415000","0.5865"
"37450000","0.5975"
"37485000","0.6095"
"37520000","0.596"
"37555000","0.5925"
"37590000","0.5915"
"37625000","0.5775"
"37660000","0.596"
"37695000","0.6105"
"37730000","0.6055"
"37765000","0.5855"
"37800000","0.609"
"37835000","0.616"
"37870000","0.616"
"37905000","0.59"
"37940000","0.6075"
"37975000","0.5895"
"38010000","0.6335"
"38045000","0.626"
"38080000","0.6015"
"38115000","0.608"
"38150000","0.6245"
"38185000","0.6225"
"38220000","0.619"
"38255000","0.613"
"38290000","0.6135"
"38325000","0.6055"
"38360000","0.641"
"38395000","0.591"
"38430000","0.593"
"38465000","0.636"
"38500000","0.6175"
"38535000","0.629"
"38570000","0.626"
"38605000","0.6"
"38640000","0.6055"
"38675000","0.601"
"38710000","0.6275"
"38745000","0.64"
"38780000","0.614"
"38815000","0.627"
"38850000","0.6065"
"38885000","0.6195"
"38920000","0.6115"
"38955000","0.6235"
"38990000","0.6165"
"39025000","0.605"
"39060000","0.619"
"39095000","0.611"
"39130000","0.634"
"39165000","0.6215"
"39200000","0.6275"
"39235000","0.634"
"39270000","0.6315"
"39305000","0.623"
"39340000","0.625"
"39375000","0.6095"
"39410000","0.6185"
"39445000","0.615"
"39480000","0.6275"
"39515000","0.6155"
"39550000","0.63"
"39585000","0.628"
"39620000","0.638"
