"Step","mix4n8_bound90_seed2 - 8cover_rate"
"54600000","0.78275"
"54810000","0.7805"
"55020000","0.77125"
"55230000","0.8005"
"55440000","0.8165"
"55650000","0.8245"
"55860000","0.82625"
"56070000","0.82275"
"56280000","0.833"
"56490000","0.844"
"56700000","0.83275"
"56910000","0.843"
"57120000","0.83"
"57330000","0.8305"
"57540000","0.82725"
"57750000","0.83"
"57960000","0.842"
"58170000","0.81725"
"58380000","0.8325"
"58590000","0.8185"
"58800000","0.82025"
"59010000","0.82825"
"59220000","0.8185"
"59430000","0.81975"
"59640000","0.823"
"59850000","0.814"
"60060000","0.79625"
"60270000","0.812"
"60480000","0.81425"
"60690000","0.7985"
"60900000","0.7895"
"61110000","0.80275"
"61320000","0.81925"
"61530000","0.80525"
"61740000","0.81175"
"61950000","0.8125"
"62160000","0.826"
"62370000","0.80925"
"62580000","0.8235"
"62790000","0.85225"
"63000000","0.8585"
"63210000","0.86475"
"63420000","0.8815"
"63630000","0.872"
"63840000","0.85125"
"64050000","0.85"
"64260000","0.8585"
"64470000","0.8685"
"64680000","0.8795"
"64890000","0.873"
"65100000","0.879"
"65310000","0.88325"
"65520000","0.912"
"65730000","0.9145"
"65940000","0.90025"
"66150000","0.908"
"66360000","0.893"
"66570000","0.89475"
"66780000","0.89325"
"66990000","0.9055"
"67200000","0.9005"
"67410000","0.8945"
"67620000","0.8505"
"67830000","0.87325"
"68040000","0.87175"
"68250000","0.868"
"68460000","0.89425"
"68670000","0.89"
"68880000","0.87625"
"69090000","0.872"
"69300000","0.886"
"69510000","0.8855"
"69720000","0.89875"
"69930000","0.8895"
"70140000","0.88625"
"70350000","0.8835"
"70560000","0.86225"
"70770000","0.86625"
"70980000","0.871"
"71190000","0.85925"
"71400000","0.85775"
"71610000","0.86"
"71820000","0.85475"
"72030000","0.8575"
"72240000","0.89025"
"72450000","0.89375"
"72660000","0.889"
"72870000","0.895"
"73080000","0.902"
"73290000","0.9015"
"73500000","0.88825"
"73710000","0.892"
"73920000","0.89025"
"74130000","0.89875"
"74340000","0.90575"
"74550000","0.84175"
"74760000","0.82125"
"74970000","0.83725"
"75180000","0.841"
"75390000","0.84575"
"75600000","0.83625"
"75810000","0.8395"
"76020000","0.85825"
"76230000","0.86125"
"76440000","0.8525"
"76650000","0.86025"
"76860000","0.84825"
"77070000","0.841"
"77280000","0.8615"
"77490000","0.85225"
"77700000","0.8655"
"77910000","0.8765"
"78120000","0.85925"
"78330000","0.862"
"78540000","0.8635"
"78750000","0.87975"
"78960000","0.85125"
"79170000","0.85375"
"79380000","0.849"
"79590000","0.83575"
"79800000","0.83675"
"80010000","0.8385"
"80220000","0.8455"
"80430000","0.8505"
"80640000","0.8605"
"80850000","0.83125"
"81060000","0.843"
"81270000","0.847"
"81480000","0.823"
"81690000","0.84"
"81900000","0.8535"
"82110000","0.86175"
"82320000","0.86425"
"82530000","0.89175"
"82740000","0.87675"
"82950000","0.88025"
"83160000","0.89375"
"83370000","0.88925"
"83580000","0.88925"
"83790000","0.894"
"84000000","0.896"
"84210000","0.89025"
"84420000","0.901"
"84630000","0.901"
"84840000","0.90875"
"85050000","0.908"
"85260000","0.9115"
"85470000","0.90625"
"85680000","0.916"
"85890000","0.90825"
"86100000","0.92325"
"86310000","0.92225"
"86520000","0.92625"
"86730000","0.91825"
"86940000","0.92275"
"87150000","0.9185"
"87360000","0.90225"
"87570000","0.906"
"87780000","0.908"
"87990000","0.90825"
"88200000","0.913"
"88410000","0.8835"
"88620000","0.865"
"88830000","0.86925"
"89040000","0.8635"
"89250000","0.8605"
"89460000","0.879"
"89670000","0.8705"
"89880000","0.87425"
"90090000","0.863"
"90300000","0.8665"
"90510000","0.86575"
"90720000","0.8635"
"90930000","0.8595"
"91140000","0.86275"
"91350000","0.853"
"91560000","0.861"
"91770000","0.868"
"91980000","0.8585"
"92190000","0.86025"
"92400000","0.871"
"92610000","0.871"
"92820000","0.87025"
"93030000","0.873"
"93240000","0.85575"
"93450000","0.871"
"93660000","0.86"
"93870000","0.85525"
"94080000","0.8425"
"94290000","0.86225"
"94500000","0.8675"
"94710000","0.86425"
"94920000","0.856"
"95130000","0.844"
"95340000","0.83925"
"95550000","0.828"
"95760000","0.833"
"95970000","0.84775"
"96180000","0.846"
"96390000","0.865"
"96600000","0.84925"
"96810000","0.8595"
"97020000","0.86825"
"97230000","0.854"
"97440000","0.83125"
"97650000","0.83025"
"97860000","0.8385"
"98070000","0.85225"
"98280000","0.87675"
"98490000","0.868"
"98700000","0.88775"
"98910000","0.87275"
"99120000","0.865"
"99330000","0.8785"
"99540000","0.872"
"99750000","0.8515"
"99960000","0.8495"
"100170000","0.8535"
"100380000","0.85725"
"100590000","0.84175"
"100800000","0.84025"
"101010000","0.85375"
"101220000","0.8505"
"101430000","0.8665"
"101640000","0.865"
"101850000","0.8865"
"102060000","0.8975"
"102270000","0.8825"
"102480000","0.88025"
"102690000","0.88325"
"102900000","0.89775"
"103110000","0.895"
"103320000","0.89225"
"103530000","0.89625"
"103740000","0.89825"
"103950000","0.899"
"104160000","0.922"
"104370000","0.90925"
"104580000","0.93275"
"104790000","0.92775"
"105000000","0.935"
"105210000","0.932"
"105420000","0.9185"
"105630000","0.928"
"105840000","0.94"
"106050000","0.94375"
"106260000","0.91825"
"106470000","0.9425"
"106680000","0.95225"
"106890000","0.94875"
"107100000","0.96175"
"107310000","0.9655"
"107520000","0.96075"
"107730000","0.96525"
"107940000","0.96675"
"108150000","0.967"
"108360000","0.968"
"108570000","0.952"
"108780000","0.94925"
"108990000","0.94325"
"109200000","0.929"
"109410000","0.919"
