"Step","reverse_pb_eval1_parentsampling_seed1 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed2 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed3 - cover_rate_5step"
"7560000","0.014","0.013","0.015"
"7620000","0.018","0.019","0.01"
"7680000","0.011","0.017","0.012"
"7740000","0.013","0.015","0.014"
"7800000","0.011","0.024","0.008"
"7860000","0.01","0.013","0.015"
"7920000","0.016","0.015","0.013"
"7980000","0.011","0.019","0.016"
"8040000","0.022","0.017","0.011"
"8100000","0.012","0.015","0.014"
"8160000","0.012","0.012","0.014"
"8220000","0.009","0.021","0.012"
"8280000","0.019","0.022","0.016"
"8340000","0.0106","0.013","0.017"
"8400000","0.016","0.012","0.021"
"8460000","0.017","0.016","0.016"
"8520000","0.012","0.013","0.009"
"8580000","0.012","0.011","0.018"
"8640000","0.016","0.013","0.012"
"8700000","0.019","0.019","0.006"
"8760000","0.012","0.018","0.006"
"8820000","0.007","0.017","0.014"
"8880000","0.019","0.02","0.015"
"8940000","0.018","0.011","0.013"
"9000000","0.0216","0.013","0.017"
"9060000","0.023","0.016","0.013"
"9120000","0.013","0.017","0.015"
"9180000","0.02","0.017","0.015"
"9240000","0.024","0.017","0.017"
"9300000","0.021","0.019","0.008"
"9360000","0.0086","0.02","0.015"
"9420000","0.011","0.01","0.009"
"9480000","0.012","0.01","0.02"
"9540000","0.02","0.016","0.015"
"9600000","0.017","0.014","0.009"
"9660000","0.021","0.018","0.01"
"9720000","0.02","0.016","0.01"
"9780000","0.012","0.02","0.016"
"9840000","0.013","0.017","0.025"
"9900000","0.023","0.015","0.011"
"9960000","0.014","0.012","0.014"
"10020000","0.013","0.018","0.015"
"10080000","0.013","0.015","0.013"
"10140000","0.023","0.021","0.022"
"10200000","0.016","0.015","0.014"
"10260000","0.024","0.023","0.015"
"10320000","0.008","0.022","0.018"
