"Step","sp_active_expansion_seed2 - cover_rate_1step"
"17535000","0.5825"
"17640000","0.5785"
"17745000","0.594"
"17850000","0.5895"
"17955000","0.58"
"18060000","0.594"
"18165000","0.601"
"18270000","0.609"
"18375000","0.585"
"18480000","0.601"
"18585000","0.607"
"18690000","0.602"
"18795000","0.56"
"18900000","0.6085"
"19005000","0.6205"
"19110000","0.611"
"19215000","0.606"
"19320000","0.622"
"19425000","0.6135"
"19530000","0.633"
"19635000","0.6415"
"19740000","0.621"
"19845000","0.6255"
"19950000","0.648"
"20055000","0.642"
"20160000","0.6455"
"20265000","0.651"
"20370000","0.6305"
"20475000","0.6315"
"20580000","0.617"
"20685000","0.637"
"20790000","0.643"
"20895000","0.651"
"21000000","0.65"
"21105000","0.663"
"21210000","0.6565"
"21315000","0.663"
"21420000","0.6715"
"21525000","0.6305"
"21630000","0.6405"
"21735000","0.666"
"21840000","0.6615"
"21945000","0.6605"
"22050000","0.669"
"22155000","0.67"
"22260000","0.662"
"22365000","0.675"
"22470000","0.6645"
"22575000","0.6805"
"22680000","0.67"
"22785000","0.6905"
"22890000","0.706"
"22995000","0.694"
"23100000","0.6885"
"23205000","0.688"
"23310000","0.7065"
"23415000","0.682"
"23520000","0.6965"
"23625000","0.6825"
"23730000","0.678"
"23835000","0.687"
"23940000","0.706"
"24045000","0.7195"
"24150000","0.683"
"24255000","0.6875"
"24360000","0.702"
"24465000","0.718"
"24570000","0.7015"
"24675000","0.707"
"24780000","0.6965"
"24885000","0.72"
"24990000","0.712"
"25095000","0.7065"
"25200000","0.73"
"25305000","0.7425"
"25410000","0.768"
"25515000","0.7485"
"25620000","0.7375"
"25725000","0.7575"
"25830000","0.7655"
"25935000","0.79"
"26040000","0.7735"
"26145000","0.774"
"26250000","0.7755"
"26355000","0.797"
"26460000","0.784"
"26565000","0.7885"
"26670000","0.7825"
"26775000","0.793"
"26880000","0.8065"
"26985000","0.8035"
"27090000","0.7985"
"27195000","0.796"
"27300000","0.79"
"27405000","0.7975"
"27510000","0.8195"
"27615000","0.8195"
"27720000","0.8155"
"27825000","0.809"
"27930000","0.8185"
"28035000","0.813"
"28140000","0.8245"
"28245000","0.8015"
"28350000","0.8105"
"28455000","0.8125"
"28560000","0.8275"
"28665000","0.83"
"28770000","0.825"
"28875000","0.8355"
"28980000","0.8355"
"29085000","0.8565"
"29190000","0.8445"
"29295000","0.849"
"29400000","0.8365"
"29505000","0.851"
"29610000","0.8375"
"29715000","0.845"
"29820000","0.8545"
"29925000","0.8745"
"30030000","0.864"
"30135000","0.87"
"30240000","0.874"
"30345000","0.859"
"30450000","0.8555"
"30555000","0.8565"
"30660000","0.878"
"30765000","0.8735"
"30870000","0.866"
"30975000","0.8735"
"31080000","0.883"
"31185000","0.868"
"31290000","0.872"
"31395000","0.8735"
"31500000","0.8785"
"31605000","0.8605"
"31710000","0.868"
"31815000","0.863"
"31920000","0.874"
"32025000","0.8735"
"32130000","0.8695"
"32235000","0.8785"
"32340000","0.9095"
"32445000","0.8935"
"32550000","0.9"
"32655000","0.8935"
"32760000","0.9065"
"32865000","0.9"
"32970000","0.905"
"33075000","0.9"
"33180000","0.9"
"33285000","0.9065"
"33390000","0.9135"
"33495000","0.926"
"33600000","0.915"
"33705000","0.913"
"33810000","0.922"
"33915000","0.9225"
"34020000","0.931"
"34125000","0.9155"
"34230000","0.922"
"34335000","0.924"
"34440000","0.922"
"34545000","0.9215"
"34650000","0.915"
"34755000","0.926"
"34860000","0.9405"
"34965000","0.927"
"35070000","0.9335"
"35175000","0.9415"
"35280000","0.9375"
"35385000","0.928"
"35490000","0.939"
"35595000","0.949"
"35700000","0.945"
"35805000","0.9425"
"35910000","0.9425"
"36015000","0.9255"
"36120000","0.948"
"36225000","0.9475"
"36330000","0.9435"
"36435000","0.9495"
"36540000","0.95"
"36645000","0.9475"
"36750000","0.9435"
"36855000","0.9445"
"36960000","0.9335"
"37065000","0.945"
"37170000","0.9405"
"37275000","0.943"
"37380000","0.9465"
"37485000","0.9465"
"37590000","0.949"
"37695000","0.9535"
"37800000","0.946"
"37905000","0.9585"
"38010000","0.959"
"38115000","0.9505"
"38220000","0.9415"
"38325000","0.9365"
"38430000","0.954"
"38535000","0.957"
"38640000","0.9495"
"38745000","0.949"
"38850000","0.9595"
"38955000","0.963"
"39060000","0.972"
"39165000","0.9535"
"39270000","0.954"
"39375000","0.9575"
"39480000","0.9605"
"39585000","0.9595"
"39690000","0.96"
"39795000","0.9685"
"39900000","0.957"
