"Step","Boxlocking_2agent2box_all_return_reverse_threshold0.5_seed1 - test_return_rate"
"20716800","0.035"
"20748000","0.008"
"20779200","0.018"
"20810400","0.015"
"20841600","0.022"
"20872800","0.025"
"20904000","0.039"
"20935200","0.049"
"20966400","0.025"
"20997600","0.017"
"21028800","0.012"
"21060000","0.032"
"21091200","0.02"
"21122400","0.029"
"21153600","0.012"
"21184800","0.018"
"21216000","0.029"
"21247200","0.015"
"21278400","0.015"
"21309600","0.016"
"21340800","0.035"
"21372000","0.039"
"21403200","0.012"
"21434400","0.031"
"21465600","0.023"
"21496800","0.017"
"21528000","0.026"
"21559200","0.054"
"21590400","0.027"
"21621600","0.038"
"21652800","0.025"
"21684000","0.041"
"21715200","0.022"
"21746400","0.016"
"21777600","0.03"
"21808800","0.033"
"21840000","0.026"
"21871200","0.016"
"21902400","0.018"
"21933600","0.009"
"21964800","0.033"
"21996000","0.036"
"22027200","0.027"
"22058400","0.016"
"22089600","0.018"
"22120800","0.027"
"22152000","0.011"
"22183200","0.025"
"22214400","0.044"
"22245600","0.039"
"22276800","0.032"
"22308000","0.008"
"22339200","0.043"
"22370400","0.022"
"22401600","0.046"
"22432800","0.026"
"22464000","0.019"
"22495200","0.056"
"22526400","0.041"
"22557600","0.032"
"22588800","0.05"
"22620000","0.042"
"22651200","0.04"
"22682400","0.028"
"22713600","0.027"
"22744800","0.027"
"22776000","0.041"
"22807200","0.037"
"22838400","0.026"
"22869600","0.043"
"22900800","0.02"
"22932000","0.029"
"22963200","0.025"
"22994400","0.047"
"23025600","0.037"
"23056800","0.016"
"23088000","0.02"
"23119200","0.018"
"23150400","0.029"
"23181600","0.027"
"23212800","0.054"
"23244000","0.012"
"23275200","0.01"
"23306400","0.018"
"23337600","0.011"
"23368800","0.026"
"23400000","0.044"
"23431200","0.033"
"23462400","0.022"
"23493600","0.021"
"23524800","0.039"
"23556000","0.054"
"23587200","0.021"
"23618400","0.016"
"23649600","0.053"
"23680800","0.012"
"23712000","0.029"
"23743200","0.015"
"23774400","0.018"
"23805600","0.025"
"23836800","0.031"
"23868000","0.021"
"23899200","0.016"
"23930400","0.039"
"23961600","0.013"
"23992800","0.01"
"24024000","0.032"
"24055200","0.045"
"24086400","0.015"
"24117600","0.018"
"24148800","0.021"
"24180000","0.02"
"24211200","0.028"
"24242400","0.016"
"24273600","0.014"
"24304800","0.025"
"24336000","0.025"
"24367200","0.013"
"24398400","0.007"
"24429600","0.012"
"24460800","0.02"
"24492000","0.018"
"24523200","0.022"
"24554400","0.016"
"24585600","0.042"
"24616800","0.027"
"24648000","0.032"
"24679200","0.016"
"24710400","0.065"
"24741600","0.015"
"24772800","0.029"
"24804000","0.022"
"24835200","0.027"
"24866400","0.025"
"24897600","0.045"
"24928800","0.05"
"24960000","0.029"
"24991200","0.014"
"25022400","0.014"
"25053600","0.007"
"25084800","0.035"
"25116000","0.005"
"25147200","0.037"
"25178400","0.037"
"25209600","0.014"
"25240800","0.024"
"25272000","0.027"
"25303200","0.012"
"25334400","0.014"
"25365600","0.034"
"25396800","0.015"
"25428000","0.015"
"25459200","0.03"
"25490400","0.032"
"25521600","0.01"
"25552800","0.018"
"25584000","0.029"
"25615200","0.042"
"25646400","0.028"
"25677600","0.017"
"25708800","0.031"
"25740000","0.033"
"25771200","0.048"
"25802400","0.036"
"25833600","0.044"
"25864800","0.022"
"25896000","0.034"
"25927200","0.036"
"25958400","0.05"
"25989600","0.019"
"26020800","0.033"
"26052000","0.035"
"26083200","0.019"
"26114400","0.013"
"26145600","0.026"
"26176800","0.028"
"26208000","0.016"
"26239200","0.042"
"26270400","0.028"
"26301600","0.037"
"26332800","0.057"
"26364000","0.026"
"26395200","0.042"
"26426400","0.011"
"26457600","0.035"
"26488800","0.039"
"26520000","0.036"
"26551200","0.045"
"26582400","0.034"
"26613600","0.033"
"26644800","0.044"
"26676000","0.033"
"26707200","0.048"
"26738400","0.046"
"26769600","0.017"
"26800800","0.032"
"26832000","0.022"
"26863200","0.032"
"26894400","0.045"
"26925600","0.035"
"26956800","0.043"
"26988000","0.023"
"27019200","0.029"
"27050400","0.047"
"27081600","0.023"
"27112800","0.053"
"27144000","0.034"
"27175200","0.022"
"27206400","0.034"
"27237600","0.038"
"27268800","0.015"
"27300000","0.033"
"27331200","0.052"
"27362400","0.05"
"27393600","0.04"
"27424800","0.069"
"27456000","0.025"
"27487200","0.051"
"27518400","0.065"
"27549600","0.041"
"27580800","0.031"
"27612000","0.048"
"27643200","0.03"
"27674400","0.042"
"27705600","0.04"
"27736800","0.045"
"27768000","0.035"
"27799200","0.03"
"27830400","0.029"
"27861600","0.049"
"27892800","0.019"
"27924000","0.026"
"27955200","0.038"
"27986400","0.015"
"28017600","0.045"
"28048800","0.042"
"28080000","0.028"
"28111200","0.023"
"28142400","0.044"
"28173600","0.055"
"28204800","0.054"
"28236000","0.026"
"28267200","0.046"
"28298400","0.042"
"28329600","0.018"
"28360800","0.039"
"28392000","0.043"
"28423200","0.041"
"28454400","0.056"
"28485600","0.047"
"28516800","0.024"
"28548000","0.025"
"28579200","0.055"
"28610400","0.04"
"28641600","0.042"
"28672800","0.027"
"28704000","0.024"
"28735200","0.022"
"28766400","0.034"
"28797600","0.032"
"28828800","0.043"
"28860000","0.05"
"28891200","0.039"
"28922400","0.032"
"28953600","0.057"
"28984800","0.072"
"29016000","0.059"
"29047200","0.073"
"29078400","0.035"
"29109600","0.058"
"29140800","0.064"
"29172000","0.026"
"29203200","0.021"
"29234400","0.038"
"29265600","0.04"
"29296800","0.056"
"29328000","0.045"
"29359200","0.07"
"29390400","0.065"
"29421600","0.037"
"29452800","0.029"
"29484000","0.046"
"29515200","0.033"
"29546400","0.027"
"29577600","0.029"
"29608800","0.019"
"29640000","0.047"
"29671200","0.031"
"29702400","0.039"
"29733600","0.035"
"29764800","0.045"
"29796000","0.021"
"29827200","0.05"
"29858400","0.056"
"29889600","0.061"
"29920800","0.031"
"29952000","0.015"
"29983200","0.037"
"30014400","0.06"
"30045600","0.083"
"30076800","0.062"
"30108000","0.084"
"30139200","0.054"
"30170400","0.052"
"30201600","0.063"
"30232800","0.048"
"30264000","0.036"
"30295200","0.059"
"30326400","0.035"
"30357600","0.058"
"30388800","0.035"
"30420000","0.047"
"30451200","0.054"
"30482400","0.039"
"30513600","0.051"
"30544800","0.083"
"30576000","0.057"
"30607200","0.076"
"30638400","0.06"
"30669600","0.05"
"30700800","0.042"
"30732000","0.064"
"30763200","0.068"
"30794400","0.032"
"30825600","0.062"
"30856800","0.063"
"30888000","0.067"
"30919200","0.059"
"30950400","0.046"
"30981600","0.024"
"31012800","0.054"
"31044000","0.023"
"31075200","0.056"
"31106400","0.074"
"31137600","0.055"
"31168800","0.06"
"31200000","0.03"
"31231200","0.02"
"31262400","0.05"
"31293600","0.049"
"31324800","0.088"
"31356000","0.07"
"31387200","0.047"
"31418400","0.035"
"31449600","0.056"
"31480800","0.049"
"31512000","0.039"
"31543200","0.072"
"31574400","0.06"
"31605600","0.046"
"31636800","0.082"
"31668000","0.077"
"31699200","0.04"
"31730400","0.058"
"31761600","0.041"
"31792800","0.038"
"31824000","0.074"
"31855200","0.032"
"31886400","0.041"
"31917600","0.049"
"31948800","0.046"
"31980000","0.05"
"32011200","0.052"
"32042400","0.059"
"32073600","0.072"
"32104800","0.049"
"32136000","0.048"
"32167200","0.043"
"32198400","0.078"
"32229600","0.076"
"32260800","0.037"
"32292000","0.067"
"32323200","0.042"
"32354400","0.062"
"32385600","0.023"
"32416800","0.073"
"32448000","0.074"
"32479200","0.055"
"32510400","0.067"
"32541600","0.047"
"32572800","0.056"
"32604000","0.043"
"32635200","0.039"
"32666400","0.052"
"32697600","0.046"
"32728800","0.044"
"32760000","0.036"
"32791200","0.042"
"32822400","0.035"
"32853600","0.068"
"32884800","0.06"
"32916000","0.067"
"32947200","0.07"
"32978400","0.093"
"33009600","0.08"
"33040800","0.061"
"33072000","0.054"
"33103200","0.059"
"33134400","0.057"
"33165600","0.046"
"33196800","0.078"
"33228000","0.074"
"33259200","0.099"
"33290400","0.074"
"33321600","0.069"
"33352800","0.048"
"33384000","0.043"
"33415200","0.062"
"33446400","0.038"
"33477600","0.049"
"33508800","0.045"
"33540000","0.028"
"33571200","0.068"
"33602400","0.048"
"33633600","0.046"
"33664800","0.054"
"33696000","0.027"
"33727200","0.038"
"33758400","0.051"
"33789600","0.07"
"33820800","0.044"
"33852000","0.048"
"33883200","0.075"
"33914400","0.079"
"33945600","0.083"
"33976800","0.065"
"34008000","0.044"
"34039200","0.061"
"34070400","0.021"
"34101600","0.038"
"34132800","0.075"
"34164000","0.03"
"34195200","0.067"
"34226400","0.07"
"34257600","0.048"
"34288800","0.042"
"34320000","0.083"
"34351200","0.065"
"34382400","0.06"
"34413600","0.037"
"34444800","0.055"
"34476000","0.01"
"34507200","0.052"
"34538400","0.049"
"34569600","0.041"
"34600800","0.077"
"34632000","0.044"
"34663200","0.043"
"34694400","0.061"
"34725600","0.046"
"34756800","0.099"
"34788000","0.072"
"34819200","0.071"
"34850400","0.065"
"34881600","0.041"
"34912800","0.055"
"34944000","0.058"
"34975200","0.069"
"35006400","0.084"
"35037600","0.06"
"35068800","0.091"
"35100000","0.049"
"35131200","0.07"
"35162400","0.049"
"35193600","0.039"
"35224800","0.057"
"35256000","0.081"
"35287200","0.056"
"35318400","0.069"
"35349600","0.074"
"35380800","0.044"
"35412000","0.076"
"35443200","0.092"
"35474400","0.066"
"35505600","0.08"
