"Step","sp_active_expansion_seed1 - cover_rate_1step"
"12705000","0.5855"
"12810000","0.5955"
"12915000","0.6025"
"13020000","0.614"
"13125000","0.61"
"13230000","0.6105"
"13335000","0.608"
"13440000","0.607"
"13545000","0.607"
"13650000","0.629"
"13755000","0.625"
"13860000","0.638"
"13965000","0.636"
"14070000","0.627"
"14175000","0.6225"
"14280000","0.6405"
"14385000","0.6305"
"14490000","0.624"
"14595000","0.644"
"14700000","0.632"
"14805000","0.6335"
"14910000","0.635"
"15015000","0.617"
"15120000","0.629"
"15225000","0.6185"
"15330000","0.6355"
"15435000","0.6425"
"15540000","0.6445"
"15645000","0.638"
"15750000","0.65"
"15855000","0.653"
"15960000","0.657"
"16065000","0.669"
"16170000","0.6465"
"16275000","0.646"
"16380000","0.6405"
"16485000","0.647"
"16590000","0.647"
"16695000","0.671"
"16800000","0.6545"
"16905000","0.641"
"17010000","0.676"
"17115000","0.6775"
"17220000","0.705"
"17325000","0.7025"
"17430000","0.682"
"17535000","0.6695"
"17640000","0.698"
"17745000","0.6925"
"17850000","0.7125"
"17955000","0.7155"
"18060000","0.713"
"18165000","0.729"
"18270000","0.7205"
"18375000","0.7085"
"18480000","0.705"
"18585000","0.7065"
"18690000","0.707"
"18795000","0.7225"
"18900000","0.7235"
"19005000","0.703"
"19110000","0.7095"
"19215000","0.725"
"19320000","0.7165"
"19425000","0.7285"
"19530000","0.7315"
"19635000","0.7455"
"19740000","0.7325"
"19845000","0.7275"
"19950000","0.7165"
"20055000","0.724"
"20160000","0.716"
"20265000","0.7175"
"20370000","0.7215"
"20475000","0.7185"
"20580000","0.746"
"20685000","0.7385"
"20790000","0.746"
"20895000","0.7715"
"21000000","0.7645"
"21105000","0.7565"
"21210000","0.7615"
"21315000","0.767"
"21420000","0.7795"
"21525000","0.7565"
"21630000","0.7705"
"21735000","0.7535"
"21840000","0.7605"
"21945000","0.7645"
"22050000","0.7855"
"22155000","0.783"
"22260000","0.7615"
"22365000","0.7325"
"22470000","0.746"
"22575000","0.7645"
"22680000","0.7665"
"22785000","0.7855"
"22890000","0.796"
"22995000","0.7835"
"23100000","0.806"
"23205000","0.779"
"23310000","0.7875"
"23415000","0.7835"
"23520000","0.793"
"23625000","0.794"
"23730000","0.794"
"23835000","0.8085"
"23940000","0.802"
"24045000","0.7865"
"24150000","0.7885"
"24255000","0.8065"
"24360000","0.807"
"24465000","0.818"
"24570000","0.795"
"24675000","0.7975"
"24780000","0.8035"
"24885000","0.8065"
"24990000","0.7975"
"25095000","0.795"
"25200000","0.8035"
"25305000","0.8225"
"25410000","0.819"
"25515000","0.816"
"25620000","0.8055"
"25725000","0.828"
"25830000","0.8255"
"25935000","0.8105"
"26040000","0.8035"
"26145000","0.8095"
"26250000","0.8465"
"26355000","0.834"
"26460000","0.8325"
"26565000","0.818"
"26670000","0.823"
"26775000","0.83"
"26880000","0.844"
"26985000","0.8335"
"27090000","0.8325"
"27195000","0.836"
"27300000","0.841"
"27405000","0.857"
"27510000","0.859"
"27615000","0.854"
"27720000","0.8585"
"27825000","0.8805"
"27930000","0.853"
"28035000","0.8515"
"28140000","0.8375"
"28245000","0.846"
"28350000","0.8405"
"28455000","0.8465"
"28560000","0.8335"
"28665000","0.8545"
"28770000","0.8585"
"28875000","0.837"
"28980000","0.8405"
"29085000","0.8505"
"29190000","0.841"
"29295000","0.844"
"29400000","0.846"
"29505000","0.8545"
"29610000","0.857"
"29715000","0.846"
"29820000","0.8365"
"29925000","0.8285"
"30030000","0.8265"
"30135000","0.8435"
"30240000","0.8415"
"30345000","0.8325"
"30450000","0.848"
"30555000","0.8375"
"30660000","0.8345"
"30765000","0.835"
"30870000","0.8505"
"30975000","0.8255"
"31080000","0.8515"
"31185000","0.8285"
"31290000","0.8525"
"31395000","0.8455"
"31500000","0.8565"
"31605000","0.8775"
"31710000","0.868"
"31815000","0.88"
"31920000","0.8675"
"32025000","0.8595"
"32130000","0.854"
"32235000","0.8475"
"32340000","0.861"
"32445000","0.863"
"32550000","0.8645"
"32655000","0.867"
"32760000","0.866"
"32865000","0.858"
"32970000","0.858"
"33075000","0.866"
"33180000","0.876"
"33285000","0.868"
"33390000","0.8685"
"33495000","0.861"
"33600000","0.877"
"33705000","0.8725"
"33810000","0.886"
"33915000","0.8855"
"34020000","0.894"
"34125000","0.8835"
"34230000","0.9075"
"34335000","0.9025"
"34440000","0.8985"
"34545000","0.905"
"34650000","0.9015"
"34755000","0.903"
"34860000","0.8935"
"34965000","0.9025"
"35070000","0.9"
"35175000","0.908"
"35280000","0.914"
"35385000","0.9065"
"35490000","0.902"
"35595000","0.901"
"35700000","0.901"
"35805000","0.9065"
"35910000","0.905"
"36015000","0.909"
"36120000","0.91"
"36225000","0.9075"
"36330000","0.9125"
"36435000","0.904"
"36540000","0.899"
"36645000","0.909"
"36750000","0.8985"
"36855000","0.9035"
"36960000","0.911"
"37065000","0.9005"
"37170000","0.9215"
"37275000","0.931"
"37380000","0.911"
"37485000","0.9155"
"37590000","0.9115"
"37695000","0.9165"
"37800000","0.902"
"37905000","0.9075"
"38010000","0.9165"
"38115000","0.92"
"38220000","0.911"
"38325000","0.9105"
"38430000","0.9005"
"38535000","0.912"
"38640000","0.9175"
"38745000","0.91"
"38850000","0.91"
"38955000","0.923"
"39060000","0.9215"
"39165000","0.9245"
"39270000","0.9235"
"39375000","0.913"
"39480000","0.9165"
"39585000","0.9045"
"39690000","0.906"
"39795000","0.9025"
"39900000","0.925"
