"Step","diversified_pb - cover_rate_5step","diversified_pb_seed2 - cover_rate_5step","diversified_pb_seed3 - cover_rate_5step"
"54180000","0.8826","0.9094","0.8936000000000001"
"54360000","0.893","0.9134","0.9034"
"54540000","0.8927999999999999","0.8815999999999999","0.9074"
"54720000","0.884","0.8857999999999999","0.9026"
"54900000","0.8887999999999999","0.9108","0.8962"
"55080000","0.8764000000000001","0.915","0.898"
"55260000","0.8845999999999999","0.9024","0.918"
"55440000","0.9028","0.931","0.9114"
"55620000","0.8992","0.9174","0.9112"
"55800000","0.9056","0.913","0.8987999999999999"
"55980000","0.8976","0.908","0.8877999999999999"
"56160000","0.8867999999999999","0.9094","0.8917999999999999"
"56340000","0.901","0.9136","0.9074"
"56520000","0.9092","0.9154","0.9084"
"56700000","0.9058","0.9216","0.9118"
"56880000","0.9098","0.9192","0.9026"
"57060000","0.8956","0.9146","0.9052"
"57240000","0.8702","0.9034","0.911"
"57420000","0.906","0.9248","0.9104"
"57600000","0.912","0.9156","0.9124"
"57780000","0.9104","0.9068","0.9058"
"57960000","0.9098","0.9202","0.918"
"58140000","0.9104","0.9352","0.8997999999999999"
"58320000","0.9204","0.936","0.9172"
"58500000","0.9284","0.9062","0.9244"
"58680000","0.924","0.9066","0.9158"
"58860000","0.9184","0.913","0.9248"
"59040000","0.911","0.9214","0.9124"
"59220000","0.929","0.9082","0.8954000000000001"
"59400000","0.9198","0.9168","0.8795999999999999"
"59580000","0.9274","0.91","0.912"
"59760000","0.9238","0.9078","0.9128"
"59940000","0.9154","0.892","0.9256"
"60120000","0.9236","0.9162","0.9256"
"60300000","0.9116","0.901","0.9306"
"60480000","0.9228","0.9262","0.9262"
"60660000","0.9336","0.9286","0.917"
"60840000","0.9186","0.9248","0.9258"
"61020000","0.912","0.9268","0.8974000000000001"
"61200000","0.9126","0.9248","0.9212"
"61380000","0.9098","0.9296","0.9262"
"61560000","0.9344","0.92","0.925"
"61740000","0.917","0.9362","0.9224"
"61920000","0.9176","0.9388","0.9336"
"62100000","0.9158","0.9222","0.9316"
"62280000","0.9188","0.9348","0.9218"
"62460000","0.9284","0.937","0.9458"
"62640000","0.9312","0.933","0.9232"
"62820000","0.9206","0.922","0.9452"
"63000000","0.9108","0.9322","0.9366"
"63180000","0.917","0.92","0.94"
"63360000","0.9276","0.9292","0.9292"
"63540000","0.9332","0.9438","0.9378"
"63720000","0.905","0.9302","0.948"
"63900000","0.9378","0.9274","0.9272"
"64080000","0.9198","0.9432","0.9482"
"64260000","0.933","0.9296","0.9358"
"64440000","0.9208","0.9472","0.939"
"64620000","0.936","0.9246","0.9342"
"64800000","0.9294","0.9354","0.9352"
"64980000","0.9318","0.9284","0.9366"
"65160000","0.9184","0.9362","0.9486"
