"Step","pb_wo_evaluation_seed1 - 2cover_rate_5step"
"58140000","0.855"
"58320000","0.854"
"58500000","0.8732000000000001"
"58680000","0.8508"
"58860000","0.847"
"59040000","0.8654"
"59220000","0.8692000000000001"
"59400000","0.863"
"59580000","0.8463999999999999"
"59760000","0.8766"
"59940000","0.8622"
"60120000","0.8688"
"60300000","0.8704000000000001"
"60480000","0.8916000000000001"
"60660000","0.8634000000000001"
"60840000","0.8692000000000001"
"61020000","0.8712000000000001"
"61200000","0.8954"
"61380000","0.8787999999999999"
"61560000","0.8745999999999999"
"61740000","0.8687999999999999"
"61920000","0.8896"
"62100000","0.8754"
"62280000","0.8573999999999999"
"62460000","0.8847999999999999"
"62640000","0.8876"
"62820000","0.882"
"63000000","0.8872000000000001"
"63180000","0.89"
"63360000","0.8926"
"63540000","0.8897999999999999"
"63720000","0.8912"
"63900000","0.887"
"64080000","0.8928"
"64260000","0.8812000000000001"
"64440000","0.8845999999999999"
"64620000","0.8896"
"64800000","0.899"
"64980000","0.8716"
"65160000","0.8814"
"65340000","0.8835999999999999"
"65520000","0.879"
"65700000","0.88"
"65880000","0.9158"
"66060000","0.8922"
"66240000","0.919"
"66420000","0.8967999999999999"
"66600000","0.891"
"66780000","0.915"
"66960000","0.9052"
"67140000","0.9048"
"67320000","0.8898"
"67500000","0.8957999999999999"
"67680000","0.919"
"67860000","0.9114"
"68040000","0.9098"
"68220000","0.9074"
"68400000","0.9001999999999999"
"68580000","0.9196"
"68760000","0.896"
"68940000","0.911"
"69120000","0.9252"
"69300000","0.9206"
"69480000","0.9196"
"69660000","0.9018"
"69840000","0.9036"
"70020000","0.919"
"70200000","0.9184"
"70380000","0.9206"
"70560000","0.917"
"70740000","0.9214"
"70920000","0.9286"
"71100000","0.9172"
"71280000","0.92"
"71460000","0.9082"
"71640000","0.9106"
"71820000","0.9288"
"72000000","0.9026"
"72180000","0.9032"
"72360000","0.8922"
"72540000","0.8964"
"72720000","0.923"
"72900000","0.889"
"73080000","0.9132"
"73260000","0.898"
"73440000","0.9246"
"73620000","0.9016"
"73800000","0.921"
"73980000","0.9122"
"74160000","0.9056"
"74340000","0.9372"
"74520000","0.918"
"74700000","0.9354"
"74880000","0.9062"
"75060000","0.9296"
"75240000","0.9264"
"75420000","0.9188"
"75600000","0.93"
"75780000","0.91"
"75960000","0.9306"
"76140000","0.923"
"76320000","0.924"
"76500000","0.9164"
"76680000","0.9246"
"76860000","0.9368"
"77040000","0.9302"
"77220000","0.9358"
"77400000","0.9228"
"77580000","0.9308"
"77760000","0.9198"
"77940000","0.913"
"78120000","0.9352"
"78300000","0.933"
"78480000","0.9252"
"78660000","0.923"
"78840000","0.918"
"79020000","0.924"
"79200000","0.92"
"79380000","0.9388"
"79560000","0.9336"
"79740000","0.9418"
"79920000","0.9352"
