"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"35287200","0.98","0.98","0.98"
"35380800","1","1","1"
"35474400","0.98","0.98","0.98"
"35568000","0.99","0.99","0.99"
"35661600","0.99","0.99","0.99"
"35755200","0.99","0.99","0.99"
"35848800","0.985","0.985","0.985"
"35942400","0.98","0.98","0.98"
"36036000","0.98","0.98","0.98"
"36129600","0.97","0.97","0.97"
"36223200","1","1","1"
"36316800","0.992","0.992","0.992"
"36410400","0.98","0.98","0.98"
"36504000","0.98","0.98","0.98"
"36597600","0.98","0.98","0.98"
"36691200","0.99","0.99","0.99"
"36784800","0.99","0.99","0.99"
"36878400","0.97","0.97","0.97"
"36972000","0.99","0.99","0.99"
"37065600","1","1","1"
"37159200","0.99","0.99","0.99"
"37252800","1","1","1"
"37346400","0.99","0.99","0.99"
"37440000","1","1","1"
"37533600","0.99","0.99","0.99"
"37627200","1","1","1"
"37720800","1","1","1"
"37814400","0.99","0.99","0.99"
"37908000","1","1","1"
"38001600","1","1","1"
"38095200","1","1","1"
"38188800","1","1","1"
"38282400","1","1","1"
"38376000","1","1","1"
"38469600","0.96","0.96","0.96"
"38563200","0.99","0.99","0.99"
"38656800","1","1","1"
"38750400","1","1","1"
"38844000","0.975","0.975","0.975"
"38937600","1","1","1"
"39031200","0.95","0.95","0.95"
"39124800","0.98","0.98","0.98"
"39218400","0.95","0.95","0.95"
"39312000","0.97","0.97","0.97"
"39405600","0.98","0.98","0.98"
"39499200","0.99","0.99","0.99"
"39592800","0.94","0.94","0.94"
"39686400","0.943","0.943","0.943"
"39780000","0.97","0.97","0.97"
"39873600","0.98","0.98","0.98"
"39967200","0.99","0.99","0.99"
"40060800","1","1","1"
"40154400","0.98","0.98","0.98"
"40248000","1","1","1"
"40341600","0.99","0.99","0.99"
"40435200","0.99","0.99","0.99"
"40528800","0.97","0.97","0.97"
"40622400","0.99","0.99","0.99"
"40716000","0.98","0.98","0.98"
"40809600","0.98","0.98","0.98"
"40903200","0.98","0.98","0.98"
"40996800","0.99","0.99","0.99"
"41090400","0.96","0.96","0.96"
"41184000","0.96","0.96","0.96"
"41277600","0.98","0.98","0.98"
"41371200","0.98","0.98","0.98"
"41464800","0.97","0.97","0.97"
"41558400","0.98","0.98","0.98"
"41652000","0.965","0.965","0.965"
"41745600","0.97","0.97","0.97"
"41839200","0.94","0.94","0.94"
"41932800","0.965","0.965","0.965"
"42026400","0.98","0.98","0.98"
"42120000","0.99","0.99","0.99"
"42213600","0.98","0.98","0.98"
"42307200","0.93","0.93","0.93"
"42400800","0.92","0.92","0.92"
"42494400","0.96","0.96","0.96"
"42588000","0.97","0.97","0.97"
"42681600","1","1","1"
"42775200","0.97","0.97","0.97"
"42868800","0.97","0.97","0.97"
"42962400","0.93","0.93","0.93"
"43056000","1","1","1"
"43149600","0.92","0.92","0.92"
"43243200","0.95","0.95","0.95"
"43336800","0.96","0.96","0.96"
"43430400","0.96","0.96","0.96"
"43524000","0.945","0.945","0.945"
