"Step","reverse_pb_eval1_diversified_seed1 - cover_rate_5step","reverse_pb_eval1_diversified_seed2 - cover_rate_5step","reverse_pb_eval1_diversified_seed3 - cover_rate_5step"
"72240000","0.6102000000000001","0.6848000000000001","0.9132"
"72300000","0.616","0.7427999999999999","0.897"
"72360000","0.6228","0.728","0.911"
"72420000","0.624","0.7208","0.9186"
"72480000","0.6108","0.7343999999999999","0.9006000000000001"
"72540000","0.598","0.7273999999999999","0.913"
"72600000","0.615","0.7362000000000001","0.8947999999999999"
"72660000","0.5842","0.7484","0.9044"
"72720000","0.637","0.7328","0.9188"
"72780000","0.6052000000000001","0.7402000000000001","0.9072"
"72840000","0.629","0.7375999999999999","0.8961999999999999"
"72900000","0.6144000000000001","0.7554","0.9048"
"72960000","0.6042000000000001","0.7596000000000002","0.9058"
"73020000","0.6335999999999999","0.7315999999999999","0.8984"
"73080000","0.6125999999999999","0.7128","0.8846000000000002"
"73140000","0.617","0.733","0.916"
"73200000","0.6167999999999999","0.7595999999999999","0.8966"
"73260000","0.6145999999999999","0.7444","0.9152"
"73320000","0.6124","0.7284","0.8941999999999999"
"73380000","0.6142000000000001","0.7426","0.9034"
"73440000","0.613","0.7278","0.9084"
"73500000","0.6356","0.7236","0.913"
"73560000","0.6184","0.7402","0.9118"
"73620000","0.6362000000000001","0.753","0.9038"
"73680000","0.6244000000000001","0.7764","0.9218"
"73740000","0.6088","0.7582000000000001","0.9014"
"73800000","0.618","0.7497999999999999","0.92"
"73860000","0.5913999999999999","0.753","0.8974"
"73920000","0.6095999999999999","0.7467999999999999","0.9078"
"73980000","0.6212000000000001","0.756","0.9076"
"74040000","0.614","0.744","0.8964"
"74100000","0.609","0.7636000000000001","0.917"
"74160000","0.6338","0.7687999999999999","0.9202"
"74220000","0.6304","0.7842","0.8906000000000001"
"74280000","0.6237999999999999","0.7484","0.9174"
"74340000","0.63","0.7692","0.9274"
"74400000","0.6113999999999999","0.7614","0.9104"
"74460000","0.6346000000000002","0.7476","0.9152"
"74520000","0.6073999999999999","0.7534","0.914"
"74580000","0.6446000000000001","0.7402000000000001","0.9092"
"74640000","0.623","0.7426","0.9028"
"74700000","0.6202000000000001","0.7604","0.9112"
"74760000","0.6272000000000001","0.7552000000000001","0.9"
"74820000","0.6474000000000001","0.7527999999999999","0.9236"
"74880000","0.6152000000000001","0.7356","0.9074"
"74940000","0.6397999999999999","0.7732","0.9152"
"75000000","0.6197999999999999","0.7584000000000001","0.9052"
"75060000","0.6222000000000001","0.7537999999999999","0.9208"
"75120000","0.6396000000000001","0.7624000000000001","0.9032"
"75180000","0.6292000000000001","0.7674000000000001","0.9066"
"75240000","0.638","0.7737999999999999","0.9082"
"75300000","0.653","0.7637999999999999","0.9148"
"75360000","0.6128000000000001","0.7684","0.9024"
"75420000","0.6342000000000001","0.7697999999999999","0.9162"
"75480000","0.6182","0.776","0.9148"
"75540000","0.6564","0.7592000000000001","0.9194"
"75600000","0.6296","0.7517999999999999","0.9088"
"75660000","0.6427999999999999","0.7654","0.9004"
"75720000","0.6516000000000001","0.7442000000000001","0.9062"
"75780000","0.655","0.7318","0.9134"
"75840000","0.658","0.7626000000000001","0.9138"
"75900000","0.6612","0.7686000000000001","0.9024"
"75960000","0.6262000000000001","0.7733999999999999","0.9098"
"76020000","0.6312000000000001","0.7878","0.9148"
"76080000","0.6345999999999999","0.734","0.9072"
"76140000","0.6474000000000001","0.7874","0.9056"
"76200000","0.6285999999999999","0.7592000000000001","0.9174"
"76260000","0.6496000000000002","0.7694000000000001","0.9126"
"76320000","0.6227999999999999","0.7761999999999999","0.9128"
"76380000","0.6696","0.7392","0.9058"
"76440000","0.6242","0.779","0.9002"
"76500000","0.624","0.7766","0.8972"
"76560000","0.6246","0.7607999999999999","0.907"
"76620000","0.613","0.7524","0.8894000000000001"
"76680000","0.6406","0.776","0.9166"
"76740000","0.6696","0.7867999999999999","0.9146"
"76800000","0.6424","0.7646","0.8991999999999999"
"76860000","0.6344","0.7607999999999999","0.8967999999999999"
"76920000","0.6626000000000001","0.7637999999999999","0.9022"
"76980000","0.6174000000000001","0.7847999999999999","0.9082"
"77040000","0.6397999999999999","0.7792","0.9136"
"77100000","0.637","0.779","0.9116"
"77160000","0.6584","0.7704","0.9062"
"77220000","0.6264","0.7606","0.9106"
"77280000","0.6172000000000001","0.7604","0.9254"
"77340000","0.652","0.7704000000000001","0.9124"
"77400000","0.6374000000000001","0.7778","0.9058"
"77460000","0.6587999999999999","0.7757999999999999","0.9054"
"77520000","0.6364","0.776","0.9188"
"77580000","0.6137999999999999","0.7806","0.9012"
"77640000","0.6452","0.7466","0.9248"
"77700000","0.6444000000000001","0.7944","0.901"
"77760000","0.6381999999999999","0.7926","0.922"
"77820000","0.6275999999999999","0.7687999999999999","0.9032"
"77880000","0.661","0.7872","0.9234"
"77940000","0.6564","0.7982","0.9052"
"78000000","0.6596000000000001","0.7777999999999999","0.909"
"78060000","0.6732","0.8054","0.9146"
"78120000","0.6462","0.7797999999999999","0.9128"
"78180000","0.6457999999999999","0.7667999999999999","0.919"
"78240000","0.6286","0.7906","0.9266"
"78300000","0.6664","0.7885999999999999","0.9124"
"78360000","0.6454","0.7694000000000001","0.9054"
"78420000","0.6372000000000001","0.787","0.9122"
"78480000","0.643","0.7764000000000001","0.8964"
"78540000","0.65","0.7882","0.9118"
"78600000","0.6426","0.7714000000000001","0.9088"
"78660000","0.623","0.7838","0.914"
"78720000","0.6674000000000001","0.781","0.9012"
"78780000","0.6788","0.7928000000000001","0.927"
"78840000","0.6714","0.796","0.9278"
"78900000","0.674","0.6856","0.9134"
"78960000","0.6547999999999999","0.6755999999999999","0.91"
"79020000","0.6532","0.6696","0.9082"
"79080000","0.644","0.6824","0.9088"
"79140000","0.6788","0.6652","0.9134"
"79200000","0.6602","0.6794000000000001","0.9098"
"79260000","0.6448","0.6822","0.904"
"79320000","0.659","0.7064000000000001","0.9056"
"79380000","0.6638","0.7046","0.891"
"79440000","0.6444","0.708","0.917"
"79500000","0.654","0.6858","0.9118"
"79560000","0.642","0.687","0.9144"
"79620000","0.658","0.7104","0.9104"
"79680000","0.6507999999999999","0.7126","0.9"
"79740000","0.669","0.7232000000000001","0.9212"
"79800000","0.6798","0.7098","0.8942"
"79860000","0.6578","0.7325999999999999","0.9114"
"79920000","0.658","0.7273999999999999","0.918"
"79980000","0.6473999999999999","0.7085999999999999","0.8937999999999999"
