Step,main_agent_pc_first_seed7 - main_success_rate
34182000,0.395
34236000,0.4115
34290000,0.388
34344000,0.371
34398000,0.3525
34452000,0.3765
34506000,0.346
34560000,0.3825
34614000,0.367
34668000,0.365
34722000,0.405
34776000,0.384
34830000,0.359
34884000,0.3665
34938000,0.389
34992000,0.3445
35046000,0.3335
35100000,0.3865
35154000,0.4405
35208000,0.4
35262000,0.349
35316000,0.4015
35370000,0.394
35424000,0.3535
35478000,0.3715
35532000,0.349
35586000,0.3745
35640000,0.3705
35694000,0.3845
35748000,0.4135
35802000,0.403
35856000,0.379
35910000,0.381
35964000,0.3445
36018000,0.378
36072000,0.329
36126000,0.35
36180000,0.382
36234000,0.3085
36288000,0.3575
36342000,0.3255
36396000,0.363
36450000,0.334
36504000,0.3405
36558000,0.331
36612000,0.4155
36666000,0.406
36720000,0.3675
36774000,0.3975
36828000,0.3935
36882000,0.3575
36936000,0.409
36990000,0.3665
37044000,0.3795
37098000,0.354
37152000,0.3525
37206000,0.3505
37260000,0.355
37314000,0.368
37368000,0.3285
37422000,0.3665
37476000,0.3775
37530000,0.4105
37584000,0.436
37638000,0.4265
37692000,0.397
37746000,0.359
37800000,0.3515
37854000,0.3295
37908000,0.384
37962000,0.2155
38016000,0.2305
38070000,0.295
38124000,0.3105
38178000,0.3085
38232000,0.346
38286000,0.3465
38340000,0.2935
38394000,0.3365
38448000,0.314
38502000,0.3395
38556000,0.346
38610000,0.378
38664000,0.3725
38718000,0.438
38772000,0.4525
38826000,0.4595
38880000,0.5325
38934000,0.4755
38988000,0.434
39042000,0.447
39096000,0.4275
39150000,0.4455
39204000,0.437
39258000,0.468
39312000,0.4875
39366000,0.4535
39420000,0.446
39474000,0.5
39528000,0.4775
39582000,0.4035
39636000,0.38
39690000,0.444
39744000,0.4725
39798000,0.3745
39852000,0.296
39906000,0.3205
39960000,0.3525
40014000,0.4425
40068000,0.4535
40122000,0.3235
40176000,0.377
40230000,0.419
40284000,0.4525
40338000,0.4085
40392000,0.476
40446000,0.441
40500000,0.4525
40554000,0.4515
40608000,0.445
40662000,0.416
40716000,0.3975
40770000,0.417
40824000,0.412
40878000,0.418
40932000,0.451
40986000,0.3535
41040000,0.35
41094000,0.3625
41148000,0.3505
41202000,0.3845
41256000,0.3625
41310000,0.372
41364000,0.301
41418000,0.349
41472000,0.382
41526000,0.3655
41580000,0.3635
41634000,0.4505
41688000,0.398
41742000,0.416
41796000,0.3565
41850000,0.422
41904000,0.407
41958000,0.4155
42012000,0.421
42066000,0.4195
42120000,0.464
42174000,0.386
42228000,0.3715
42282000,0.399
42336000,0.278
42390000,0.311
42444000,0.2755
42498000,0.298
42552000,0.3055
42606000,0.3135
42660000,0.3585
42714000,0.3845
42768000,0.368
42822000,0.351
42876000,0.3535
42930000,0.3935
42984000,0.426
43038000,0.417
43092000,0.4395
43146000,0.405
43200000,0.4255
43254000,0.4465
43308000,0.433
43362000,0.469
43416000,0.422
43470000,0.4545
43524000,0.4465
43578000,0.45
43632000,0.439
43686000,0.418
43740000,0.466
43794000,0.4725
43848000,0.418
43902000,0.3725
43956000,0.3045
44010000,0.37
44064000,0.3625
44118000,0.3335
44172000,0.3715
44226000,0.4315
44280000,0.4235
44334000,0.4075
44388000,0.415
44442000,0.3665
44496000,0.386
44550000,0.3735
44604000,0.449
44658000,0.441
44712000,0.4445
44766000,0.432
44820000,0.428
44874000,0.4555
44928000,0.424
44982000,0.463
45036000,0.41
45090000,0.4545
45144000,0.4355
45198000,0.413
45252000,0.468
45306000,0.477
45360000,0.436
45414000,0.465
45468000,0.4335
45522000,0.398
45576000,0.493
45630000,0.466
45684000,0.506
45738000,0.4625
45792000,0.537
45846000,0.448
45900000,0.4945
45954000,0.4975
46008000,0.422
46062000,0.4865
46116000,0.5235
46170000,0.5165
46224000,0.4655
46278000,0.4865
46332000,0.4845
46386000,0.429
46440000,0.4835
46494000,0.419
46548000,0.4895
46602000,0.5115
46656000,0.5125
46710000,0.55
46764000,0.493
46818000,0.487
46872000,0.507
46926000,0.443
46980000,0.4505
47034000,0.444
47088000,0.4825
47142000,0.414
47196000,0.468
47250000,0.4195
47304000,0.4215
47358000,0.3795
47412000,0.4265
47466000,0.408
47520000,0.4015
47574000,0.3935
47628000,0.4025
47682000,0.4335
47736000,0.4445
47790000,0.4675
47844000,0.464
47898000,0.425
47952000,0.4485
48006000,0.4135
48060000,0.427
48114000,0.437
48168000,0.4625
48222000,0.4305
48276000,0.4795
48330000,0.4445
48384000,0.489
48438000,0.5345
48492000,0.525
48546000,0.511
48600000,0.5405
48654000,0.501
48708000,0.5925
48762000,0.521
48816000,0.527
48870000,0.519
48924000,0.521
48978000,0.494
49032000,0.52
49086000,0.519
49140000,0.564
49194000,0.6
49248000,0.4665
49302000,0.49
49356000,0.5635
49410000,0.489
49464000,0.48
49518000,0.493
49572000,0.54
49626000,0.517
49680000,0.4915
49734000,0.5645
49788000,0.5625
49842000,0.5695
49896000,0.4905
49950000,0.5735
50004000,0.593
50058000,0.6
50112000,0.5825
50166000,0.6145
50220000,0.6105
50274000,0.4925
50328000,0.596
50382000,0.519
50436000,0.5585
50490000,0.533
50544000,0.587
50598000,0.5485
50652000,0.5845
50706000,0.537
50760000,0.5795
50814000,0.5315
50868000,0.552
50922000,0.5365
50976000,0.567
51030000,0.5315
51084000,0.5795
51138000,0.5505
51192000,0.5055
51246000,0.533
51300000,0.5165
51354000,0.534
51408000,0.5285
51462000,0.527
51516000,0.556
51570000,0.5225
51624000,0.4945
51678000,0.488
51732000,0.467
51786000,0.519
51840000,0.4335
51894000,0.472
51948000,0.4095
52002000,0.4215
52056000,0.41
52110000,0.378
52164000,0.3965
52218000,0.3645
52272000,0.4115
52326000,0.4185
52380000,0.442
52434000,0.394
52488000,0.3425
52542000,0.3755
52596000,0.406
52650000,0.441
52704000,0.444
52758000,0.396
52812000,0.4005
52866000,0.3765
52920000,0.3725
52974000,0.3865
53028000,0.4945
53082000,0.4565
53136000,0.463
53190000,0.457
53244000,0.465
53298000,0.4715
53352000,0.5025
53406000,0.4635
53460000,0.448
53514000,0.4025
53568000,0.4045
53622000,0.434
53676000,0.457
53730000,0.4555
53784000,0.4155
53838000,0.4595
53892000,0.47
53946000,0.4925
54000000,0.469
54054000,0.4805
54108000,0.4815
54162000,0.478
54216000,0.49
54270000,0.5175
54324000,0.5255
54378000,0.511
54432000,0.5315
54486000,0.4765
54540000,0.56
54594000,0.5445
54648000,0.4835
54702000,0.4995
54756000,0.514
54810000,0.501
54864000,0.5085
54918000,0.4965
54972000,0.5335
55026000,0.5355
55080000,0.597
55134000,0.6075
55188000,0.6045
55242000,0.603
55296000,0.5515
55350000,0.557
55404000,0.5535
55458000,0.576
55512000,0.5865
55566000,0.547
55620000,0.5565
55674000,0.4745
55728000,0.487
55782000,0.466
55836000,0.4645
55890000,0.4455
55944000,0.445
55998000,0.4205
56052000,0.4405
56106000,0.4185
56160000,0.3975
56214000,0.4695
56268000,0.468
56322000,0.5165
56376000,0.466
56430000,0.4905
56484000,0.5115
56538000,0.535
56592000,0.5415
56646000,0.528
56700000,0.49
56754000,0.4805
56808000,0.4695
56862000,0.4495
56916000,0.452
56970000,0.494
57024000,0.4765
57078000,0.474
57132000,0.5045
57186000,0.507
57240000,0.5345
57294000,0.506
57348000,0.5015
57402000,0.4985
57456000,0.502
57510000,0.451
57564000,0.4405
57618000,0.462
57672000,0.4945
57726000,0.464
57780000,0.4705
57834000,0.459
57888000,0.483
57942000,0.452
57996000,0.4815
58050000,0.4655
58104000,0.479
58158000,0.5085
58212000,0.502
58266000,0.468
58320000,0.442
58374000,0.464
58428000,0.486
58482000,0.472
58536000,0.4685
58590000,0.4745
58644000,0.4485
58698000,0.4155
58752000,0.4085
58806000,0.39
58860000,0.3985
58914000,0.4795
58968000,0.449
59022000,0.5095
59076000,0.476
59130000,0.524
59184000,0.545
59238000,0.5015
59292000,0.54
59346000,0.5675
59400000,0.5575
59454000,0.4555
59508000,0.47
59562000,0.4455
59616000,0.499
59670000,0.5235
59724000,0.5575
59778000,0.481
59832000,0.5285
59886000,0.5295
59940000,0.501
59994000,0.516
60048000,0.552
60102000,0.4735
60156000,0.5035
60210000,0.5715
60264000,0.5535
60318000,0.5635
60372000,0.5165
60426000,0.5655
60480000,0.5805
60534000,0.537
60588000,0.5025
60642000,0.444
60696000,0.4645
60750000,0.48
60804000,0.4505
60858000,0.417
60912000,0.4355
60966000,0.425
61020000,0.4395
61074000,0.4665
61128000,0.4965
61182000,0.5505
61236000,0.516
61290000,0.5115
61344000,0.488
61398000,0.528
61452000,0.5355
61506000,0.5315
61560000,0.5215
61614000,0.522
61668000,0.4845
61722000,0.529
61776000,0.4985
61830000,0.525
61884000,0.5315
61938000,0.572
61992000,0.6065
62046000,0.5505
62100000,0.6105
62154000,0.551
62208000,0.591
62262000,0.55
62316000,0.5115
62370000,0.5625
62424000,0.502
62478000,0.617
62532000,0.5725
62586000,0.585
62640000,0.5685
62694000,0.6225
62748000,0.6575
62802000,0.6445
62856000,0.6485
62910000,0.655
62964000,0.628
63018000,0.581
63072000,0.5885
63126000,0.587
63180000,0.618
63234000,0.582
63288000,0.569
63342000,0.6075
63396000,0.5995
63450000,0.573
63504000,0.5475
63558000,0.4515
63612000,0.4775
63666000,0.5285
63720000,0.521
63774000,0.539
63828000,0.561
63882000,0.5415
63936000,0.5935
63990000,0.587
64044000,0.579
64098000,0.5815
64152000,0.536
64206000,0.5705
64260000,0.561
64314000,0.581
64368000,0.5405
64422000,0.5585
64476000,0.5715
64530000,0.572
64584000,0.5355
64638000,0.6
64692000,0.6
64746000,0.613
64800000,0.6455
64854000,0.6285
64908000,0.6745
64962000,0.689
65016000,0.68
65070000,0.646
65124000,0.6495
65178000,0.6145
65232000,0.6795
65286000,0.685
65340000,0.687
65394000,0.702
65448000,0.6825
65502000,0.697
65556000,0.693
65610000,0.7015
65664000,0.6605
65718000,0.6925
65772000,0.7035
65826000,0.7065
65880000,0.659
65934000,0.7065
65988000,0.6295
66042000,0.672
66096000,0.701
66150000,0.6645
66204000,0.6885
66258000,0.693
66312000,0.645
66366000,0.635
66420000,0.6315
66474000,0.691
66528000,0.6695
66582000,0.6685
66636000,0.6565
66690000,0.6585
66744000,0.7105
66798000,0.661
66852000,0.667
66906000,0.6895
66960000,0.693
67014000,0.7015
67068000,0.677
67122000,0.6525
67176000,0.6795
67230000,0.657
67284000,0.685
67338000,0.7125
67392000,0.719
67446000,0.7015
67500000,0.688
67554000,0.6985
67608000,0.687
67662000,0.7
67716000,0.698
67770000,0.6725
67824000,0.674
67878000,0.703
67932000,0.6405
67986000,0.666
68040000,0.6465
68094000,0.636
68148000,0.572
68202000,0.5385
68256000,0.5905
68310000,0.6245
68364000,0.6325
68418000,0.6605
68472000,0.599
68526000,0.652
68580000,0.6635
68634000,0.652
68688000,0.669
68742000,0.608
68796000,0.613
68850000,0.659
68904000,0.631
68958000,0.593
69012000,0.5995
69066000,0.6245
69120000,0.6375
69174000,0.6415
69228000,0.682
