"Step","diversified_sp - cover_rate_5step","diversified_sp_seed2 - cover_rate_5step","diversified_sp_seed3 - cover_rate_5step"
"19320000","0.9212","0.6621","0.8411000000000001"
"19425000","0.9168","0.6642","0.8538"
"19530000","0.9211","0.6785","0.8560999999999999"
"19635000","0.9388","0.6885","0.8605999999999999"
"19740000","0.9365","0.6748999999999999","0.8623000000000001"
"19845000","0.9286","0.682","0.8569"
"19950000","0.9359","0.6855","0.864"
"20055000","0.9449","0.7121","0.8677999999999999"
"20160000","0.9222","0.6834000000000001","0.8646"
"20265000","0.9391","0.695","0.8669"
"20370000","0.9441","0.71","0.8567"
"20475000","0.9396","0.7095","0.8729"
"20580000","0.9451","0.697","0.8766999999999999"
"20685000","0.9352","0.7241000000000001","0.861"
"20790000","0.9492","0.731","0.8756"
"20895000","0.9561","0.7239000000000001","0.8789000000000001"
"21000000","0.9521","0.7376","0.8702000000000001"
"21105000","0.9473","0.7410999999999999","0.8629"
"21210000","0.9457","0.7349000000000001","0.8779000000000001"
"21315000","0.9476","0.7598","0.8824"
"21420000","0.9453","0.7407","0.8926000000000001"
"21525000","0.9506","0.7685","0.8885"
"21630000","0.958","0.7547999999999999","0.8927"
"21735000","0.9509","0.7535999999999999","0.8879"
"21840000","0.9578","0.7647999999999999","0.8789"
"21945000","0.9521","0.7575","0.8987999999999999"
"22050000","0.9602","0.75","0.8949000000000001"
"22155000","0.9656","0.8037000000000001","0.8897"
"22260000","0.9682","0.7975","0.9041"
"22365000","0.9646","0.7850999999999999","0.8963"
"22470000","0.9636","0.7736000000000001","0.9001"
"22575000","0.9633","0.7964","0.8996000000000001"
"22680000","0.9671","0.8086","0.8915"
"22785000","0.9561","0.8004","0.8872000000000001"
"22890000","0.9677","0.8027000000000001","0.9089"
"22995000","0.9668","0.8183","0.909"
"23100000","0.9653","0.7966","0.9119"
"23205000","0.9749","0.8138000000000001","0.8967999999999999"
"23310000","0.9699","0.8014","0.9079"
"23415000","0.9621","0.8236","0.912"
"23520000","0.9623","0.8029","0.9063"
"23625000","0.9688","0.8152999999999999","0.9055"
"23730000","0.9645","0.8231","0.904"
"23835000","0.9658","0.8289","0.9119"
"23940000","0.9712","0.8271","0.906"
"24045000","0.9699","0.8274","0.9124"
"24150000","0.9719","0.8274","0.9119"
"24255000","0.9695","0.833","0.9065"
"24360000","0.9709","0.8386","0.9168"
"24465000","0.9649","0.85","0.9171"
"24570000","0.9741","0.8405","0.9189"
"24675000","0.9712","0.8445","0.9156"
"24780000","0.972","0.8532000000000001","0.9238"
"24885000","0.9763","0.8441000000000001","0.9123"
"24990000","0.9789","0.8318","0.9111"
"25095000","0.9795","0.8331000000000001","0.9119"
"25200000","0.9795","0.8503999999999999","0.9151"
"25305000","0.974","0.8403","0.9227"
"25410000","0.9769","0.849","0.9158"
"25515000","0.9677","0.8514","0.9148"
"25620000","0.9738","0.8486","0.9166"
"25725000","0.9755","0.8489","0.9059"
"25830000","0.9691","0.8432000000000001","0.9081"
"25935000","0.9787","0.8616","0.9266"
"26040000","0.9769","0.8565","0.9266"
"26145000","0.9809","0.8565","0.9173"
"26250000","0.9759","0.8667","0.9213"
"26355000","0.9858","0.8584","0.9255"
"26460000","0.9802","0.8502000000000001","0.9276"
"26565000","0.9743","0.8558","0.9207"
"26670000","0.9825","0.8621","0.9194"
"26775000","0.9776","0.865","0.9257"
"26880000","0.9795","0.8646","0.917"
"26985000","0.9728","0.8634","0.9152"
