"Step","pb_min0.25_seed1 - 2cover_rate_5step"
"64980000","0.8498"
"65160000","0.862"
"65340000","0.881"
"65520000","0.8707999999999999"
"65700000","0.8765999999999999"
"65880000","0.8652"
"66060000","0.8692000000000001"
"66240000","0.8616"
"66420000","0.8598"
"66600000","0.8917999999999999"
"66780000","0.884"
"66960000","0.8692000000000001"
"67140000","0.89"
"67320000","0.8877999999999999"
"67500000","0.8704000000000001"
"67680000","0.8812000000000001"
"67860000","0.8637999999999999"
"68040000","0.8697999999999999"
"68220000","0.8702000000000001"
"68400000","0.8735999999999999"
"68580000","0.8832000000000001"
"68760000","0.878"
"68940000","0.8784"
"69120000","0.8677999999999999"
"69300000","0.8724000000000001"
"69480000","0.8944000000000001"
"69660000","0.8827999999999999"
"69840000","0.871"
"70020000","0.8694000000000001"
"70200000","0.9006000000000001"
"70380000","0.8706"
"70560000","0.8874000000000001"
"70740000","0.9026"
"70920000","0.9006"
"71100000","0.8852000000000001"
"71280000","0.8972"
"71460000","0.8736"
"71640000","0.884"
"71820000","0.8924"
"72000000","0.8906000000000001"
"72180000","0.8826"
"72360000","0.8676"
"72540000","0.8687999999999999"
"72720000","0.9134"
"72900000","0.8806"
"73080000","0.8904"
"73260000","0.8652000000000001"
"73440000","0.8994000000000001"
"73620000","0.876"
"73800000","0.8944"
"73980000","0.8722000000000001"
"74160000","0.8834000000000001"
"74340000","0.8686"
"74520000","0.8734000000000001"
"74700000","0.8887999999999999"
"74880000","0.8814"
"75060000","0.8986000000000001"
"75240000","0.8814000000000001"
"75420000","0.8892"
"75600000","0.8814000000000001"
"75780000","0.892"
"75960000","0.8946000000000001"
"76140000","0.9122"
"76320000","0.874"
"76500000","0.8722"
"76680000","0.8747999999999999"
"76860000","0.8825999999999999"
"77040000","0.8802000000000001"
"77220000","0.8852000000000001"
"77400000","0.8977999999999999"
"77580000","0.8933999999999999"
"77760000","0.9022"
"77940000","0.8977999999999999"
"78120000","0.8901999999999999"
"78300000","0.9026"
"78480000","0.9048"
"78660000","0.8917999999999999"
"78840000","0.8926000000000001"
"79020000","0.8967999999999999"
"79200000","0.8817999999999999"
"79380000","0.9054"
"79560000","0.905"
"79740000","0.9084"
"79920000","0.8886000000000001"
