"Step","test_seed1 - test_success_rate","test_seed1 - test_success_rate__MIN","test_seed1 - test_success_rate__MAX"
"33976800","0.977","0.977","0.977"
"34070400","0.99","0.99","0.99"
"34164000","0.974","0.974","0.974"
"34257600","0.968","0.968","0.968"
"34351200","0.968","0.968","0.968"
"34444800","0.984","0.984","0.984"
"34538400","0.984","0.984","0.984"
"34632000","0.997","0.997","0.997"
"34725600","0.97","0.97","0.97"
"34819200","0.969","0.969","0.969"
"34912800","0.961","0.961","0.961"
"35006400","0.972","0.972","0.972"
"35100000","0.971","0.971","0.971"
"35193600","0.966","0.966","0.966"
"35287200","0.947","0.947","0.947"
"35380800","0.985","0.985","0.985"
"35474400","0.981","0.981","0.981"
"35568000","0.994","0.994","0.994"
"35661600","0.99","0.99","0.99"
"35755200","0.999","0.999","0.999"
"35848800","0.977","0.977","0.977"
"35942400","0.965","0.965","0.965"
"36036000","0.96","0.96","0.96"
"36129600","0.886","0.886","0.886"
"36223200","0.94","0.94","0.94"
"36316800","0.914","0.914","0.914"
"36410400","0.922","0.922","0.922"
"36504000","0.861","0.861","0.861"
"36597600","0.942","0.942","0.942"
"36691200","0.93","0.93","0.93"
"36784800","0.917","0.917","0.917"
"36878400","0.973","0.973","0.973"
"36972000","0.953","0.953","0.953"
"37065600","0.975","0.975","0.975"
"37159200","0.917","0.917","0.917"
"37252800","0.984","0.984","0.984"
"37346400","0.956","0.956","0.956"
"37440000","0.974","0.974","0.974"
"37533600","0.941","0.941","0.941"
"37627200","0.971","0.971","0.971"
"37720800","0.982","0.982","0.982"
"37814400","0.988","0.988","0.988"
"37908000","0.961","0.961","0.961"
"38001600","0.975","0.975","0.975"
"38095200","0.969","0.969","0.969"
"38188800","0.962","0.962","0.962"
"38282400","0.979","0.979","0.979"
"38376000","0.987","0.987","0.987"
"38469600","0.97","0.97","0.97"
"38563200","0.972","0.972","0.972"
"38656800","0.98","0.98","0.98"
"38750400","0.977","0.977","0.977"
"38844000","0.963","0.963","0.963"
"38937600","0.97","0.97","0.97"
"39031200","0.97","0.97","0.97"
"39124800","0.987","0.987","0.987"
"39218400","0.949","0.949","0.949"
"39312000","0.947","0.947","0.947"
"39405600","0.971","0.971","0.971"
"39499200","0.944","0.944","0.944"
"39592800","0.987","0.987","0.987"
"39686400","0.931","0.931","0.931"
"39780000","0.957","0.957","0.957"
"39873600","0.951","0.951","0.951"
"39967200","0.973","0.973","0.973"
"40060800","0.956","0.956","0.956"
"40154400","0.954","0.954","0.954"
"40248000","0.969","0.969","0.969"
"40341600","0.977","0.977","0.977"
"40435200","0.96","0.96","0.96"
"40528800","0.972","0.972","0.972"
"40622400","0.968","0.968","0.968"
"40716000","0.96","0.96","0.96"
"40809600","0.964","0.964","0.964"
"40903200","0.912","0.912","0.912"
"40996800","0.966","0.966","0.966"
"41090400","0.936","0.936","0.936"
"41184000","0.95","0.95","0.95"
"41277600","0.988","0.988","0.988"
"41371200","0.987","0.987","0.987"
"41464800","0.986","0.986","0.986"
"41558400","0.975","0.975","0.975"
"41652000","0.97","0.97","0.97"
"41745600","0.964","0.964","0.964"
"41839200","0.939","0.939","0.939"
"41932800","0.978","0.978","0.978"
"42026400","0.971","0.971","0.971"
"42120000","0.962","0.962","0.962"
"42213600","0.968","0.968","0.968"
"42307200","0.97","0.97","0.97"
"42400800","0.948","0.948","0.948"
"42494400","0.976","0.976","0.976"
"42588000","0.968","0.968","0.968"
"42681600","0.989","0.989","0.989"
"42775200","0.989","0.989","0.989"
"42868800","0.966","0.966","0.966"
"42962400","0.974","0.974","0.974"
"43056000","0.962","0.962","0.962"
"43149600","0.912","0.912","0.912"
"43243200","0.975","0.975","0.975"
"43336800","0.998","0.998","0.998"
