"Step","solved_sp - cover_rate_5step","solved_sp_seed2 - cover_rate_5step","solved_sp_seed3 - cover_rate_5step"
"20475000","0.9202","0.8422000000000001","0.8482"
"20580000","0.9186","0.8353","0.8497"
"20685000","0.9048","0.8323","0.8536999999999999"
"20790000","0.9243","0.8415","0.8351000000000001"
"20895000","0.9039","0.8303","0.8367"
"21000000","0.9119","0.8617999999999999","0.8246"
"21105000","0.9092","0.8528","0.8325"
"21210000","0.9268","0.8315999999999999","0.8324"
"21315000","0.909","0.8209000000000001","0.8373999999999999"
"21420000","0.9182","0.8351000000000001","0.8468"
"21525000","0.9242","0.841","0.8532000000000001"
"21630000","0.9343","0.8356999999999999","0.8512000000000001"
"21735000","0.9226","0.8408","0.829"
"21840000","0.9358","0.8306","0.851"
"21945000","0.9223","0.8465999999999999","0.8492999999999999"
"22050000","0.9324","0.8334000000000001","0.8351000000000001"
"22155000","0.9426","0.8335999999999999","0.848"
"22260000","0.9257","0.8277","0.8609000000000001"
"22365000","0.9315","0.8436","0.8645"
"22470000","0.9187","0.8281000000000001","0.8496"
"22575000","0.9378","0.8412000000000001","0.8563999999999999"
"22680000","0.9356","0.8442999999999999","0.8593"
"22785000","0.9362","0.8594","0.8745"
"22890000","0.9358999999999998","0.8432000000000001","0.869"
"22995000","0.9515","0.8413999999999999","0.8560999999999999"
"23100000","0.9489","0.8504","0.8669"
"23205000","0.9456","0.8372999999999999","0.8647"
"23310000","0.9508","0.8379","0.8543999999999999"
"23415000","0.9334","0.8593999999999998","0.8697999999999999"
"23520000","0.9431","0.8536","0.8599"
"23625000","0.9478","0.852","0.8599"
"23730000","0.9447","0.8446","0.8673"
"23835000","0.9461","0.8485999999999999","0.8679"
"23940000","0.9425","0.8433999999999999","0.8807"
"24045000","0.9414","0.8341","0.8885"
"24150000","0.9423","0.8384000000000001","0.8784"
"24255000","0.9504","0.8279000000000001","0.8681"
"24360000","0.9526","0.8421","0.8863"
"24465000","0.9493","0.8495","0.8983"
"24570000","0.9483","0.8435","0.8925"
"24675000","0.9542","0.8513999999999999","0.8912"
"24780000","0.9523","0.8563999999999999","0.8733"
"24885000","0.9624","0.8435","0.8736999999999999"
"24990000","0.9596","0.8480999999999999","0.8687999999999999"
"25095000","0.9688","0.8341999999999999","0.856"
"25200000","0.9717","0.8378","0.8759"
"25305000","0.9784","0.864","0.8545"
"25410000","0.9804","0.8452000000000001","0.8521"
"25515000","0.9731","0.8617999999999999","0.8565999999999999"
"25620000","0.9729","0.8665","0.8731"
"25725000","0.9695","0.8574","0.86"
"25830000","0.9728","0.8694","0.8588"
"25935000","0.9682","0.8865","0.8608000000000001"
"26040000","0.9701","0.8763","0.8617999999999999"
"26145000","0.9802","0.8717","0.8723000000000001"
