"Step","sl_amigo_seed1 - cover_rate_5step"
"3885000","0.398"
"3892000","0.404"
"3899000","0.42"
"3906000","0.46"
"3913000","0.42"
"3920000","0.474"
"3927000","0.37200000000000005"
"3934000","0.38"
"3941000","0.436"
"3948000","0.4"
"3955000","0.348"
"3962000","0.444"
"3969000","0.342"
"3976000","0.386"
"3983000","0.34600000000000003"
"3990000","0.386"
"3997000","0.396"
"4004000","0.344"
"4011000","0.426"
"4018000","0.392"
"4025000","0.374"
"4032000","0.43"
"4039000","0.36"
"4046000","0.37200000000000005"
"4053000","0.32"
"4060000","0.366"
"4067000","0.326"
"4074000","0.416"
"4081000","0.3"
"4088000","0.39"
"4095000","0.454"
"4102000","0.3"
"4109000","0.38400000000000006"
"4116000","0.496"
"4123000","0.362"
"4130000","0.31"
"4137000","0.34"
"4144000","0.38"
"4151000","0.476"
"4158000","0.28200000000000003"
"4165000","0.382"
"4172000","0.402"
"4179000","0.454"
"4186000","0.306"
"4193000","0.32799999999999996"
"4200000","0.41"
"4207000","0.37200000000000005"
"4214000","0.322"
"4221000","0.322"
"4228000","0.4"
"4235000","0.26"
"4242000","0.37799999999999995"
"4249000","0.402"
"4256000","0.35"
"4263000","0.42"
"4270000","0.32"
"4277000","0.31"
"4284000","0.34"
"4291000","0.4920000000000001"
"4298000","0.35"
"4305000","0.47"
"4312000","0.452"
"4319000","0.38400000000000006"
"4326000","0.37799999999999995"
"4333000","0.4479999999999999"
"4340000","0.324"
"4347000","0.424"
"4354000","0.386"
"4361000","0.382"
"4368000","0.486"
"4375000","0.424"
"4382000","0.43"
"4389000","0.35200000000000004"
"4396000","0.43799999999999994"
"4403000","0.476"
"4410000","0.46"
"4417000","0.37799999999999995"
"4424000","0.402"
"4431000","0.412"
"4438000","0.48"
"4445000","0.386"
"4452000","0.318"
"4459000","0.46"
"4466000","0.47"
"4473000","0.462"
"4480000","0.394"
"4487000","0.4280000000000001"
"4494000","0.362"
"4501000","0.292"
"4508000","0.46"
"4515000","0.398"
"4522000","0.408"
"4529000","0.332"
"4536000","0.422"
"4543000","0.3"
"4550000","0.38"
"4557000","0.374"
"4564000","0.4"
"4571000","0.444"
"4578000","0.4"
"4585000","0.358"
"4592000","0.424"
"4599000","0.43"
"4606000","0.408"
"4613000","0.388"
"4620000","0.414"
"4627000","0.396"
"4634000","0.4"
"4641000","0.46"
"4648000","0.29"
"4655000","0.384"
"4662000","0.39"
"4669000","0.462"
"4676000","0.336"
"4683000","0.31"
"4690000","0.25"
"4697000","0.45"
"4704000","0.336"
"4711000","0.35600000000000004"
"4718000","0.43799999999999994"
"4725000","0.42"
"4732000","0.35600000000000004"
"4739000","0.476"
"4746000","0.404"
"4753000","0.406"
"4760000","0.37599999999999995"
"4767000","0.39"
"4774000","0.368"
"4781000","0.376"
"4788000","0.54"
"4795000","0.39"
"4802000","0.34"
"4809000","0.354"
"4816000","0.304"
"4823000","0.35200000000000004"
"4830000","0.4"
"4837000","0.37200000000000005"
"4844000","0.35600000000000004"
"4851000","0.458"
"4858000","0.358"
"4865000","0.45"
"4872000","0.32400000000000007"
"4879000","0.39"
"4886000","0.282"
"4893000","0.398"
"4900000","0.308"
"4907000","0.394"
"4914000","0.408"
"4921000","0.4"
"4928000","0.4479999999999999"
"4935000","0.496"
"4942000","0.364"
"4949000","0.458"
"4956000","0.4920000000000001"
"4963000","0.436"
"4970000","0.31"
"4977000","0.45"
"4984000","0.386"
"4991000","0.354"
"4998000","0.34"
"5005000","0.41"
"5012000","0.362"
"5019000","0.362"
"5026000","0.464"
"5033000","0.41"
"5040000","0.36"
"5047000","0.358"
"5054000","0.36"
"5061000","0.308"
"5068000","0.376"
"5075000","0.33"
"5082000","0.4"
"5089000","0.39"
"5096000","0.464"
"5103000","0.38"
"5110000","0.41"
"5117000","0.374"
"5124000","0.4640000000000001"
"5131000","0.43799999999999994"
"5138000","0.36"
"5145000","0.322"
"5152000","0.502"
"5159000","0.374"
"5166000","0.37599999999999995"
"5173000","0.35"
"5180000","0.422"
"5187000","0.37200000000000005"
"5194000","0.37"
"5201000","0.33799999999999997"
"5208000","0.394"
"5215000","0.464"
"5222000","0.47"
"5229000","0.386"
"5236000","0.396"
"5243000","0.488"
"5250000","0.366"
"5257000","0.39"
"5264000","0.41"
"5271000","0.436"
"5278000","0.39"
"5285000","0.35"
"5292000","0.374"
"5299000","0.394"
"5306000","0.368"
"5313000","0.3680000000000001"
"5320000","0.326"
"5327000","0.364"
"5334000","0.44800000000000006"
"5341000","0.424"
"5348000","0.368"
"5355000","0.366"
"5362000","0.4320000000000001"
"5369000","0.496"
"5376000","0.398"
"5383000","0.412"
"5390000","0.34"
"5397000","0.422"
"5404000","0.414"
"5411000","0.28"
"5418000","0.43"
"5425000","0.38"
"5432000","0.386"
"5439000","0.36"
"5446000","0.36"
"5453000","0.316"
"5460000","0.33"
"5467000","0.322"
"5474000","0.44"
"5481000","0.52"
"5488000","0.34"
"5495000","0.44"
"5502000","0.386"
"5509000","0.4479999999999999"
"5516000","0.4"
"5523000","0.416"
"5530000","0.49"
"5537000","0.482"
"5544000","0.314"
"5551000","0.4320000000000001"
"5558000","0.39"
"5565000","0.43799999999999994"
"5572000","0.36599999999999994"
"5579000","0.376"
"5586000","0.37799999999999995"
"5593000","0.38"
"5600000","0.384"
"5607000","0.344"
"5614000","0.4"
"5621000","0.408"
"5628000","0.366"
"5635000","0.42"
"5642000","0.416"
"5649000","0.374"
"5656000","0.402"
"5663000","0.394"
"5670000","0.43"
"5677000","0.366"
"5684000","0.4"
"5691000","0.27"
"5698000","0.35"
"5705000","0.43"
"5712000","0.424"
"5719000","0.392"
"5726000","0.38"
"5733000","0.484"
"5740000","0.526"
"5747000","0.312"
"5754000","0.446"
"5761000","0.366"
"5768000","0.42"
"5775000","0.508"
"5782000","0.362"
"5789000","0.396"
"5796000","0.512"
"5803000","0.416"
"5810000","0.3"
"5817000","0.382"
"5824000","0.33"
"5831000","0.45"
"5838000","0.38"
"5845000","0.42"
"5852000","0.37"
"5859000","0.404"
"5866000","0.418"
"5873000","0.384"
"5880000","0.39"
"5887000","0.452"
"5894000","0.398"
"5901000","0.4040000000000001"
"5908000","0.35"
"5915000","0.266"
"5922000","0.44"
"5929000","0.398"
"5936000","0.496"
"5943000","0.362"
"5950000","0.38"
"5957000","0.284"
"5964000","0.35600000000000004"
"5971000","0.444"
"5978000","0.28600000000000003"
"5985000","0.376"
"5992000","0.408"
"5999000","0.392"
"6006000","0.298"
"6013000","0.39"
"6020000","0.318"
"6027000","0.33599999999999997"
"6034000","0.486"
"6041000","0.442"
"6048000","0.424"
"6055000","0.416"
"6062000","0.47"
"6069000","0.45"
"6076000","0.38"
"6083000","0.37799999999999995"
"6090000","0.354"
"6097000","0.31"
"6104000","0.35200000000000004"
"6111000","0.458"
"6118000","0.34"
"6125000","0.38400000000000006"
"6132000","0.29"
"6139000","0.39"
"6146000","0.344"
"6153000","0.418"
"6160000","0.45"
"6167000","0.316"
"6174000","0.446"
"6181000","0.52"
"6188000","0.43"
"6195000","0.386"
"6202000","0.362"
"6209000","0.37799999999999995"
"6216000","0.27"
"6223000","0.426"
"6230000","0.408"
"6237000","0.262"
"6244000","0.26799999999999996"
"6251000","0.34199999999999997"
"6258000","0.396"
"6265000","0.458"
"6272000","0.51"
"6279000","0.424"
"6286000","0.43"
"6293000","0.424"
"6300000","0.42"
"6307000","0.332"
"6314000","0.422"
"6321000","0.34"
"6328000","0.394"
"6335000","0.396"
"6342000","0.35"
"6349000","0.358"
"6356000","0.474"
"6363000","0.424"
"6370000","0.34"
"6377000","0.43"
"6384000","0.292"
"6391000","0.32"
"6398000","0.35"
"6405000","0.414"
"6412000","0.434"
"6419000","0.45"
"6426000","0.34600000000000003"
"6433000","0.31"
"6440000","0.3459999999999999"
"6447000","0.428"
"6454000","0.4320000000000001"
"6461000","0.394"
"6468000","0.396"
"6475000","0.336"
"6482000","0.422"
"6489000","0.41"
"6496000","0.358"
"6503000","0.354"
"6510000","0.376"
"6517000","0.404"
"6524000","0.424"
"6531000","0.404"
"6538000","0.33"
"6545000","0.43"
"6552000","0.348"
"6559000","0.282"
"6566000","0.36"
"6573000","0.348"
"6580000","0.38"
"6587000","0.44"
"6594000","0.394"
"6601000","0.45"
"6608000","0.4"
"6615000","0.404"
"6622000","0.33"
"6629000","0.37400000000000005"
"6636000","0.364"
"6643000","0.398"
"6650000","0.37799999999999995"
"6657000","0.458"
"6664000","0.376"
"6671000","0.37799999999999995"
"6678000","0.362"
"6685000","0.424"
"6692000","0.31"
"6699000","0.358"
"6706000","0.32"
"6713000","0.348"
"6720000","0.366"
"6727000","0.29600000000000004"
"6734000","0.428"
"6741000","0.28"
