"Step","pb_gradient_sampling_h1_epsilon0.4_seed3 - 2cover_rate_5step"
"35100000","0.7515999999999999"
"35280000","0.747"
"35460000","0.7514000000000001"
"35640000","0.7631999999999999"
"35820000","0.774"
"36000000","0.7616"
"36180000","0.749"
"36360000","0.7777999999999999"
"36540000","0.7767999999999999"
"36720000","0.7536"
"36900000","0.7622000000000001"
"37080000","0.7746"
"37260000","0.773"
"37440000","0.7786"
"37620000","0.7994"
"37800000","0.7908"
"37980000","0.7861999999999999"
"38160000","0.8085999999999999"
"38340000","0.7814000000000001"
"38520000","0.784"
"38700000","0.7918000000000001"
"38880000","0.8052"
"39060000","0.763"
"39240000","0.8078"
"39420000","0.7976"
"39600000","0.7914000000000001"
"39780000","0.813"
"39960000","0.8018"
"40140000","0.7938"
"40320000","0.8184"
"40500000","0.7756000000000001"
"40680000","0.8054000000000001"
"40860000","0.8"
"41040000","0.814"
"41220000","0.8144"
"41400000","0.813"
"41580000","0.8152"
"41760000","0.829"
"41940000","0.799"
"42120000","0.8278"
"42300000","0.824"
"42480000","0.8392"
"42660000","0.8328000000000001"
"42840000","0.8318"
"43020000","0.831"
"43200000","0.8364000000000001"
"43380000","0.8288"
"43560000","0.8321999999999999"
"43740000","0.826"
"43920000","0.8255999999999999"
"44100000","0.8483999999999999"
"44280000","0.835"
"44460000","0.8518"
"44640000","0.8578"
"44820000","0.835"
"45000000","0.8345999999999999"
"45180000","0.8352"
"45360000","0.8472000000000001"
"45540000","0.8506"
"45720000","0.8622000000000001"
"45900000","0.8556"
"46080000","0.85"
"46260000","0.8468000000000001"
"46440000","0.8652000000000001"
"46620000","0.867"
"46800000","0.8463999999999999"
"46980000","0.8582000000000001"
"47160000","0.8515999999999999"
"47340000","0.8602"
"47520000","0.8568"
"47700000","0.8697999999999999"
"47880000","0.8807999999999999"
"48060000","0.8674"
"48240000","0.8498"
"48420000","0.8664"
"48600000","0.858"
"48780000","0.8787999999999999"
"48960000","0.873"
"49140000","0.8704"
"49320000","0.8754"
"49500000","0.884"
"49680000","0.8854"
"49860000","0.8764"
"50040000","0.8677999999999999"
"50220000","0.8864000000000001"
"50400000","0.8722000000000001"
"50580000","0.9004000000000001"
"50760000","0.8887999999999999"
"50940000","0.894"
"51120000","0.8644"
"51300000","0.8896"
"51480000","0.8866"
"51660000","0.8822"
"51840000","0.9008"
"52020000","0.8964000000000001"
"52200000","0.8797999999999999"
"52380000","0.8827999999999999"
"52560000","0.89"
"52740000","0.8662000000000001"
"52920000","0.894"
"53100000","0.9078"
"53280000","0.9018"
"53460000","0.8982"
"53640000","0.893"
"53820000","0.897"
"54000000","0.8926"
"54180000","0.897"
"54360000","0.9026"
"54540000","0.9"
"54720000","0.8961999999999999"
"54900000","0.8994000000000001"
"55080000","0.9042"
"55260000","0.9054"
"55440000","0.902"
"55620000","0.9002"
"55800000","0.8992"
"55980000","0.9072"
"56160000","0.9058"
"56340000","0.9124"
"56520000","0.911"
"56700000","0.9202"
"56880000","0.889"
"57060000","0.9034"
"57240000","0.9134"
"57420000","0.9098"
"57600000","0.9008"
"57780000","0.9104"
"57960000","0.9176"
"58140000","0.9086"
"58320000","0.9078"
"58500000","0.9152"
"58680000","0.9066"
"58860000","0.9034"
"59040000","0.91"
"59220000","0.9196"
"59400000","0.9088"
"59580000","0.9086"
"59760000","0.9238"
"59940000","0.9138"
"60120000","0.921"
"60300000","0.897"
"60480000","0.911"
"60660000","0.9134"
"60840000","0.898"
"61020000","0.898"
"61200000","0.9108"
"61380000","0.914"
"61560000","0.908"
"61740000","0.917"
"61920000","0.9184"
"62100000","0.911"
"62280000","0.9134"
"62460000","0.941"
"62640000","0.9094"
"62820000","0.9166"
"63000000","0.916"
"63180000","0.924"
"63360000","0.9244"
"63540000","0.9194"
"63720000","0.9396"
"63900000","0.912"
"64080000","0.9326"
"64260000","0.9266"
"64440000","0.927"
"64620000","0.916"
"64800000","0.922"
"64980000","0.9236"
"65160000","0.928"
"65340000","0.9188"
"65520000","0.9342"
"65700000","0.9326"
"65880000","0.9268"
"66060000","0.9354"
"66240000","0.9176"
"66420000","0.9284"
"66600000","0.9448"
"66780000","0.938"
"66960000","0.929"
"67140000","0.9494"
"67320000","0.9398"
"67500000","0.9392"
"67680000","0.9366"
"67860000","0.9388"
"68040000","0.9278"
"68220000","0.9228"
"68400000","0.9318"
"68580000","0.9288"
"68760000","0.9372"
"68940000","0.9364"
"69120000","0.9346"
"69300000","0.9362"
"69480000","0.9382"
"69660000","0.9196"
"69840000","0.9282"
"70020000","0.925"
"70200000","0.9436"
"70380000","0.952"
"70560000","0.9384"
"70740000","0.9376"
"70920000","0.9348"
"71100000","0.9302"
"71280000","0.9498"
"71460000","0.9378"
"71640000","0.9434"
"71820000","0.9314"
"72000000","0.934"
"72180000","0.9286"
"72360000","0.9304"
"72540000","0.9474"
"72720000","0.9462"
"72900000","0.9372"
"73080000","0.9386"
"73260000","0.9434"
"73440000","0.95"
"73620000","0.9442"
"73800000","0.9444"
"73980000","0.945"
"74160000","0.9458"
"74340000","0.9512"
"74520000","0.9476"
"74700000","0.9278"
"74880000","0.9366"
"75060000","0.9408"
"75240000","0.9552"
"75420000","0.9462"
"75600000","0.955"
"75780000","0.9614"
"75960000","0.9422"
"76140000","0.9472"
"76320000","0.9532"
"76500000","0.9432"
"76680000","0.955"
"76860000","0.9472"
"77040000","0.9562"
"77220000","0.956"
"77400000","0.9524"
"77580000","0.9558"
"77760000","0.9548"
"77940000","0.9486"
"78120000","0.9558"
"78300000","0.9276"
"78480000","0.9508"
"78660000","0.9362"
"78840000","0.9482"
"79020000","0.943"
"79200000","0.9508"
"79380000","0.9576"
"79560000","0.9576"
"79740000","0.9478"
"79920000","0.9538"
