"Step","gan_pb_4agents_seed1 - cover_rate_5step"
"120360000","0.2473"
"120480000","0.2509"
"120600000","0.23940000000000003"
"120720000","0.2392"
"120840000","0.2414"
"120960000","0.23960000000000004"
"121080000","0.2335"
"121200000","0.2565"
"121320000","0.23160000000000003"
"121440000","0.223"
"121560000","0.24060000000000004"
"121680000","0.24670000000000003"
"121800000","0.2464"
"121920000","0.2311"
"122040000","0.24039999999999995"
"122160000","0.2233"
"122280000","0.2493"
"122400000","0.2156"
"122520000","0.249"
"122640000","0.2441"
"122760000","0.2396"
"122880000","0.23310000000000003"
"123000000","0.2236"
"123120000","0.2487"
"123240000","0.2459"
"123360000","0.2357"
"123480000","0.238"
"123600000","0.2352"
"123720000","0.224"
"123840000","0.2414"
"123960000","0.2476"
"124080000","0.23339999999999997"
"124200000","0.2484"
"124320000","0.2409"
"124440000","0.2492"
"124560000","0.2517"
"124680000","0.2519"
"124800000","0.2444"
"124920000","0.2437"
"125040000","0.2448"
"125160000","0.2255"
"125280000","0.2482"
"125400000","0.25060000000000004"
"125520000","0.2441"
"125640000","0.249"
"125760000","0.26089999999999997"
"125880000","0.2382"
"126000000","0.2441"
"126120000","0.2552"
"126240000","0.251"
"126360000","0.26020000000000004"
"126480000","0.23910000000000003"
"126600000","0.25039999999999996"
"126720000","0.2235"
"126840000","0.25020000000000003"
"126960000","0.25789999999999996"
"127080000","0.2372"
"127200000","0.2432"
"127320000","0.2538"
"127440000","0.2759"
"127560000","0.2535"
"127680000","0.2673"
"127800000","0.2767"
"127920000","0.2541"
"128040000","0.2602"
"128160000","0.274"
"128280000","0.2789"
"128400000","0.271"
"128520000","0.25989999999999996"
"128640000","0.2478"
"128760000","0.2496"
"128880000","0.2675"
"129000000","0.2437"
"129120000","0.2594"
"129240000","0.25070000000000003"
"129360000","0.2572"
"129480000","0.25570000000000004"
"129600000","0.25439999999999996"
"129720000","0.2484"
"129840000","0.2465"
"129960000","0.2516"
"130080000","0.2515"
"130200000","0.2481"
"130320000","0.25670000000000004"
"130440000","0.2699"
"130560000","0.2445"
"130680000","0.2443"
"130800000","0.2535"
"130920000","0.2362"
"131040000","0.2753"
"131160000","0.2552"
"131280000","0.26489999999999997"
"131400000","0.2577"
"131520000","0.24640000000000004"
"131640000","0.26139999999999997"
"131760000","0.2454"
"131880000","0.2427"
"132000000","0.25160000000000005"
"132120000","0.2653"
"132240000","0.2441"
"132360000","0.25189999999999996"
"132480000","0.24420000000000003"
"132600000","0.25930000000000003"
"132720000","0.2612"
"132840000","0.2651"
"132960000","0.245"
"133080000","0.2645"
"133200000","0.2354"
"133320000","0.29270000000000007"
"133440000","0.267"
"133560000","0.2555"
"133680000","0.2512"
"133800000","0.2629"
"133920000","0.2771"
"134040000","0.26639999999999997"
"134160000","0.26689999999999997"
"134280000","0.25479999999999997"
"134400000","0.26720000000000005"
"134520000","0.26"
"134640000","0.2709"
"134760000","0.2666"
"134880000","0.2577"
"135000000","0.2431"
"135120000","0.2486"
"135240000","0.2478"
"135360000","0.265"
"135480000","0.2616"
"135600000","0.2743"
"135720000","0.2671"
"135840000","0.2732"
"135960000","0.2645"
"136080000","0.2503"
"136200000","0.26680000000000004"
"136320000","0.26630000000000004"
"136440000","0.26979999999999993"
"136560000","0.2586"
"136680000","0.2538"
"136800000","0.2739"
"136920000","0.2781"
"137040000","0.2667"
"137160000","0.2506"
"137280000","0.2462"
"137400000","0.25689999999999996"
"137520000","0.2677"
"137640000","0.2676"
"137760000","0.2499"
"137880000","0.268"
"138000000","0.2696"
"138120000","0.27620000000000006"
"138240000","0.26739999999999997"
"138360000","0.262"
"138480000","0.2713"
"138600000","0.25839999999999996"
"138720000","0.25310000000000005"
"138840000","0.2918"
"138960000","0.26530000000000004"
"139080000","0.2778"
"139200000","0.2719"
"139320000","0.2706"
"139440000","0.27829999999999994"
"139560000","0.27979999999999994"
"139680000","0.2727"
"139800000","0.2693"
"139920000","0.2745"
"140040000","0.25379999999999997"
"140160000","0.2651"
"140280000","0.27659999999999996"
"140400000","0.2785"
"140520000","0.2882"
"140640000","0.25989999999999996"
"140760000","0.295"
"140880000","0.269"
"141000000","0.27420000000000005"
"141120000","0.2812"
"141240000","0.2786"
"141360000","0.2766"
"141480000","0.27840000000000004"
"141600000","0.2881"
"141720000","0.2865"
"141840000","0.2858"
"141960000","0.2997"
"142080000","0.299"
"142200000","0.2635"
"142320000","0.2659"
"142440000","0.27879999999999994"
"142560000","0.2926"
"142680000","0.2905"
"142800000","0.2836"
"142920000","0.2913"
"143040000","0.2805"
"143160000","0.30419999999999997"
"143280000","0.2831"
"143400000","0.28559999999999997"
"143520000","0.2691"
"143640000","0.3081"
"143760000","0.2859"
"143880000","0.2906"
"144000000","0.2849"
"144120000","0.2955"
