"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"12043200","0.014","0.014","0.014"
"12074400","0.015","0.015","0.015"
"12105600","0.016","0.016","0.016"
"12136800","0.009","0.009","0.009"
"12168000","0.02","0.02","0.02"
"12199200","0.01","0.01","0.01"
"12230400","0.01","0.01","0.01"
"12261600","0.019","0.019","0.019"
"12292800","0.021","0.021","0.021"
"12324000","0.012","0.012","0.012"
"12355200","0.02","0.02","0.02"
"12386400","0.016","0.016","0.016"
"12417600","0.006","0.006","0.006"
"12448800","0.018","0.018","0.018"
"12480000","0.018","0.018","0.018"
"12511200","0.014","0.014","0.014"
"12542400","0.013","0.013","0.013"
"12573600","0.019","0.019","0.019"
"12604800","0.013","0.013","0.013"
"12636000","0.015","0.015","0.015"
"12667200","0.017","0.017","0.017"
"12698400","0.021","0.021","0.021"
"12729600","0.017","0.017","0.017"
"12760800","0.016","0.016","0.016"
"12792000","0.03","0.03","0.03"
"12823200","0.013","0.013","0.013"
"12854400","0.013","0.013","0.013"
"12885600","0.014","0.014","0.014"
"12916800","0.017","0.017","0.017"
"12948000","0.009","0.009","0.009"
"12979200","0.036","0.036","0.036"
"13010400","0.032","0.032","0.032"
"13041600","0.026","0.026","0.026"
"13072800","0.023","0.023","0.023"
"13104000","0.022","0.022","0.022"
"13135200","0.017","0.017","0.017"
"13166400","0.017","0.017","0.017"
"13197600","0.024","0.024","0.024"
"13228800","0.03","0.03","0.03"
"13260000","0.028","0.028","0.028"
"13291200","0.024","0.024","0.024"
"13322400","0.013","0.013","0.013"
"13353600","0.018","0.018","0.018"
"13384800","0.027","0.027","0.027"
"13416000","0.031","0.031","0.031"
"13447200","0.035","0.035","0.035"
"13478400","0.021","0.021","0.021"
"13509600","0.013","0.013","0.013"
"13540800","0.025","0.025","0.025"
"13572000","0.028","0.028","0.028"
"13603200","0.014","0.014","0.014"
"13634400","0.02","0.02","0.02"
"13665600","0.021","0.021","0.021"
"13696800","0.032","0.032","0.032"
"13728000","0.02","0.02","0.02"
"13759200","0.017","0.017","0.017"
"13790400","0.024","0.024","0.024"
"13821600","0.03","0.03","0.03"
"13852800","0.017","0.017","0.017"
"13884000","0.012","0.012","0.012"
"13915200","0.022","0.022","0.022"
"13946400","0.011","0.011","0.011"
