"Step","reverse_pb_eval1_final_version_seed1 - cover_rate_1step"
"31980000","0.022"
"32040000","0.014"
"32100000","0.016"
"32160000","0.025"
"32220000","0.011"
"32280000","0.014"
"32340000","0.013"
"32400000","0.014"
"32460000","0.017"
"32520000","0.015"
"32580000","0.02"
"32640000","0.017"
"32700000","0.013"
"32760000","0.015"
"32820000","0.015"
"32880000","0.015"
"32940000","0.016"
"33000000","0.017"
"33060000","0.018"
"33120000","0.012"
"33180000","0.01"
"33240000","0.015"
"33300000","0.009"
"33360000","0.015"
"33420000","0.018"
"33480000","0.011"
"33540000","0.019"
"33600000","0.014"
"33660000","0.015"
"33720000","0.011"
"33780000","0.014"
"33840000","0.015"
"33900000","0.013"
"33960000","0.015"
"34020000","0.017"
"34080000","0.018"
"34140000","0.017"
"34200000","0.016"
"34260000","0.011"
"34320000","0.016"
"34380000","0.017"
"34440000","0.018"
"34500000","0.02"
"34560000","0.02"
"34620000","0.021"
"34680000","0.014"
"34740000","0.017"
"34800000","0.011"
"34860000","0.02"
"34920000","0.009"
"34980000","0.015"
"35040000","0.018"
"35100000","0.015"
"35160000","0.015"
"35220000","0.023"
"35280000","0.013"
"35340000","0.016"
"35400000","0.01"
"35460000","0.02"
"35520000","0.011"
"35580000","0.009"
"35640000","0.018"
"35700000","0.017"
"35760000","0.018"
"35820000","0.019"
"35880000","0.021"
"35940000","0.018"
"36000000","0.019"
"36060000","0.014"
"36120000","0.021"
"36180000","0.015"
"36240000","0.021"
"36300000","0.013"
"36360000","0.021"
"36420000","0.013"
"36480000","0.021"
"36540000","0.019"
"36600000","0.011"
"36660000","0.021"
"36720000","0.009"
"36780000","0.015"
"36840000","0.015"
"36900000","0.015"
"36960000","0.021"
"37020000","0.016"
"37080000","0.011"
"37140000","0.015"
"37200000","0.023"
"37260000","0.008"
"37320000","0.016"
"37380000","0.019"
"37440000","0.015"
"37500000","0.019"
"37560000","0.011"
"37620000","0.018"
"37680000","0.012"
"37740000","0.022"
"37800000","0.015"
"37860000","0.016"
"37920000","0.019"
"37980000","0.018"
"38040000","0.023"
"38100000","0.021"
"38160000","0.013"
"38220000","0.018"
"38280000","0.019"
"38340000","0.019"
"38400000","0.021"
"38460000","0.01"
"38520000","0.018"
"38580000","0.018"
"38640000","0.02"
"38700000","0.015"
"38760000","0.016"
"38820000","0.012"
"38880000","0.01"
"38940000","0.015"
"39000000","0.023"
"39060000","0.018"
"39120000","0.014"
"39180000","0.024"
"39240000","0.018"
"39300000","0.017"
"39360000","0.017"
"39420000","0.015"
"39480000","0.014"
"39540000","0.014"
"39600000","0.011"
"39660000","0.014"
"39720000","0.02"
"39780000","0.024"
"39840000","0.02"
"39900000","0.018"
"39960000","0.019"
"40020000","0.021"
"40080000","0.022"
"40140000","0.011"
"40200000","0.013"
"40260000","0.023"
"40320000","0.022"
"40380000","0.03"
"40440000","0.022"
"40500000","0.016"
"40560000","0.023"
"40620000","0.018"
"40680000","0.028"
"40740000","0.026"
"40800000","0.029"
"40860000","0.03"
"40920000","0.028"
"40980000","0.024"
"41040000","0.022"
"41100000","0.022"
"41160000","0.028"
"41220000","0.033"
"41280000","0.039"
"41340000","0.03"
"41400000","0.024"
"41460000","0.04"
"41520000","0.026"
"41580000","0.031"
"41640000","0.034"
"41700000","0.035"
"41760000","0.027"
"41820000","0.033"
"41880000","0.031"
"41940000","0.029"
"42000000","0.038"
"42060000","0.033"
"42120000","0.033"
"42180000","0.037"
"42240000","0.036"
"42300000","0.036"
"42360000","0.04"
"42420000","0.05"
"42480000","0.039"
"42540000","0.047"
"42600000","0.042"
"42660000","0.051"
"42720000","0.044"
"42780000","0.043"
"42840000","0.05"
"42900000","0.052"
"42960000","0.046"
"43020000","0.043"
"43080000","0.05"
"43140000","0.039"
"43200000","0.063"
"43260000","0.045"
"43320000","0.051"
"43380000","0.048"
"43440000","0.042"
"43500000","0.061"
"43560000","0.054"
"43620000","0.048"
"43680000","0.054"
"43740000","0.05"
"43800000","0.058"
"43860000","0.07"
"43920000","0.057"
"43980000","0.059"
"44040000","0.047"
"44100000","0.06"
"44160000","0.047"
"44220000","0.051"
"44280000","0.062"
"44340000","0.058"
"44400000","0.06"
"44460000","0.057"
"44520000","0.067"
"44580000","0.068"
"44640000","0.068"
"44700000","0.072"
"44760000","0.061"
"44820000","0.07"
"44880000","0.06"
"44940000","0.07"
"45000000","0.059"
"45060000","0.069"
"45120000","0.054"
"45180000","0.061"
"45240000","0.072"
"45300000","0.061"
"45360000","0.072"
"45420000","0.07"
"45480000","0.07"
"45540000","0.083"
"45600000","0.07"
"45660000","0.071"
"45720000","0.072"
"45780000","0.072"
"45840000","0.071"
"45900000","0.062"
"45960000","0.075"
"46020000","0.087"
"46080000","0.081"
"46140000","0.074"
"46200000","0.071"
"46260000","0.077"
"46320000","0.087"
"46380000","0.072"
"46440000","0.073"
"46500000","0.07"
"46560000","0.079"
"46620000","0.082"
"46680000","0.082"
"46740000","0.055"
"46800000","0.083"
"46860000","0.074"
"46920000","0.091"
"46980000","0.059"
"47040000","0.067"
"47100000","0.08"
"47160000","0.076"
"47220000","0.07"
"47280000","0.064"
"47340000","0.081"
"47400000","0.072"
"47460000","0.078"
"47520000","0.065"
"47580000","0.084"
"47640000","0.074"
"47700000","0.084"
"47760000","0.085"
"47820000","0.083"
"47880000","0.066"
"47940000","0.077"
"48000000","0.078"
"48060000","0.088"
"48120000","0.081"
"48180000","0.091"
"48240000","0.082"
"48300000","0.081"
"48360000","0.091"
"48420000","0.064"
"48480000","0.077"
"48540000","0.09"
"48600000","0.086"
"48660000","0.085"
"48720000","0.074"
"48780000","0.082"
"48840000","0.089"
"48900000","0.08"
"48960000","0.085"
"49020000","0.094"
"49080000","0.088"
"49140000","0.111"
"49200000","0.093"
"49260000","0.085"
"49320000","0.081"
"49380000","0.084"
"49440000","0.079"
"49500000","0.094"
"49560000","0.09"
"49620000","0.086"
"49680000","0.089"
"49740000","0.087"
"49800000","0.1"
"49860000","0.094"
"49920000","0.096"
"49980000","0.103"
"50040000","0.093"
"50100000","0.103"
"50160000","0.1"
"50220000","0.09"
"50280000","0.087"
"50340000","0.094"
"50400000","0.101"
"50460000","0.085"
"50520000","0.094"
"50580000","0.096"
"50640000","0.096"
"50700000","0.082"
"50760000","0.088"
"50820000","0.104"
"50880000","0.098"
"50940000","0.098"
"51000000","0.101"
"51060000","0.103"
"51120000","0.088"
"51180000","0.11"
"51240000","0.094"
"51300000","0.109"
"51360000","0.112"
"51420000","0.106"
"51480000","0.09"
"51540000","0.102"
"51600000","0.119"
"51660000","0.103"
"51720000","0.111"
"51780000","0.121"
"51840000","0.101"
"51900000","0.103"
"51960000","0.098"
"52020000","0.101"
"52080000","0.117"
"52140000","0.096"
"52200000","0.1"
"52260000","0.104"
"52320000","0.114"
"52380000","0.106"
"52440000","0.106"
"52500000","0.103"
"52560000","0.119"
"52620000","0.11"
"52680000","0.105"
"52740000","0.111"
"52800000","0.093"
"52860000","0.124"
"52920000","0.128"
"52980000","0.106"
"53040000","0.117"
"53100000","0.108"
"53160000","0.102"
"53220000","0.108"
"53280000","0.136"
"53340000","0.119"
"53400000","0.127"
"53460000","0.104"
"53520000","0.112"
"53580000","0.154"
"53640000","0.117"
"53700000","0.115"
"53760000","0.126"
"53820000","0.135"
"53880000","0.122"
"53940000","0.14"
"54000000","0.127"
"54060000","0.125"
"54120000","0.122"
"54180000","0.134"
"54240000","0.128"
"54300000","0.12"
"54360000","0.121"
"54420000","0.129"
"54480000","0.145"
"54540000","0.126"
"54600000","0.133"
"54660000","0.146"
"54720000","0.116"
"54780000","0.125"
"54840000","0.153"
"54900000","0.127"
"54960000","0.13"
"55020000","0.142"
"55080000","0.121"
"55140000","0.121"
"55200000","0.149"
"55260000","0.137"
"55320000","0.122"
"55380000","0.16"
"55440000","0.14"
"55500000","0.138"
"55560000","0.136"
"55620000","0.134"
"55680000","0.14"
"55740000","0.126"
"55800000","0.124"
"55860000","0.133"
"55920000","0.128"
"55980000","0.156"
"56040000","0.136"
"56100000","0.134"
"56160000","0.122"
"56220000","0.13"
"56280000","0.14"
"56340000","0.154"
"56400000","0.133"
"56460000","0.146"
"56520000","0.132"
"56580000","0.138"
"56640000","0.114"
"56700000","0.12"
"56760000","0.128"
"56820000","0.129"
"56880000","0.152"
"56940000","0.108"
"57000000","0.127"
"57060000","0.141"
"57120000","0.128"
"57180000","0.132"
"57240000","0.139"
"57300000","0.143"
"57360000","0.138"
"57420000","0.12"
"57480000","0.136"
"57540000","0.148"
"57600000","0.121"
"57660000","0.133"
"57720000","0.132"
"57780000","0.137"
"57840000","0.134"
"57900000","0.152"
"57960000","0.138"
"58020000","0.134"
"58080000","0.145"
"58140000","0.131"
"58200000","0.142"
"58260000","0.152"
"58320000","0.132"
"58380000","0.124"
"58440000","0.151"
"58500000","0.145"
"58560000","0.159"
"58620000","0.134"
"58680000","0.135"
"58740000","0.141"
"58800000","0.136"
"58860000","0.158"
"58920000","0.144"
"58980000","0.143"
"59040000","0.16"
"59100000","0.15"
"59160000","0.141"
"59220000","0.142"
"59280000","0.139"
"59340000","0.138"
"59400000","0.138"
"59460000","0.15"
"59520000","0.145"
"59580000","0.118"
"59640000","0.145"
"59700000","0.144"
"59760000","0.151"
"59820000","0.146"
"59880000","0.149"
"59940000","0.146"
"60000000","0.149"
"60060000","0.152"
"60120000","0.143"
"60180000","0.151"
"60240000","0.161"
"60300000","0.156"
"60360000","0.144"
"60420000","0.133"
"60480000","0.132"
"60540000","0.15"
"60600000","0.155"
"60660000","0.156"
"60720000","0.138"
"60780000","0.146"
"60840000","0.144"
"60900000","0.146"
"60960000","0.141"
"61020000","0.132"
"61080000","0.136"
"61140000","0.139"
"61200000","0.137"
"61260000","0.15"
"61320000","0.162"
"61380000","0.129"
"61440000","0.136"
"61500000","0.141"
"61560000","0.146"
"61620000","0.143"
"61680000","0.15"
"61740000","0.155"
"61800000","0.132"
"61860000","0.142"
"61920000","0.168"
"61980000","0.144"
"62040000","0.16"
"62100000","0.158"
"62160000","0.161"
"62220000","0.149"
"62280000","0.136"
"62340000","0.162"
"62400000","0.155"
"62460000","0.166"
"62520000","0.162"
"62580000","0.141"
"62640000","0.165"
"62700000","0.167"
"62760000","0.181"
"62820000","0.182"
"62880000","0.16"
"62940000","0.148"
"63000000","0.163"
"63060000","0.147"
"63120000","0.147"
"63180000","0.157"
"63240000","0.158"
"63300000","0.16"
"63360000","0.154"
"63420000","0.161"
"63480000","0.171"
"63540000","0.16"
"63600000","0.166"
"63660000","0.156"
"63720000","0.142"
"63780000","0.162"
"63840000","0.159"
"63900000","0.17"
"63960000","0.157"
