"Step","amigo_pb_2agents_seed3 - 2cover_rate_1step"
"43620000","0.467"
"43680000","0.47"
"43740000","0.475"
"43800000","0.483"
"43860000","0.467"
"43920000","0.47"
"43980000","0.462"
"44040000","0.472"
"44100000","0.476"
"44160000","0.467"
"44220000","0.482"
"44280000","0.466"
"44340000","0.472"
"44400000","0.47"
"44460000","0.454"
"44520000","0.476"
"44580000","0.473"
"44640000","0.464"
"44700000","0.481"
"44760000","0.475"
"44820000","0.474"
"44880000","0.462"
"44940000","0.469"
"45000000","0.473"
"45060000","0.454"
"45120000","0.482"
"45180000","0.494"
"45240000","0.461"
"45300000","0.457"
"45360000","0.478"
"45420000","0.468"
"45480000","0.472"
"45540000","0.465"
"45600000","0.468"
"45660000","0.48"
"45720000","0.472"
"45780000","0.473"
"45840000","0.465"
"45900000","0.461"
"45960000","0.468"
"46020000","0.487"
"46080000","0.48"
"46140000","0.476"
"46200000","0.476"
"46260000","0.481"
"46320000","0.467"
"46380000","0.464"
"46440000","0.459"
"46500000","0.481"
"46560000","0.459"
"46620000","0.472"
"46680000","0.459"
"46740000","0.469"
"46800000","0.469"
"46860000","0.474"
"46920000","0.477"
"46980000","0.471"
"47040000","0.47"
"47100000","0.494"
"47160000","0.48"
"47220000","0.479"
"47280000","0.475"
"47340000","0.47"
"47400000","0.474"
"47460000","0.484"
"47520000","0.478"
"47580000","0.487"
"47640000","0.478"
"47700000","0.478"
"47760000","0.48"
"47820000","0.465"
"47880000","0.474"
"47940000","0.473"
"48000000","0.475"
"48060000","0.481"
"48120000","0.482"
"48180000","0.49"
"48240000","0.482"
"48300000","0.458"
"48360000","0.467"
"48420000","0.478"
"48480000","0.479"
"48540000","0.468"
"48600000","0.488"
"48660000","0.466"
"48720000","0.47"
"48780000","0.488"
"48840000","0.474"
"48900000","0.485"
"48960000","0.481"
"49020000","0.484"
"49080000","0.478"
"49140000","0.474"
"49200000","0.474"
"49260000","0.472"
"49320000","0.463"
"49380000","0.48"
"49440000","0.475"
"49500000","0.464"
"49560000","0.479"
"49620000","0.474"
"49680000","0.473"
"49740000","0.482"
"49800000","0.472"
"49860000","0.486"
"49920000","0.484"
"49980000","0.491"
"50040000","0.486"
"50100000","0.481"
"50160000","0.484"
"50220000","0.467"
"50280000","0.482"
"50340000","0.488"
"50400000","0.473"
"50460000","0.48"
"50520000","0.489"
"50580000","0.478"
"50640000","0.49"
"50700000","0.457"
"50760000","0.477"
"50820000","0.481"
"50880000","0.476"
"50940000","0.468"
"51000000","0.471"
"51060000","0.466"
"51120000","0.483"
"51180000","0.476"
"51240000","0.477"
"51300000","0.481"
"51360000","0.485"
"51420000","0.487"
"51480000","0.489"
"51540000","0.49"
"51600000","0.485"
"51660000","0.475"
"51720000","0.496"
"51780000","0.478"
"51840000","0.481"
"51900000","0.487"
"51960000","0.492"
"52020000","0.477"
"52080000","0.486"
"52140000","0.486"
"52200000","0.481"
"52260000","0.478"
"52320000","0.491"
"52380000","0.487"
"52440000","0.484"
"52500000","0.483"
"52560000","0.476"
"52620000","0.485"
"52680000","0.48"
"52740000","0.488"
"52800000","0.474"
"52860000","0.482"
"52920000","0.471"
"52980000","0.493"
"53040000","0.494"
"53100000","0.482"
"53160000","0.494"
"53220000","0.497"
"53280000","0.498"
"53340000","0.494"
"53400000","0.498"
"53460000","0.489"
"53520000","0.484"
"53580000","0.467"
"53640000","0.494"
"53700000","0.478"
"53760000","0.493"
"53820000","0.491"
"53880000","0.505"
"53940000","0.5"
"54000000","0.487"
"54060000","0.498"
"54120000","0.516"
"54180000","0.483"
"54240000","0.495"
"54300000","0.498"
"54360000","0.494"
"54420000","0.486"
"54480000","0.479"
"54540000","0.49"
"54600000","0.489"
"54660000","0.507"
"54720000","0.476"
"54780000","0.492"
"54840000","0.484"
"54900000","0.49"
"54960000","0.488"
"55020000","0.5"
"55080000","0.488"
"55140000","0.483"
"55200000","0.496"
