"Step","sp_wo_evaluation_expandfromactive_wo_sigmamin_seed2 - cover_rate_5step"
"17220000","0.0029"
"17325000","0.0022"
"17430000","0.0029"
"17535000","0.0039"
"17640000","0.003"
"17745000","0.0017999999999999995"
"17850000","0.0048"
"17955000","0.0049"
"18060000","0.0029"
"18165000","0.0040999999999999995"
"18270000","0.0023"
"18375000","0.0038"
"18480000","0.0039"
"18585000","0.0023"
"18690000","0.0038"
"18795000","0.0021999999999999997"
"18900000","0.004200000000000001"
"19005000","0.0070999999999999995"
"19110000","0.007"
"19215000","0.0057"
"19320000","0.0055"
"19425000","0.004900000000000001"
"19530000","0.0040999999999999995"
"19635000","0.005300000000000001"
"19740000","0.0057"
"19845000","0.004"
"19950000","0.006"
"20055000","0.0026"
"20160000","0.0008"
"20265000","0.0039"
"20370000","0.0076"
"20475000","0.0027"
"20580000","0.002"
"20685000","0.0036"
"20790000","0.0007"
"20895000","0.0022"
"21000000","0.0007"
"21105000","0.0016"
"21210000","0.0011"
"21315000","0.002"
"21420000","0.001"
"21525000","0.0018"
"21630000","0.0070999999999999995"
"21735000","0.0043"
"21840000","0.0055"
"21945000","0.0047"
"22050000","0.0050999999999999995"
"22155000","0.0035"
"22260000","0.0008"
"22365000","0.0008"
"22470000","0.0022"
"22575000","0.0006000000000000001"
"22680000","0.0026"
"22785000","0.0022"
"22890000","0.0035"
"22995000","0.0035"
"23100000","0.0097"
"23205000","0.0066"
"23310000","0.0023"
"23415000","0.0025"
"23520000","0.0004"
"23625000","0"
"23730000","0.0012"
"23835000","0.0007"
"23940000","0"
"24045000","0.0021000000000000003"
"24150000","0.0006"
"24255000","0.0021000000000000003"
"24360000","0.0032"
"24465000","0.0019"
"24570000","0.0037"
"24675000","0.0019"
"24780000","0.0038"
