"Step","diversified_novelty_sp - cover_rate_5step","diversified_novelty_sp_seed2 - cover_rate_5step","diversified_novelty_sp_seed3 - cover_rate_5step"
"16905000","0.8725999999999999","0.7957000000000001","0.8092999999999999"
"17010000","0.8493999999999999","0.8029000000000001","0.8027000000000001"
"17115000","0.8722","0.8147","0.8218"
"17220000","0.8710999999999999","0.8121999999999999","0.8085999999999999"
"17325000","0.8634000000000001","0.8001","0.8092"
"17430000","0.8645","0.8150999999999999","0.8194000000000001"
"17535000","0.8578","0.8226","0.8075"
"17640000","0.8839000000000001","0.8364","0.8147000000000001"
"17745000","0.8750999999999999","0.806","0.8125"
"17850000","0.8731","0.8262","0.8155"
"17955000","0.8800999999999999","0.8242999999999999","0.8274"
"18060000","0.8805","0.82","0.8222"
"18165000","0.8893","0.8379","0.8192999999999999"
"18270000","0.8864000000000001","0.8372","0.8245"
"18375000","0.8925","0.8515999999999999","0.8245"
"18480000","0.8887999999999999","0.8292999999999999","0.8259"
"18585000","0.8897999999999999","0.8523","0.8312999999999999"
"18690000","0.9078","0.8364","0.8267"
"18795000","0.9122","0.8435999999999999","0.8368"
"18900000","0.9102","0.8395","0.8401000000000001"
"19005000","0.915","0.8539000000000001","0.8373999999999999"
"19110000","0.9276","0.8407","0.8352"
"19215000","0.9223","0.8479","0.8528"
"19320000","0.9109","0.8405999999999999","0.8495999999999999"
"19425000","0.9203","0.8522000000000001","0.8548000000000001"
"19530000","0.9178","0.8475999999999999","0.8599000000000001"
"19635000","0.9212","0.8523","0.8572000000000001"
"19740000","0.9297","0.8428","0.8643"
"19845000","0.923","0.8452000000000001","0.8711"
"19950000","0.9156","0.846","0.8605999999999999"
"20055000","0.9311","0.8431","0.853"
"20160000","0.9234","0.8613999999999999","0.8632000000000001"
"20265000","0.9465","0.8529","0.8640999999999999"
"20370000","0.9454","0.8445","0.8669"
"20475000","0.9494","0.88","0.856"
"20580000","0.9466","0.8643999999999998","0.8699"
"20685000","0.9462","0.8593999999999999","0.8638000000000001"
"20790000","0.9517","0.869","0.8752000000000001"
"20895000","0.9534","0.85","0.8805"
"21000000","0.9529","0.8565","0.8632000000000001"
"21105000","0.9507","0.8608","0.8627999999999999"
"21210000","0.9603","0.8655","0.8649"
"21315000","0.9482","0.8613","0.8746"
"21420000","0.9559","0.8764","0.8781"
"21525000","0.9555","0.8647","0.881"
"21630000","0.9622","0.8625","0.8813"
"21735000","0.9467","0.8459000000000001","0.8770999999999999"
"21840000","0.9568","0.853","0.8654"
"21945000","0.9629","0.8502","0.8740999999999999"
"22050000","0.9661","0.8503","0.878"
"22155000","0.9647","0.8486","0.8623"
"22260000","0.9648","0.8452000000000001","0.8807"
"22365000","0.9684","0.8369","0.8568"
"22470000","0.9693","0.8520999999999999","0.8761"
"22575000","0.9727","0.8598","0.8767"
"22680000","0.9673","0.8599000000000001","0.8675999999999999"
