"Step","ours_seed2 - test_success_rate","ours_seed2 - test_success_rate__MIN","ours_seed2 - test_success_rate__MAX"
"15444000","0.873","0.873","0.873"
"15537600","0.807","0.807","0.807"
"15631200","0.883","0.883","0.883"
"15724800","0.867","0.867","0.867"
"15818400","0.904","0.904","0.904"
"15912000","0.835","0.835","0.835"
"16005600","0.854","0.854","0.854"
"16099200","0.849","0.849","0.849"
"16192800","0.921","0.921","0.921"
"16286400","0.899","0.899","0.899"
"16380000","0.88","0.88","0.88"
"16473600","0.955","0.955","0.955"
"16567200","0.885","0.885","0.885"
"16660800","0.934","0.934","0.934"
"16754400","0.954","0.954","0.954"
"16848000","0.928","0.928","0.928"
"16941600","0.944","0.944","0.944"
"17035200","0.924","0.924","0.924"
"17128800","0.943","0.943","0.943"
"17222400","0.936","0.936","0.936"
"17316000","0.961","0.961","0.961"
"17409600","0.984","0.984","0.984"
"17503200","0.964","0.964","0.964"
"17596800","0.973","0.973","0.973"
"17690400","0.953","0.953","0.953"
"17784000","0.951","0.951","0.951"
"17877600","0.927","0.927","0.927"
"17971200","0.952","0.952","0.952"
"18064800","0.989","0.989","0.989"
"18158400","0.932","0.932","0.932"
"18252000","0.98","0.98","0.98"
"18345600","0.979","0.979","0.979"
"18439200","0.99","0.99","0.99"
"18532800","0.962","0.962","0.962"
"18626400","0.973","0.973","0.973"
"18720000","0.985","0.985","0.985"
"18813600","0.981","0.981","0.981"
"18907200","0.997","0.997","0.997"
"19000800","0.977","0.977","0.977"
"19094400","0.986","0.986","0.986"
"19188000","0.993","0.993","0.993"
"19281600","0.984","0.984","0.984"
"19375200","0.991","0.991","0.991"
"19468800","0.982","0.982","0.982"
"19562400","0.986","0.986","0.986"
"19656000","0.979","0.979","0.979"
"19749600","0.97","0.97","0.97"
"19843200","0.982","0.982","0.982"
"19936800","0.994","0.994","0.994"
"20030400","0.982","0.982","0.982"
"20124000","0.998","0.998","0.998"
"20217600","0.985","0.985","0.985"
"20311200","0.988","0.988","0.988"
"20404800","0.974","0.974","0.974"
"20498400","0.981","0.981","0.981"
"20592000","1","1","1"
"20685600","0.979","0.979","0.979"
"20779200","0.965","0.965","0.965"
"20872800","0.994","0.994","0.994"
"20966400","0.982","0.982","0.982"
"21060000","0.97","0.97","0.97"
"21153600","0.986","0.986","0.986"
"21247200","0.988","0.988","0.988"
"21340800","0.985","0.985","0.985"
"21434400","0.96","0.96","0.96"
"21528000","0.993","0.993","0.993"
"21621600","0.948","0.948","0.948"
"21715200","0.971","0.971","0.971"
"21808800","0.988","0.988","0.988"
"21902400","0.979","0.979","0.979"
"21996000","0.981","0.981","0.981"
"22089600","0.959","0.959","0.959"
"22183200","0.983","0.983","0.983"
"22276800","1","1","1"
"22370400","0.97","0.97","0.97"
"22464000","0.965","0.965","0.965"
"22557600","0.986","0.986","0.986"
"22651200","0.98","0.98","0.98"
"22744800","0.972","0.972","0.972"
"22838400","0.995","0.995","0.995"
"22932000","0.959","0.959","0.959"
"23025600","0.989","0.989","0.989"
"23119200","0.974","0.974","0.974"
"23212800","0.962","0.962","0.962"
"23306400","0.98","0.98","0.98"
"23400000","0.969","0.969","0.969"
"23493600","0.96","0.96","0.96"
"23587200","0.99","0.99","0.99"
"23680800","0.968","0.968","0.968"
"23774400","0.992","0.992","0.992"
"23868000","0.99","0.99","0.99"
"23961600","0.96","0.96","0.96"
"24055200","0.988","0.988","0.988"
"24148800","0.999","0.999","0.999"
"24242400","0.983","0.983","0.983"
"24336000","0.988","0.988","0.988"
"24429600","0.98","0.98","0.98"
"24523200","0.985","0.985","0.985"
"24616800","0.998","0.998","0.998"
"24710400","0.963","0.963","0.963"
"24804000","0.998","0.998","0.998"
"24897600","0.996","0.996","0.996"
"24991200","0.981","0.981","0.981"
"25084800","0.985","0.985","0.985"
"25178400","0.981","0.981","0.981"
"25272000","0.977","0.977","0.977"
"25365600","0.984","0.984","0.984"
"25459200","0.968","0.968","0.968"
"25552800","0.985","0.985","0.985"
"25646400","0.98","0.98","0.98"
"25740000","0.996","0.996","0.996"
"25833600","0.986","0.986","0.986"
"25927200","0.976","0.976","0.976"
"26020800","0.989","0.989","0.989"
"26114400","0.998","0.998","0.998"
"26208000","0.977","0.977","0.977"
"26301600","0.996","0.996","0.996"
"26395200","0.973","0.973","0.973"
"26488800","0.983","0.983","0.983"
"26582400","0.998","0.998","0.998"
"26676000","0.986","0.986","0.986"
"26769600","0.987","0.987","0.987"
"26863200","0.984","0.984","0.984"
"26956800","0.973","0.973","0.973"
"27050400","0.987","0.987","0.987"
"27144000","0.988","0.988","0.988"
"27237600","0.987","0.987","0.987"
"27331200","0.999","0.999","0.999"
"27424800","0.997","0.997","0.997"
"27518400","0.99","0.99","0.99"
"27612000","0.981","0.981","0.981"
"27705600","0.992","0.992","0.992"
"27799200","0.99","0.99","0.99"
"27892800","0.99","0.99","0.99"
"27986400","0.997","0.997","0.997"
"28080000","0.982","0.982","0.982"
"28173600","0.995","0.995","0.995"
"28267200","0.989","0.989","0.989"
"28360800","0.837","0.837","0.837"
"28454400","0.83","0.83","0.83"
"28548000","0.907","0.907","0.907"
"28641600","0.97","0.97","0.97"
"28735200","0.966","0.966","0.966"
"28828800","0.984","0.984","0.984"
"28922400","0.95","0.95","0.95"
"29016000","0.989","0.989","0.989"
"29109600","0.984","0.984","0.984"
"29203200","0.996","0.996","0.996"
"29296800","0.987","0.987","0.987"
"29390400","0.991","0.991","0.991"
"29484000","1","1","1"
"29577600","1","1","1"
"29671200","0.992","0.992","0.992"
"29764800","0.998","0.998","0.998"
"29858400","0.991","0.991","0.991"
"29952000","0.993","0.993","0.993"
"30045600","1","1","1"
"30139200","0.999","0.999","0.999"
"30232800","0.985","0.985","0.985"
"30326400","0.99","0.99","0.99"
"30420000","0.995","0.995","0.995"
"30513600","1","1","1"
"30607200","1","1","1"
"30700800","0.995","0.995","0.995"
"30794400","0.997","0.997","0.997"
"30888000","0.985","0.985","0.985"
"30981600","0.995","0.995","0.995"
"31075200","0.999","0.999","0.999"
"31168800","0.999","0.999","0.999"
"31262400","0.998","0.998","0.998"
"31356000","0.999","0.999","0.999"
"31449600","0.999","0.999","0.999"
"31543200","0.991","0.991","0.991"
"31636800","0.998","0.998","0.998"
"31730400","1","1","1"
"31824000","0.995","0.995","0.995"
"31917600","0.99","0.99","0.99"
"32011200","0.997","0.997","0.997"
"32104800","0.995","0.995","0.995"
"32198400","0.989","0.989","0.989"
"32292000","0.988","0.988","0.988"
"32385600","0.995","0.995","0.995"
"32479200","0.99","0.99","0.99"
"32572800","0.99","0.99","0.99"
"32666400","0.995","0.995","0.995"
"32760000","0.999","0.999","0.999"
"32853600","1","1","1"
"32947200","0.995","0.995","0.995"
"33040800","0.99","0.99","0.99"
"33134400","0.99","0.99","0.99"
"33228000","0.993","0.993","0.993"
"33321600","0.998","0.998","0.998"
"33415200","1","1","1"
"33508800","0.998","0.998","0.998"
"33602400","1","1","1"
"33696000","0.998","0.998","0.998"
"33789600","0.999","0.999","0.999"
"33883200","0.995","0.995","0.995"
"33976800","0.996","0.996","0.996"
"34070400","0.993","0.993","0.993"
"34164000","0.994","0.994","0.994"
"34257600","1","1","1"
"34351200","0.995","0.995","0.995"
"34444800","1","1","1"
"34538400","1","1","1"
"34632000","0.993","0.993","0.993"
"34725600","0.999","0.999","0.999"
"34819200","0.999","0.999","0.999"
"34912800","0.993","0.993","0.993"
"35006400","0.996","0.996","0.996"
"35100000","0.999","0.999","0.999"
"35193600","1","1","1"
"35287200","1","1","1"
"35380800","0.995","0.995","0.995"
"35474400","0.995","0.995","0.995"
"35568000","0.995","0.995","0.995"
"35661600","0.996","0.996","0.996"
"35755200","1","1","1"
"35848800","0.99","0.99","0.99"
"35942400","0.999","0.999","0.999"
"36036000","0.995","0.995","0.995"
"36129600","0.995","0.995","0.995"
"36223200","0.995","0.995","0.995"
"36316800","0.994","0.994","0.994"
"36410400","0.999","0.999","0.999"
"36504000","1","1","1"
"36597600","0.995","0.995","0.995"
"36691200","1","1","1"
"36784800","0.985","0.985","0.985"
"36878400","0.983","0.983","0.983"
"36972000","0.985","0.985","0.985"
"37065600","1","1","1"
"37159200","0.999","0.999","0.999"
"37252800","1","1","1"
"37346400","0.988","0.988","0.988"
"37440000","1","1","1"
"37533600","1","1","1"
"37627200","0.996","0.996","0.996"
"37720800","0.998","0.998","0.998"
"37814400","0.99","0.99","0.99"
"37908000","1","1","1"
"38001600","0.999","0.999","0.999"
"38095200","1","1","1"
"38188800","0.994","0.994","0.994"
"38282400","1","1","1"
"38376000","0.999","0.999","0.999"
"38469600","0.994","0.994","0.994"
"38563200","0.997","0.997","0.997"
"38656800","1","1","1"
"38750400","0.99","0.99","0.99"
"38844000","1","1","1"
"38937600","0.99","0.99","0.99"
"39031200","0.989","0.989","0.989"
"39124800","0.999","0.999","0.999"
"39218400","0.998","0.998","0.998"
"39312000","0.996","0.996","0.996"
"39405600","1","1","1"
"39499200","0.991","0.991","0.991"
"39592800","1","1","1"
"39686400","0.998","0.998","0.998"
"39780000","0.986","0.986","0.986"
"39873600","0.352","0.352","0.352"
"39967200","0.463","0.463","0.463"
"40060800","0.259","0.259","0.259"
"40154400","0.389","0.389","0.389"
"40248000","0.58","0.58","0.58"
"40341600","0.71","0.71","0.71"
"40435200","0.692","0.692","0.692"
