"Step","pc_pb_seed2 - 4cover_rate"
"33960000","0.064"
"34020000","0.0785"
"34080000","0.076"
"34140000","0.0716"
"34200000","0.0755"
"34260000","0.0735"
"34320000","0.0605"
"34380000","0.066"
"34440000","0.067"
"34500000","0.068"
"34560000","0.072"
"34620000","0.0683"
"34680000","0.074"
"34740000","0.0595"
"34800000","0.065"
"34860000","0.07"
"34920000","0.0675"
"34980000","0.065"
"35040000","0.0655"
"35100000","0.0682"
"35160000","0.0578"
"35220000","0.0665"
"35280000","0.0755"
"35340000","0.0655"
"35400000","0.0755"
"35460000","0.0715"
"35520000","0.066"
"35580000","0.0725"
"35640000","0.079"
"35700000","0.0741"
"35760000","0.067"
"35820000","0.0735"
"35880000","0.0845"
"35940000","0.0714"
"36000000","0.0678"
"36060000","0.07390000000000001"
"36120000","0.0755"
"36180000","0.0735"
"36240000","0.08"
"36300000","0.0795"
"36360000","0.0765"
"36420000","0.0715"
"36480000","0.0634"
"36540000","0.066"
"36600000","0.068"
"36660000","0.066"
"36720000","0.073"
"36780000","0.072"
"36840000","0.0703"
"36900000","0.0695"
"36960000","0.069"
"37020000","0.07490000000000001"
"37080000","0.072"
"37140000","0.061799999999999994"
"37200000","0.072"
"37260000","0.0737"
"37320000","0.08"
"37380000","0.0775"
"37440000","0.0765"
"37500000","0.091"
"37560000","0.065"
"37620000","0.076"
"37680000","0.07690000000000001"
"37740000","0.084"
"37800000","0.0765"
"37860000","0.0825"
"37920000","0.068"
"37980000","0.072"
"38040000","0.07759999999999999"
"38100000","0.0755"
"38160000","0.0745"
"38220000","0.07790000000000001"
"38280000","0.0765"
"38340000","0.079"
"38400000","0.0655"
"38460000","0.0922"
"38520000","0.0785"
"38580000","0.086"
"38640000","0.0705"
"38700000","0.0829"
"38760000","0.0765"
"38820000","0.07540000000000001"
"38880000","0.078"
"38940000","0.0767"
"39000000","0.0881"
"39060000","0.0805"
"39120000","0.0905"
"39180000","0.0985"
"39240000","0.0905"
"39300000","0.0881"
"39360000","0.08009999999999999"
"39420000","0.1033"
"39480000","0.0903"
"39540000","0.0891"
"39600000","0.083"
"39660000","0.1036"
"39720000","0.0976"
"39780000","0.0925"
"39840000","0.084"
"39900000","0.0911"
"39960000","0.0787"
"40020000","0.087"
"40080000","0.0965"
"40140000","0.0915"
"40200000","0.1073"
"40260000","0.084"
"40320000","0.1017"
"40380000","0.1029"
"40440000","0.1044"
"40500000","0.1047"
"40560000","0.0865"
"40620000","0.1017"
"40680000","0.1041"
"40740000","0.1083"
"40800000","0.1019"
"40860000","0.0999"
"40920000","0.0936"
"40980000","0.1004"
"41040000","0.1033"
"41100000","0.1046"
"41160000","0.1101"
"41220000","0.0943"
"41280000","0.1087"
"41340000","0.1068"
"41400000","0.1087"
"41460000","0.1042"
"41520000","0.1153"
"41580000","0.1076"
"41640000","0.123"
"41700000","0.1117"
"41760000","0.1184"
"41820000","0.1126"
"41880000","0.1029"
"41940000","0.1166"
"42000000","0.1145"
"42060000","0.1007"
"42120000","0.0994"
"42180000","0.112"
"42240000","0.1206"
"42300000","0.1191"
"42360000","0.1168"
"42420000","0.119"
"42480000","0.1226"
"42540000","0.1117"
"42600000","0.1085"
"42660000","0.1215"
"42720000","0.11"
"42780000","0.1077"
"42840000","0.1168"
"42900000","0.1183"
"42960000","0.1342"
"43020000","0.1241"
"43080000","0.1262"
"43140000","0.13269999999999998"
"43200000","0.1196"
"43260000","0.1237"
"43320000","0.1246"
"43380000","0.123"
"43440000","0.135"
"43500000","0.1262"
"43560000","0.1281"
"43620000","0.1478"
"43680000","0.1329"
"43740000","0.1314"
"43800000","0.1293"
"43860000","0.1364"
"43920000","0.1286"
"43980000","0.115"
"44040000","0.1219"
"44100000","0.1214"
"44160000","0.1328"
"44220000","0.1368"
"44280000","0.1383"
"44340000","0.1345"
"44400000","0.1419"
"44460000","0.1354"
"44520000","0.1418"
"44580000","0.1467"
"44640000","0.13789999999999997"
"44700000","0.1425"
"44760000","0.1367"
"44820000","0.1425"
"44880000","0.1375"
"44940000","0.1398"
"45000000","0.1384"
"45060000","0.147"
"45120000","0.15780000000000002"
"45180000","0.15139999999999998"
"45240000","0.14539999999999997"
"45300000","0.1408"
"45360000","0.15680000000000002"
"45420000","0.1453"
"45480000","0.15689999999999998"
"45540000","0.1524"
"45600000","0.15189999999999998"
"45660000","0.1555"
"45720000","0.13910000000000003"
"45780000","0.1554"
"45840000","0.1477"
"45900000","0.1448"
"45960000","0.1343"
"46020000","0.15130000000000002"
"46080000","0.1571"
"46140000","0.1502"
"46200000","0.1505"
"46260000","0.1618"
"46320000","0.15280000000000002"
"46380000","0.1478"
"46440000","0.1512"
"46500000","0.14959999999999998"
"46560000","0.1452"
"46620000","0.1472"
"46680000","0.15469999999999998"
"46740000","0.1546"
"46800000","0.152"
"46860000","0.14870000000000003"
"46920000","0.1529"
"46980000","0.15519999999999998"
"47040000","0.16260000000000002"
"47100000","0.15330000000000002"
"47160000","0.1512"
"47220000","0.16119999999999998"
"47280000","0.1564"
"47340000","0.15960000000000002"
"47400000","0.16"
"47460000","0.1616"
"47520000","0.1719"
"47580000","0.176"
"47640000","0.1727"
"47700000","0.1616"
"47760000","0.1646"
