"Step","mix4n8_pb_seed2 - 4cover_rate"
"276120000","0.751"
"276480000","0.7645"
"276840000","0.753"
"277200000","0.7565"
"277560000","0.749"
"277920000","0.7865"
"278280000","0.771"
"278640000","0.782"
"279000000","0.7725"
"279360000","0.7775"
"279720000","0.76"
"280080000","0.752"
"280440000","0.7585"
"280800000","0.766"
"281160000","0.7455"
"281520000","0.7585"
"281880000","0.7655"
"282240000","0.761"
"282600000","0.773"
"282960000","0.754"
"283320000","0.7665"
"283680000","0.761"
"284040000","0.7645"
"284400000","0.749"
"284760000","0.7525"
"285120000","0.7565"
"285480000","0.761"
"285840000","0.765"
"286200000","0.7605"
"286560000","0.7675"
"286920000","0.761"
"287280000","0.7635"
"287640000","0.764"
"288000000","0.7715"
"288360000","0.7445"
"288720000","0.7645"
"289080000","0.7675"
"289440000","0.7715"
"289800000","0.765"
"290160000","0.7775"
"290520000","0.768"
"290880000","0.7785"
"291240000","0.7715"
"291600000","0.764"
"291960000","0.7805"
"292320000","0.777"
"292680000","0.788"
"293040000","0.7695"
"293400000","0.783"
"293760000","0.7735"
"294120000","0.78"
"294480000","0.7695"
"294840000","0.7675"
"295200000","0.7755"
"295560000","0.771"
"295920000","0.7695"
"296280000","0.7735"
"296640000","0.7665"
"297000000","0.78"
"297360000","0.772"
"297720000","0.7995"
"298080000","0.7735"
"298440000","0.7885"
"298800000","0.772"
"299160000","0.777"
