"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"29940000","0.1955"
"30000000","0.1774"
"30060000","0.196"
"30120000","0.181"
"30180000","0.191"
"30240000","0.2"
"30300000","0.1906"
"30360000","0.18220000000000003"
"30420000","0.1822"
"30480000","0.1826"
"30540000","0.189"
"30600000","0.1955"
"30660000","0.1838"
"30720000","0.1925"
"30780000","0.192"
"30840000","0.2124"
"30900000","0.19960000000000003"
"30960000","0.1894"
"31020000","0.1862"
"31080000","0.1894"
"31140000","0.1953"
"31200000","0.1861"
"31260000","0.209"
"31320000","0.1882"
"31380000","0.1959"
"31440000","0.1967"
"31500000","0.2079"
"31560000","0.2001"
"31620000","0.2034"
"31680000","0.1981"
"31740000","0.1924"
"31800000","0.183"
"31860000","0.1995"
"31920000","0.20510000000000003"
"31980000","0.2204"
"32040000","0.1856"
"32100000","0.2057"
"32160000","0.1953"
"32220000","0.2018"
"32280000","0.1971"
"32340000","0.2093"
"32400000","0.2036"
"32460000","0.209"
"32520000","0.2036"
"32580000","0.2007"
"32640000","0.2127"
"32700000","0.2051"
"32760000","0.2021"
"32820000","0.2172"
"32880000","0.2053"
"32940000","0.2134"
"33000000","0.20839999999999995"
"33060000","0.2215"
"33120000","0.2125"
"33180000","0.2135"
"33240000","0.2127"
"33300000","0.20360000000000003"
"33360000","0.216"
"33420000","0.2146"
"33480000","0.2139"
"33540000","0.2043"
"33600000","0.2023"
"33660000","0.2058"
"33720000","0.2235"
"33780000","0.2215"
"33840000","0.2082"
"33900000","0.214"
"33960000","0.2164"
"34020000","0.2099"
"34080000","0.2076"
"34140000","0.2154"
"34200000","0.2218"
"34260000","0.2138"
"34320000","0.2171"
"34380000","0.23239999999999997"
"34440000","0.2098"
"34500000","0.2069"
"34560000","0.2024"
"34620000","0.2198"
"34680000","0.2298"
"34740000","0.2155"
"34800000","0.2111"
"34860000","0.2233"
"34920000","0.2018"
"34980000","0.2134"
"35040000","0.2081"
"35100000","0.2257"
"35160000","0.2128"
"35220000","0.2315"
"35280000","0.2281"
"35340000","0.2211"
"35400000","0.2291"
"35460000","0.22779999999999995"
"35520000","0.2177"
"35580000","0.2224"
"35640000","0.2215"
"35700000","0.2199"
"35760000","0.2103"
"35820000","0.2179"
"35880000","0.2165"
"35940000","0.2142"
"36000000","0.2255"
"36060000","0.2181"
"36120000","0.2062"
"36180000","0.227"
