"Step","diversified_novelty_pb - cover_rate_5step","diversified_novelty_pb_seed2 - cover_rate_5step","diversified_novelty_pb_seed3 - cover_rate_5step"
"43740000","0.7706","0.9054","0.986"
"43920000","0.7867999999999999","0.9148","0.9758"
"44100000","0.8036","0.905","0.9734"
"44280000","0.7908","0.9126","0.9764"
"44460000","0.7898","0.9042","0.9784"
"44640000","0.8032","0.8986000000000001","0.9848"
"44820000","0.81","0.893","0.9738"
"45000000","0.8122","0.9166","0.9686"
"45180000","0.7926","0.9124","0.9802"
"45360000","0.828","0.9","0.972"
"45540000","0.8044","0.902","0.9726"
"45720000","0.824","0.904","0.9766"
"45900000","0.8008","0.8932","0.9762"
"46080000","0.8246","0.9028","0.9716"
"46260000","0.824","0.9064","0.9856"
"46440000","0.8366","0.926","0.9876"
"46620000","0.8492000000000001","0.9184","0.9842"
"46800000","0.813","0.9274","0.9834"
"46980000","0.8308","0.9178","0.9778"
"47160000","0.834","0.897","0.975"
"47340000","0.8396","0.9","0.9892"
"47520000","0.8462","0.902","0.9824"
"47700000","0.856","0.9248","0.9828"
"47880000","0.8667999999999999","0.9154","0.9838"
"48060000","0.8508","0.9002","0.9808"
"48240000","0.8572000000000001","0.9128","0.9778"
"48420000","0.873","0.9118","0.98"
"48600000","0.8725999999999999","0.9274","0.9694"
"48780000","0.8603999999999999","0.9122","0.9898"
"48960000","0.8632000000000001","0.9398","0.9798"
"49140000","0.888","0.9186","0.9834"
"49320000","0.8553999999999999","0.9218","0.9896"
"49500000","0.8627999999999999","0.9176","0.981"
"49680000","0.8412","0.9346","0.9846"
"49860000","0.8844000000000001","0.92","0.982"
"50040000","0.8844000000000001","0.9248","0.9772"
"50220000","0.8697999999999999","0.9148","0.9786"
"50400000","0.8855999999999999","0.9184","0.9852"
"50580000","0.8871999999999999","0.9174","0.9752"
"50760000","0.8845999999999999","0.9262","0.982"
"50940000","0.8697999999999999","0.923","0.9772"
"51120000","0.8954000000000001","0.9192","0.9824"
"51300000","0.8766","0.9328","0.9868"
"51480000","0.898","0.9202","0.9832"
"51660000","0.8846","0.9272","0.9688"
"51840000","0.8966000000000001","0.9314","0.9778"
"52020000","0.8934","0.9136","0.9756"
"52200000","0.8827999999999999","0.9292","0.974"
"52380000","0.913","0.9392","0.9734"
"52560000","0.8956000000000001","0.9392","0.9776"
"52740000","0.9104","0.9402","0.987"
"52920000","0.9026","0.9404","0.9854"
"53100000","0.9126","0.9344","0.9802"
"53280000","0.901","0.9368","0.9846"
"53460000","0.8964","0.9398","0.9742"
"53640000","0.9122","0.9386","0.9942"
"53820000","0.9062","0.9452","0.9812"
"54000000","0.9006","0.916","0.982"
"54180000","0.8967999999999999","0.9408","0.9804"
"54360000","0.9102","0.945","0.9712"
"54540000","0.9324","0.947","0.979"
"54720000","0.9166","0.9442","0.9662"
"54900000","0.907","0.9346","0.979"
"55080000","0.9088","0.9334","0.9804"
"55260000","0.9014","0.941","0.9794"
"55440000","0.9052","0.9404","0.9786"
"55620000","0.9176","0.933","0.9806"
"55800000","0.9176","0.9292","0.971"
"55980000","0.9112","0.9512","0.9824"
"56160000","0.9136","0.9252","0.9798"
"56340000","0.9346","0.939","0.9852"
"56520000","0.9256","0.9464","0.9812"
"56700000","0.937","0.9436","0.9872"
"56880000","0.9396","0.9432","0.9792"
"57060000","0.922","0.9328","0.9794"
"57240000","0.92","0.9282","0.975"
"57420000","0.9392","0.9464","0.9764"
"57600000","0.9318","0.9434","0.9748"
"57780000","0.9398","0.946","0.9738"
"57960000","0.9296","0.953","0.9816"
"58140000","0.9408","0.9368","0.9662"
"58320000","0.9162","0.9458","0.9808"
"58500000","0.9282","0.9472","0.9786"
"58680000","0.9282","0.9564","0.977"
"58860000","0.9258","0.9482","0.9826"
"59040000","0.9388","0.9434","0.9814"
"59220000","0.94","0.946","0.9764"
"59400000","0.9304","0.9366","0.983"
"59580000","0.949","0.9522","0.9844"
"59760000","0.9244","0.9438","0.9766"
