"Step","pb_4agents_seed2 - 4cover_rate"
"13260000","0.07759999999999999"
"13320000","0.0904"
"13380000","0.07690000000000001"
"13440000","0.0953"
"13500000","0.0962"
"13560000","0.08929999999999999"
"13620000","0.0823"
"13680000","0.0884"
"13740000","0.0943"
"13800000","0.0911"
"13860000","0.0896"
"13920000","0.0937"
"13980000","0.1044"
"14040000","0.0868"
"14100000","0.0947"
"14160000","0.0942"
"14220000","0.0923"
"14280000","0.085"
"14340000","0.0886"
"14400000","0.093"
"14460000","0.1019"
"14520000","0.0965"
"14580000","0.1031"
"14640000","0.0866"
"14700000","0.1012"
"14760000","0.1035"
"14820000","0.0911"
"14880000","0.0948"
"14940000","0.0865"
"15000000","0.075"
"15060000","0.094"
"15120000","0.1019"
"15180000","0.1007"
"15240000","0.0836"
"15300000","0.0905"
"15360000","0.0954"
"15420000","0.1033"
"15480000","0.1099"
"15540000","0.1145"
"15600000","0.1087"
"15660000","0.1168"
"15720000","0.1138"
"15780000","0.112"
"15840000","0.1117"
"15900000","0.1182"
"15960000","0.1045"
"16020000","0.1183"
"16080000","0.1155"
"16140000","0.1158"
"16200000","0.106"
"16260000","0.1224"
"16320000","0.1048"
"16380000","0.1191"
"16440000","0.1201"
"16500000","0.122"
"16560000","0.1184"
"16620000","0.1273"
"16680000","0.1168"
"16740000","0.1116"
"16800000","0.1303"
"16860000","0.1272"
"16920000","0.1278"
"16980000","0.127"
"17040000","0.14"
"17100000","0.13219999999999998"
"17160000","0.1311"
"17220000","0.124"
