"Step","pb_active_expansion_seed2 - 2cover_rate_5step"
"64260000","0.8775999999999999"
"64440000","0.8666"
"64620000","0.8742000000000001"
"64800000","0.8736"
"64980000","0.8504"
"65160000","0.8744"
"65340000","0.884"
"65520000","0.8692000000000001"
"65700000","0.8583999999999999"
"65880000","0.8664000000000001"
"66060000","0.8765999999999999"
"66240000","0.88"
"66420000","0.8623999999999999"
"66600000","0.8896"
"66780000","0.8908"
"66960000","0.8802000000000001"
"67140000","0.8687999999999999"
"67320000","0.8804"
"67500000","0.8797999999999999"
"67680000","0.8807999999999999"
"67860000","0.8806"
"68040000","0.898"
"68220000","0.8825999999999999"
"68400000","0.8822000000000001"
"68580000","0.8876"
"68760000","0.8684"
"68940000","0.891"
"69120000","0.8862000000000001"
"69300000","0.8822000000000001"
"69480000","0.8826"
"69660000","0.8806"
"69840000","0.8837999999999999"
"70020000","0.889"
"70200000","0.9012"
"70380000","0.8808"
"70560000","0.8932"
"70740000","0.8997999999999999"
"70920000","0.8754000000000001"
"71100000","0.8874000000000001"
"71280000","0.8974000000000001"
"71460000","0.8962"
"71640000","0.8954"
"71820000","0.8947999999999999"
"72000000","0.8914"
"72180000","0.8977999999999999"
"72360000","0.898"
"72540000","0.8918"
"72720000","0.9074"
"72900000","0.8854000000000001"
"73080000","0.8976"
"73260000","0.911"
"73440000","0.9046"
"73620000","0.9042"
"73800000","0.893"
"73980000","0.9122"
"74160000","0.9152"
"74340000","0.9088"
"74520000","0.8872000000000001"
"74700000","0.9012"
"74880000","0.9066"
"75060000","0.8947999999999999"
"75240000","0.901"
"75420000","0.9068"
"75600000","0.8976"
"75780000","0.8898"
"75960000","0.9004000000000001"
"76140000","0.909"
"76320000","0.8998"
"76500000","0.8956000000000001"
"76680000","0.9118"
"76860000","0.905"
"77040000","0.9282"
"77220000","0.9208"
"77400000","0.896"
"77580000","0.8822000000000001"
"77760000","0.9098"
"77940000","0.9062"
"78120000","0.9072"
"78300000","0.8956000000000001"
"78480000","0.8952"
"78660000","0.9046"
"78840000","0.9092"
"79020000","0.9246"
"79200000","0.8996000000000001"
"79380000","0.9194"
"79560000","0.9164"
"79740000","0.8997999999999999"
"79920000","0.9072"
