"Step","reverse_eval1_sp_seed1 - cover_rate_5step"
"21735000","0.4025"
"21770000","0.4001"
"21805000","0.3939"
"21840000","0.397"
"21875000","0.3974"
"21910000","0.4285"
"21945000","0.3845"
"21980000","0.3869"
"22015000","0.3942"
"22050000","0.4231"
"22085000","0.3982"
"22120000","0.3989"
"22155000","0.4086"
"22190000","0.3819"
"22225000","0.4136"
"22260000","0.3937000000000001"
"22295000","0.4217"
"22330000","0.3817"
"22365000","0.3958"
"22400000","0.4005"
"22435000","0.4045"
"22470000","0.3725"
"22505000","0.40779999999999994"
"22540000","0.389"
"22575000","0.4111"
"22610000","0.4153"
"22645000","0.3891"
"22680000","0.4167"
"22715000","0.3807"
"22750000","0.4067"
"22785000","0.4043"
"22820000","0.4186"
"22855000","0.4284"
"22890000","0.41270000000000007"
"22925000","0.4053"
"22960000","0.3968"
"22995000","0.4212"
"23030000","0.418"
"23065000","0.4251"
"23100000","0.4298"
"23135000","0.4503"
"23170000","0.438"
"23205000","0.4422"
"23240000","0.4385"
"23275000","0.4282"
"23310000","0.3922000000000001"
"23345000","0.41420000000000007"
"23380000","0.4121"
"23415000","0.4156"
"23450000","0.42"
"23485000","0.4167999999999999"
"23520000","0.4061"
"23555000","0.4398"
"23590000","0.4371"
"23625000","0.4084"
"23660000","0.4101"
"23695000","0.4291"
"23730000","0.4435"
"23765000","0.40520000000000006"
"23800000","0.4532000000000001"
"23835000","0.4346"
"23870000","0.4394"
"23905000","0.455"
"23940000","0.445"
"23975000","0.4543"
"24010000","0.4132"
"24045000","0.4333999999999999"
"24080000","0.4321"
"24115000","0.4207"
"24150000","0.4305"
"24185000","0.4552999999999999"
"24220000","0.4296"
"24255000","0.438"
"24290000","0.4486"
"24325000","0.4115"
"24360000","0.4437"
"24395000","0.454"
"24430000","0.43"
"24465000","0.4142"
"24500000","0.425"
"24535000","0.4427"
"24570000","0.4355"
"24605000","0.4118"
"24640000","0.4473"
"24675000","0.4367"
"24710000","0.443"
"24745000","0.4206"
"24780000","0.4193"
"24815000","0.4411000000000001"
"24850000","0.4542"
"24885000","0.436"
"24920000","0.4401"
"24955000","0.433"
"24990000","0.4165"
"25025000","0.4257"
"25060000","0.4296"
"25095000","0.4413"
"25130000","0.4417"
"25165000","0.4374"
"25200000","0.4226"
"25235000","0.4291"
"25270000","0.4318999999999999"
"25305000","0.4444"
"25340000","0.4438"
"25375000","0.4416000000000001"
"25410000","0.4399"
"25445000","0.4408"
"25480000","0.4303"
"25515000","0.4688"
"25550000","0.458"
"25585000","0.4432"
"25620000","0.45"
"25655000","0.46829999999999994"
"25690000","0.4657"
"25725000","0.448"
"25760000","0.4504"
"25795000","0.4346"
"25830000","0.467"
"25865000","0.4529"
"25900000","0.4531"
"25935000","0.4328"
"25970000","0.441"
"26005000","0.4316"
"26040000","0.4439"
"26075000","0.4409"
